tournament_id,season_id,player_name,player_id,team_name,team_id,rating,goals,assists,expectedGoals,expectedAssists,shotsOnTarget,totalShots,bigChancesCreated,bigChancesMissed,accuratePasses,accuratePassesPercentage,keyPasses,accurateLongBalls,accurateLongBallsPercentage,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,clearances,possessionLost,minutesPlayed,appearances,yellowCards,redCards,_league_id,_season,_source,_scraped_at
8,77559,Adrián,50539,Real Betis,2816,8.1,0,0,,0.0,0,0,0,0,26,81.25,0,5,45.45,0,0.0,0,0,1,6,90,1,1,0,ESP,2025-2026,datafc_sofascore,2026-08-10 21:30:22
8,77559,Lamine Yamal,1402912,FC Barcelona,2817,7.93,16,11,12.81,10.09,37,117,26,7,1094,81.1,73,32,47.06,133,54.73,35,10,3,569,2268,28,1,0,ESP,2025-2026,datafc_sofascore,2026-08-10 21:30:22
8,77559,Angel Fortuno,1082734,Espanyol,2814,7.9,0,0,,0.0,0,0,0,0,21,91.3,0,8,80.0,0,0.0,0,0,0,4,90,1,0,0,ESP,2025-2026,datafc_sofascore,2026-08-10 21:30:22
8,77559,Pablo Cunat Campos,2660173,Levante UD,2849,7.75,0,0,,0.0,0,0,0,0,29,50.88,0,15,35.71,0,0.0,0,0,6,28,180,2,0,0,ESP,2025-2026,datafc_sofascore,2026-08-10 21:30:22
8,77559,Dani Cárdenas,965832,Rayo Vallecano,2818,7.75,0,0,,0.0,0,0,0,0,85,69.11,0,30,44.12,0,0.0,1,0,10,41,360,4,0,0,ESP,2025-2026,datafc_sofascore,2026-08-10 21:30:22
8,77559,Unai Marrero,1094782,Real Sociedad,2824,7.7,0,0,,0.0,0,0,0,0,21,55.26,0,11,39.29,0,0.0,0,0,1,17,90,1,1,0,ESP,2025-2026,datafc_sofascore,2026-08-10 21:30:22
8,77559,Álvaro Cortés,1464652,FC Barcelona,2817,7.6,0,0,,0.03,0,0,0,0,87,94.57,0,5,62.5,1,100.0,1,1,5,7,90,1,0,0,ESP,2025-2026,datafc_sofascore,2026-08-10 21:30:22
8,77559,Aitor Fernández,99516,Osasuna,2820,7.6,0,0,,0.0,0,0,0,0,31,60.78,0,16,44.44,1,100.0,0,0,1,20,136,2,3,0,ESP,2025-2026,datafc_sofascore,2026-08-10 21:30:22
8,77559,Kylian Mbappé,826643,Real Madrid,2829,7.56,25,5,23.95,6.2,63,146,8,21,863,86.47,65,34,80.95,78,52.35,4,2,0,345,2604,31,4,0,ESP,2025-2026,datafc_sofascore,2026-08-10 21:30:22
8,77559,Pedri,992587,FC Barcelona,2817,7.56,2,9,1.57,5.39,10,21,8,4,1882,91.58,64,94,68.61,38,67.86,50,24,23,267,2107,29,0,1,ESP,2025-2026,datafc_sofascore,2026-08-10 21:30:22
8,77559,Raphinha,831005,FC Barcelona,2817,7.51,13,3,10.36,5.81,24,65,11,6,519,81.22,43,27,57.45,21,51.22,15,5,11,248,1388,22,5,0,ESP,2025-2026,datafc_sofascore,2026-08-10 21:30:22
