tournament_id,season_id,player_name,player_id,team_name,team_id,saves,goalsPrevented,rating,minutesPlayed,appearances,accuratePasses,accurateLongBalls,accurateLongBallsPercentage,yellowCards,redCards,_league_id,_season,_source,_scraped_at
35,52608,Oliver Baumann,40244,TSG Hoffenheim,2569,146,3.97,7.38,3060,34,891,260,42.9,1,0,GER,2023-2024,datafc_sofascore,2026-08-10 21:30:33
35,52608,Kevin Müller,121908,1. FC Heidenheim,5885,124,-0.78,7.2,3060,34,943,321,46.66,1,0,GER,2023-2024,datafc_sofascore,2026-08-10 21:30:33
35,52608,Marcel Schuhen,132654,Darmstadt 98,2576,124,-7.13,7.12,2790,31,892,306,42.74,2,0,GER,2023-2024,datafc_sofascore,2026-08-10 21:30:33
35,52608,Manuel Riemann,24937,VfL Bochum 1848,2542,118,-9.21,7.18,2970,33,941,508,43.57,5,0,GER,2023-2024,datafc_sofascore,2026-08-10 21:30:33
35,52608,Moritz Nicolas,578166,Borussia M'gladbach,2527,114,-3.43,7.21,2430,27,681,149,40.49,2,0,GER,2023-2024,datafc_sofascore,2026-08-10 21:30:33
35,52608,Finn Dahmen,822564,FC Augsburg,2600,110,-2.31,7.12,2790,31,933,210,40.86,4,0,GER,2023-2024,datafc_sofascore,2026-08-10 21:30:33
35,52608,Frederik Rønnow,137692,1. FC Union Berlin,2547,109,-3.66,7.17,2970,33,778,244,40.73,2,0,GER,2023-2024,datafc_sofascore,2026-08-10 21:30:33
35,52608,Marvin Schwäbe,187185,1. FC Köln,2671,109,3.55,6.95,3060,34,916,186,41.15,0,0,GER,2023-2024,datafc_sofascore,2026-08-10 21:30:33
35,52608,Noah Atubolu,980626,SC Freiburg,2538,103,-6.26,6.99,3060,34,823,261,39.61,0,0,GER,2023-2024,datafc_sofascore,2026-08-10 21:30:33
35,52608,Michael Zetterer,190161,SV Werder Bremen,2534,93,5.72,7.31,2430,27,737,224,51.38,2,0,GER,2023-2024,datafc_sofascore,2026-08-10 21:30:33
35,52608,Kevin Trapp,38440,Eintracht Frankfurt,2674,90,1.62,6.93,2880,32,733,139,32.86,2,0,GER,2023-2024,datafc_sofascore,2026-08-10 21:30:33
35,52608,Gregor Kobel,556866,Borussia Dortmund,2673,85,4.71,7.19,2366,27,872,158,45.8,1,0,GER,2023-2024,datafc_sofascore,2026-08-10 21:30:33
35,52608,Robin Zentner,174345,1. FSV Mainz 05,2556,82,2.29,6.98,2700,30,522,217,37.22,3,0,GER,2023-2024,datafc_sofascore,2026-08-10 21:30:33
35,52608,Lukáš Hrádecký,15219,Bayer 04 Leverkusen,2681,78,4.01,7.04,2970,33,543,104,38.66,2,0,GER,2023-2024,datafc_sofascore,2026-08-10 21:30:33
35,52608,Koen Casteels,70987,VfL Wolfsburg,2524,78,-2.09,7.0,2250,25,572,213,46.1,2,0,GER,2023-2024,datafc_sofascore,2026-08-10 21:30:33
35,52608,Alexander Nübel,584722,VfB Stuttgart,2677,76,-3.06,7.03,2700,30,868,177,47.45,1,0,GER,2023-2024,datafc_sofascore,2026-08-10 21:30:33
35,52608,Manuel Neuer,8959,FC Bayern München,2672,60,-3.46,6.94,2054,23,644,116,50.22,1,0,GER,2023-2024,datafc_sofascore,2026-08-10 21:30:33
35,52608,Janis Blaswich,96832,RB Leipzig,36360,47,-4.63,6.93,1890,21,748,97,46.63,0,0,GER,2023-2024,datafc_sofascore,2026-08-10 21:30:33
35,52608,Péter Gulácsi,37096,RB Leipzig,36360,33,1.4,7.07,1170,13,348,44,40.74,0,0,GER,2023-2024,datafc_sofascore,2026-08-10 21:30:33
35,52608,Jonas Omlin,571622,Borussia M'gladbach,2527,29,-4.65,7.19,630,7,171,48,41.74,1,0,GER,2023-2024,datafc_sofascore,2026-08-10 21:30:33
35,52608,Jiří Pavlenka,154040,SV Werder Bremen,2534,22,-3.77,6.83,630,7,150,40,40.4,0,0,GER,2023-2024,datafc_sofascore,2026-08-10 21:30:33
35,52608,Pavao Pervan,35976,VfL Wolfsburg,2524,20,-5.55,6.66,810,9,190,54,45.0,1,0,GER,2023-2024,datafc_sofascore,2026-08-10 21:30:33
35,52608,Fabian Bredlow,152463,VfB Stuttgart,2677,19,2.04,7.6,360,4,121,30,42.25,0,0,GER,2023-2024,datafc_sofascore,2026-08-10 21:30:33
35,52608,Alexander Meyer,138491,Borussia Dortmund,2673,19,-0.97,7.03,694,8,273,46,43.4,0,0,GER,2023-2024,datafc_sofascore,2026-08-10 21:30:33
35,52608,Sven Ulreich,26768,FC Bayern München,2672,19,-0.16,6.71,990,11,276,38,39.18,1,0,GER,2023-2024,datafc_sofascore,2026-08-10 21:30:33
35,52608,Tomáš Koubek,124294,FC Augsburg,2600,17,-0.81,7.37,270,3,63,22,44.9,0,0,GER,2023-2024,datafc_sofascore,2026-08-10 21:30:33
35,52608,Daniel Batz,94312,1. FSV Mainz 05,2556,14,-0.51,7.15,360,4,90,23,32.39,0,0,GER,2023-2024,datafc_sofascore,2026-08-10 21:30:33
35,52608,Jens Grahl,27214,Eintracht Frankfurt,2674,7,-0.61,7.2,180,2,46,5,14.29,0,0,GER,2023-2024,datafc_sofascore,2026-08-10 21:30:33
35,52608,Alexander Brunst,174285,Darmstadt 98,2576,7,-3.75,6.33,270,3,90,38,45.24,2,0,GER,2023-2024,datafc_sofascore,2026-08-10 21:30:33
35,52608,Alexander Schwolow,134778,1. FC Union Berlin,2547,4,-0.81,7.4,90,1,25,7,50.0,0,0,GER,2023-2024,datafc_sofascore,2026-08-10 21:30:33
35,52608,Matěj Kovář,927366,Bayer 04 Leverkusen,2681,3,0.44,7.5,90,1,11,0,0.0,0,0,GER,2023-2024,datafc_sofascore,2026-08-10 21:30:33
