tournament_id,season_id,player_name,player_id,team_name,team_id,rating,goals,assists,expectedGoals,expectedAssists,shotsOnTarget,totalShots,bigChancesCreated,bigChancesMissed,accuratePasses,accuratePassesPercentage,keyPasses,accurateLongBalls,accurateLongBallsPercentage,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,clearances,possessionLost,minutesPlayed,appearances,yellowCards,redCards,_league_id,_season,_source,_scraped_at
35,77333,Matheo Raab,842718,1. FC Union Berlin,2547,9.7,0,0,,0.0,0,0,0,0,17,53.13,0,11,42.31,0,0.0,0,0,2,17,90,1,0,0,GER,2025-2026,datafc_sofascore,2026-08-10 21:30:47
35,77333,Sander Tangvik,1030355,Hamburger SV,2676,8.8,0,0,,0.0,0,0,0,0,34,66.67,0,9,34.62,0,0.0,0,0,3,17,90,1,0,0,GER,2025-2026,datafc_sofascore,2026-08-10 21:30:47
35,77333,Michael Olise,978838,FC Bayern München,2672,7.87,15,19,11.46,17.23,50,101,27,15,1310,84.14,81,28,60.87,65,47.1,24,13,9,573,2317,32,8,0,GER,2025-2026,datafc_sofascore,2026-08-10 21:30:47
35,77333,Harry Kane,108579,FC Bayern München,2672,7.84,36,5,26.87,4.27,67,119,18,18,589,81.02,40,78,70.91,32,62.75,19,8,33,258,2382,31,1,0,GER,2025-2026,datafc_sofascore,2026-08-10 21:30:47
35,77333,Frank Feller,1083359,1. FC Heidenheim,5885,7.77,0,0,,0.01,0,0,0,0,83,71.55,0,31,49.21,0,0.0,1,0,4,35,270,3,0,0,GER,2025-2026,datafc_sofascore,2026-08-10 21:30:47
35,77333,Yan Diomande,2087085,RB Leipzig,36360,7.72,12,8,7.14,10.12,26,53,17,6,896,83.97,56,28,73.68,118,59.9,29,16,9,451,2476,33,2,0,GER,2025-2026,datafc_sofascore,2026-08-10 21:30:47
35,77333,Joshua Kimmich,259117,FC Bayern München,2672,7.71,2,8,2.65,10.24,10,28,16,1,2448,92.38,58,160,71.11,11,61.11,32,25,18,354,2280,29,4,0,GER,2025-2026,datafc_sofascore,2026-08-10 21:30:47
35,77333,Nico Schlotterbeck,940871,Borussia Dortmund,2673,7.67,5,1,3.72,2.69,9,32,1,2,1752,88.26,12,187,61.72,15,65.22,50,27,127,332,2520,28,8,0,GER,2025-2026,datafc_sofascore,2026-08-10 21:30:47
35,77333,Sven Ulreich,26768,FC Bayern München,2672,7.6,0,0,,0.0,0,0,0,0,18,47.37,0,5,20.0,0,0.0,0,0,0,20,90,1,1,0,GER,2025-2026,datafc_sofascore,2026-08-10 21:30:47
35,77333,Karl Hein,991591,SV Werder Bremen,2534,7.6,0,0,,0.0,0,0,0,0,83,75.45,0,18,40.91,1,100.0,0,0,4,27,180,2,0,0,GER,2025-2026,datafc_sofascore,2026-08-10 21:30:47
35,77333,Dan Zagadou,826205,VfB Stuttgart,2677,7.53,0,0,0.34,0.12,1,6,0,0,184,86.38,1,4,22.22,1,100.0,5,5,17,31,210,3,0,0,GER,2025-2026,datafc_sofascore,2026-08-10 21:30:47
35,77333,Mick Schmetgens,1568521,SV Werder Bremen,2534,7.5,0,0,,0.11,0,0,0,0,36,90.0,0,0,0.0,0,0.0,1,1,5,5,36,2,0,0,GER,2025-2026,datafc_sofascore,2026-08-10 21:30:47
