tournament_id,season_id,player_name,player_id,team_name,team_id,rating,goals,assists,expectedGoals,expectedAssists,shotsOnTarget,totalShots,bigChancesCreated,bigChancesMissed,accuratePasses,accuratePassesPercentage,keyPasses,accurateLongBalls,accurateLongBallsPercentage,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,clearances,possessionLost,minutesPlayed,appearances,yellowCards,redCards,_league_id,_season,_source,_scraped_at
34,52571,Jérémy Doku,934386,Stade Rennais,1658,7.9,1,0,0.6,0.61,4,6,0,1,42,87.5,3,1,100.0,9,100.0,2,0,0,11,111,2,0,0,FRA,2023-2024,datafc_sofascore,2026-08-10 21:31:20
34,52571,Kylian Mbappé,826643,Paris Saint-Germain,1644,7.89,27,7,20.96,5.2,59,120,8,12,793,85.18,40,37,86.05,61,49.59,4,2,1,328,2158,29,4,0,FRA,2023-2024,datafc_sofascore,2026-08-10 21:31:20
34,52571,Jordan Amavi,342915,Stade Brestois,1715,7.8,1,0,0.1,0.01,1,1,0,0,39,86.67,0,3,100.0,1,50.0,1,3,2,10,91,2,1,0,FRA,2023-2024,datafc_sofascore,2026-08-10 21:31:20
34,52571,Massamba N'Diaye,1177344,Clermont Foot,1680,7.7,0,0,,0.01,0,0,0,0,102,70.83,0,28,40.0,0,0.0,0,0,5,45,360,4,0,0,FRA,2023-2024,datafc_sofascore,2026-08-10 21:31:20
34,52571,Aleksandr Golovin,318963,AS Monaco,1653,7.64,6,6,3.73,6.44,19,44,7,2,889,80.67,50,66,70.21,24,58.54,42,21,12,387,2154,25,9,1,FRA,2023-2024,datafc_sofascore,2026-08-10 21:31:20
34,52571,Jean-Ricner Bellegarde,845273,RC Strasbourg,1659,7.57,2,2,0.56,1.07,3,5,2,0,65,75.58,3,2,33.33,8,61.54,5,4,0,54,269,3,2,0,FRA,2023-2024,datafc_sofascore,2026-08-10 21:31:20
34,52571,Caio Henrique,845170,AS Monaco,1653,7.54,0,5,0.24,2.33,1,6,5,0,317,85.44,13,14,63.64,5,55.56,13,6,8,107,628,9,0,0,FRA,2023-2024,datafc_sofascore,2026-08-10 21:31:20
34,52571,Florian Sotoca,788921,RC Lens,1648,7.5,7,6,9.1,6.32,22,69,14,3,996,77.51,53,45,54.88,20,57.14,33,20,34,474,2603,32,4,1,FRA,2023-2024,datafc_sofascore,2026-08-10 21:31:20
34,52571,Radosław Majecki,849114,AS Monaco,1653,7.5,0,0,,0.01,0,0,0,0,210,68.18,0,55,36.42,0,0.0,0,0,9,99,1080,12,1,0,FRA,2023-2024,datafc_sofascore,2026-08-10 21:31:20
34,52571,Vitinha,902029,Paris Saint-Germain,1644,7.49,7,4,3.15,4.0,19,45,4,2,1642,91.27,37,76,78.35,32,62.75,39,23,29,265,2130,28,0,0,FRA,2023-2024,datafc_sofascore,2026-08-10 21:31:20
34,52571,Teji Savanier,156682,Montpellier,1642,7.48,9,6,9.13,8.52,29,82,13,3,1234,75.85,94,198,55.93,55,56.7,37,33,26,725,2773,32,8,1,FRA,2023-2024,datafc_sofascore,2026-08-10 21:31:20
34,52571,Romain Del Castillo,825681,Stade Brestois,1715,7.43,8,8,5.24,9.15,17,40,14,2,880,75.34,89,47,62.67,75,49.34,46,9,7,682,2515,33,4,0,FRA,2023-2024,datafc_sofascore,2026-08-10 21:31:20
34,52571,Rémy Descamps,788180,Nantes,1647,7.42,0,0,0.0,0.02,0,0,0,0,100,54.35,0,56,40.29,0,0.0,0,0,12,84,540,6,1,0,FRA,2023-2024,datafc_sofascore,2026-08-10 21:31:20
34,52571,Pierre Lees Melou,801306,Stade Brestois,1715,7.4,4,0,2.39,3.01,13,52,5,0,1415,86.49,28,191,69.45,29,67.44,96,43,57,323,2521,29,10,1,FRA,2023-2024,datafc_sofascore,2026-08-10 21:31:20
34,52571,Dimitry Bertaud,794465,Montpellier,1642,7.4,0,0,,0.01,0,0,0,0,65,56.52,0,25,33.33,0,0.0,0,0,0,51,360,4,0,0,FRA,2023-2024,datafc_sofascore,2026-08-10 21:31:20
34,52571,Ousmane Dembélé,818244,Paris Saint-Germain,1644,7.38,3,8,4.42,5.81,14,43,10,6,766,81.75,59,32,71.11,65,49.24,19,5,3,387,1509,26,0,0,FRA,2023-2024,datafc_sofascore,2026-08-10 21:31:20
34,52571,Mory Diaw,580226,Clermont Foot,1680,7.35,0,0,0.0,0.09,0,0,0,0,719,64.66,2,250,39.68,3,75.0,1,1,20,400,2700,30,3,0,FRA,2023-2024,datafc_sofascore,2026-08-10 21:31:20
34,52571,Achraf Hakimi,814594,Paris Saint-Germain,1644,7.34,4,5,4.19,4.22,12,42,8,1,1541,88.72,43,40,54.79,27,47.37,29,12,25,375,1931,25,3,0,FRA,2023-2024,datafc_sofascore,2026-08-10 21:31:20
34,52571,Teddy Teuma,829643,Stade de Reims,1682,7.31,6,3,3.06,4.34,15,44,6,1,1127,83.54,43,64,53.78,27,62.79,54,20,4,408,2123,28,7,0,FRA,2023-2024,datafc_sofascore,2026-08-10 21:31:20
34,52571,Wilfried Singo,978285,AS Monaco,1653,7.31,1,1,0.85,1.08,7,19,2,0,1249,87.22,14,91,55.83,29,76.32,34,51,77,243,2187,25,8,1,FRA,2023-2024,datafc_sofascore,2026-08-10 21:31:20
34,52571,Gianluigi Donnarumma,824509,Paris Saint-Germain,1644,7.3,0,0,0.0,0.0,0,0,0,0,573,87.08,0,58,43.61,1,100.0,0,1,16,88,2170,25,3,1,FRA,2023-2024,datafc_sofascore,2026-08-10 21:31:20
34,52571,Benjamin Bourigeaud,324399,Stade Rennais,1658,7.29,9,6,9.93,6.17,17,51,8,2,1109,82.09,70,96,62.34,10,41.67,31,22,34,426,2435,32,1,0,FRA,2023-2024,datafc_sofascore,2026-08-10 21:31:20
34,52571,Angel Gomes,867441,Lille,1643,7.29,0,8,2.02,5.96,7,34,15,0,1550,91.34,48,113,76.35,22,64.71,26,18,26,238,2578,31,5,0,FRA,2023-2024,datafc_sofascore,2026-08-10 21:31:20
34,52571,Junya Ito,783278,Stade de Reims,1682,7.28,3,7,4.54,9.95,15,46,19,7,660,73.41,80,36,50.0,54,54.0,33,14,5,549,2722,31,2,0,FRA,2023-2024,datafc_sofascore,2026-08-10 21:31:20
34,52571,Anthony Lopes,48535,Olympique Lyonnais,1649,7.28,0,0,0.0,0.18,0,0,1,0,619,70.42,1,176,40.84,0,0.0,0,0,24,262,2790,31,0,0,FRA,2023-2024,datafc_sofascore,2026-08-10 21:31:20
34,52571,Alexandre Lacazette,50070,Olympique Lyonnais,1649,7.28,19,2,11.41,2.08,36,62,4,9,394,72.43,21,17,53.13,22,56.41,19,8,9,274,2303,29,3,1,FRA,2023-2024,datafc_sofascore,2026-08-10 21:31:20
34,52571,Pierre-Emerick Aubameyang,51498,Olympique de Marseille,1641,7.27,17,8,20.58,4.42,52,116,10,22,432,70.82,27,5,33.33,18,56.25,22,9,23,295,2628,34,4,0,FRA,2023-2024,datafc_sofascore,2026-08-10 21:31:20
34,52571,Marquinhos,155995,Paris Saint-Germain,1644,7.26,0,1,0.43,0.75,0,4,1,0,1685,94.5,9,74,59.2,1,100.0,19,17,55,112,1539,21,1,0,FRA,2023-2024,datafc_sofascore,2026-08-10 21:31:20
34,52571,Takumi Minamino,155818,AS Monaco,1653,7.26,9,6,5.87,4.35,28,60,8,3,632,75.87,35,18,39.13,15,39.47,34,11,7,349,2125,30,4,0,FRA,2023-2024,datafc_sofascore,2026-08-10 21:31:20
