tournament_id,season_id,player_name,player_id,team_name,team_id,rating,goals,assists,expectedGoals,expectedAssists,shotsOnTarget,totalShots,bigChancesCreated,bigChancesMissed,accuratePasses,accuratePassesPercentage,keyPasses,accurateLongBalls,accurateLongBallsPercentage,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,clearances,possessionLost,minutesPlayed,appearances,yellowCards,redCards,_league_id,_season,_source,_scraped_at
37,52554,Kayne van Oevelen,1393970,FC Volendam,2968,8.5,0,0,,0.01,0,0,0,0,24,68.57,0,7,41.18,0,0.0,0,0,3,11,89,1,0,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Mark Spenkelink,875466,RKC Waalwijk,2956,8.4,0,0,,0.0,0,0,0,0,25,64.1,0,7,35.0,0,0.0,0,0,0,14,90,1,0,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Joey Veerman,850816,PSV Eindhoven,2952,8.26,5,16,4.32,13.75,19,58,25,5,1658,83.99,134,151,67.41,28,70.0,68,20,29,509,2388,29,1,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Mohammed Kudus,905163,AFC Ajax,2953,8.1,1,1,1.15,1.51,4,9,3,1,52,83.87,4,1,50.0,12,75.0,2,1,3,34,180,2,0,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Luuk de Jong,40878,PSV Eindhoven,2952,7.89,29,15,28.16,7.35,63,145,18,33,618,74.37,67,11,57.89,8,40.0,29,3,28,333,2776,34,3,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Steven Berghuis,100386,AFC Ajax,2953,7.7,5,8,3.87,7.83,19,57,15,1,711,82.29,42,70,66.67,19,45.24,26,5,8,319,1444,20,1,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Tom Hendriks,967463,Fortuna Sittard,2957,7.7,0,0,,0.0,0,0,0,0,12,66.67,0,5,45.45,0,0.0,0,0,1,6,90,1,0,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Maximilian Wittek,254125,Vitesse,2958,7.7,0,0,0.15,0.07,3,3,0,0,42,82.35,2,5,62.5,0,0.0,2,1,2,22,90,1,0,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Johan Bakayoko,1088896,PSV Eindhoven,2952,7.64,12,9,8.69,10.61,32,96,12,7,1040,87.03,70,23,62.16,92,56.79,33,9,3,434,2503,33,1,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Olivier Boscagli,788784,PSV Eindhoven,2952,7.58,3,4,2.14,2.46,9,22,3,1,2455,87.49,28,291,62.85,15,83.33,41,66,116,393,2838,33,3,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Mats Wieffer,959628,Feyenoord,2959,7.56,5,3,5.19,3.31,9,37,6,2,1518,83.64,38,81,65.85,34,66.67,83,50,35,412,2591,29,2,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Malik Tillman,975798,PSV Eindhoven,2952,7.54,9,10,6.75,8.33,28,51,15,5,590,83.57,50,18,58.06,38,53.52,40,15,9,275,1590,28,2,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Dávid Hancko,807771,Feyenoord,2959,7.51,5,2,5.6,4.3,21,67,8,10,2624,89.19,25,113,41.85,28,77.78,38,29,92,392,3035,34,2,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Calvin Stengs,857480,Feyenoord,2959,7.51,6,12,5.22,8.59,19,44,13,5,757,82.37,72,27,65.85,41,56.94,31,3,9,352,2111,29,2,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Sam Lammers,804901,FC Utrecht,2948,7.5,10,3,9.31,2.45,30,61,5,3,271,66.26,19,6,46.15,13,41.94,25,4,4,276,1607,18,0,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Jesper Uneken,1475512,PSV Eindhoven,2952,7.5,1,0,0.42,,1,1,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,6,1,0,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Ibrahim Sangaré,843754,PSV Eindhoven,2952,7.5,0,1,0.11,0.29,0,2,1,0,150,89.29,4,8,53.33,2,66.67,2,2,2,27,180,2,0,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Joël Drommel,610396,PSV Eindhoven,2952,7.5,0,0,,0.0,0,0,0,0,27,93.1,0,5,71.43,0,0.0,0,0,1,2,90,1,0,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Tjaronn Chery,35208,NEC Nijmegen,2962,7.48,5,2,3.23,2.81,21,43,6,2,385,84.62,28,22,62.86,11,45.83,8,4,2,186,1037,14,0,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Quinten Timber,959805,Feyenoord,2959,7.47,7,9,6.81,6.35,19,63,13,6,849,80.78,65,12,38.71,40,50.63,66,13,14,399,2674,31,4,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Yukinari Sugawara,905347,AZ Alkmaar,2950,7.46,4,7,1.98,7.4,13,37,16,1,1294,83.97,53,101,52.6,14,70.0,34,18,50,456,2564,30,1,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Jordan Teze,825846,PSV Eindhoven,2952,7.44,2,9,1.33,7.0,6,23,15,2,1564,88.21,55,78,60.47,17,53.13,51,16,31,360,2488,30,4,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Magnus Mattsson,896117,NEC Nijmegen,2962,7.41,11,4,7.44,3.24,28,45,4,6,495,79.71,29,11,33.33,42,61.76,37,14,14,278,1710,19,1,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Tobias Lauritsen,796943,Sparta Rotterdam,2960,7.41,12,9,12.99,4.82,46,84,6,14,378,58.24,31,6,40.0,8,33.33,12,3,38,376,2499,31,2,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Lutsharel Geertruida,856739,Feyenoord,2959,7.41,8,5,8.34,4.35,18,40,7,9,1946,91.62,41,67,55.83,23,57.5,49,31,43,310,3041,34,2,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Brian Brobbey,910048,AFC Ajax,2953,7.41,18,8,19.78,5.89,42,85,10,25,413,79.12,45,9,60.0,28,56.0,7,0,25,257,2416,30,4,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Vangelis Pavlidis,795236,AZ Alkmaar,2950,7.41,29,4,23.95,5.79,62,122,12,30,617,69.33,48,36,56.25,45,39.47,35,3,30,581,2999,34,2,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Philippe Rommens,606190,Go Ahead Eagles,2979,7.41,5,4,2.52,3.39,16,31,2,0,812,82.6,42,60,60.0,5,50.0,30,25,16,276,1624,20,1,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Steven Bergwijn,361798,AFC Ajax,2953,7.4,12,4,10.01,6.62,30,66,8,4,764,87.12,50,16,51.61,39,50.65,17,4,6,275,1951,24,5,1,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Sergiño Dest,906021,PSV Eindhoven,2952,7.4,2,6,2.02,4.56,9,33,8,1,1018,90.41,36,22,59.46,64,64.0,33,11,22,320,2126,25,1,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Manfred Ugalde,993560,FC Twente,2955,7.39,7,6,7.91,3.43,23,64,7,8,217,68.45,23,2,25.0,19,47.5,14,1,6,205,1382,18,3,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Hirving Lozano,385320,PSV Eindhoven,2952,7.39,6,3,9.1,5.45,25,73,13,10,471,83.96,40,13,61.9,32,44.44,24,15,3,256,1536,24,2,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Etienne Vaessen,809408,RKC Waalwijk,2956,7.39,0,0,0.0,0.18,0,0,0,0,766,64.26,1,287,40.48,3,100.0,2,0,33,435,2645,30,3,1,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Jordan Henderson,42694,AFC Ajax,2953,7.38,0,3,0.17,2.58,3,6,6,0,630,88.61,22,46,56.1,4,40.0,13,5,9,123,754,9,0,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Mio Backhaus,1083390,FC Volendam,2968,7.37,0,0,0.0,0.1,0,0,0,0,709,57.55,1,286,35.71,0,0.0,2,1,46,535,2888,33,3,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Noa Lang,875136,PSV Eindhoven,2952,7.35,4,1,2.71,2.75,13,21,6,2,226,83.09,17,15,71.43,11,44.0,3,1,3,120,588,11,0,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Mike Hauptmeijer,376448,PEC Zwolle,2971,7.35,0,0,,0.0,0,0,0,0,53,63.1,0,13,30.23,1,50.0,0,0,2,32,180,2,0,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Igor Paixão,981815,Feyenoord,2959,7.35,9,3,7.53,6.58,31,72,10,8,510,80.82,59,19,54.29,29,49.15,22,9,16,326,1941,31,3,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Younes Namli,235538,PEC Zwolle,2971,7.34,4,7,3.08,7.24,19,63,11,0,882,80.55,71,71,65.14,53,61.63,37,11,12,447,2572,30,5,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Santiago Giménez,892141,Feyenoord,2959,7.33,23,6,23.01,4.22,53,109,9,24,265,69.19,29,7,63.64,28,35.0,8,0,8,304,2384,30,3,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,André Ramalho,148155,PSV Eindhoven,2952,7.32,3,1,2.29,1.12,8,31,2,4,2024,89.32,9,173,61.57,3,75.0,48,30,98,271,2372,33,5,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Jizz Hornkamp,914392,Heracles Almelo,2977,7.32,10,2,7.83,1.84,19,41,4,6,180,64.75,17,4,57.14,9,50.0,12,3,16,156,1294,17,2,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Ismael Saibari,1063767,PSV Eindhoven,2952,7.31,5,4,5.5,3.47,18,38,4,7,411,85.98,27,15,75.0,21,51.22,31,10,9,146,1016,19,1,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Vito van Crooij,385708,Sparta Rotterdam,2960,7.3,0,1,0.29,0.71,0,6,3,0,55,65.48,8,6,60.0,0,0.0,3,2,4,53,263,3,1,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Ricky van Wolfswinkel,35193,FC Twente,2955,7.28,16,1,10.37,3.04,28,60,7,9,371,72.18,37,9,60.0,14,53.85,24,9,18,241,1876,32,4,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Vasilis Barkas,347726,FC Utrecht,2948,7.28,0,0,0.0,0.11,0,0,1,0,572,64.63,1,197,39.4,0,0.0,2,0,12,318,2610,29,2,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Thom Haye,149666,SC Heerenveen,2964,7.27,4,4,4.56,4.78,16,47,5,1,1539,84.7,63,184,67.4,24,55.81,54,30,47,459,2614,32,4,1,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
37,52554,Yankuba Minteh,1400106,Feyenoord,2959,7.27,10,5,9.77,4.75,24,56,9,10,334,69.44,27,8,34.78,59,52.21,46,3,9,356,1471,27,0,0,NED,2023-2024,datafc_sofascore,2026-08-10 21:32:10
