league,season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,_league_id,_season,_stat_type,_source,_scraped_at
ENG-Premier League,2425,Arsenal,Ben White,ENG,DF,26,1997,13.3,2,0,0,10,5,1,17,16,15,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",22,2001,19.2,3,0,0,15,39,7,115,3,15,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,28,1995,38.0,3,0,0,1,10,0,0,0,0,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Arsenal,Declan Rice,ENG,MF,25,1999,31.4,7,1,1,21,16,2,161,27,23,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"FW,MF",17,2007,9.9,1,0,0,10,5,6,54,3,6,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,27,1997,6.8,4,0,0,14,10,9,6,5,6,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,26,1997,26.3,4,0,0,19,19,0,9,16,15,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23,2001,25.4,1,0,0,16,21,8,90,4,15,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,24,2000,12.5,1,0,0,10,4,1,2,6,8,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Arsenal,Jorginho,ITA,MF,32,1991,7.8,5,0,0,15,17,0,1,7,4,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23,2001,26.9,7,0,0,30,29,7,28,24,36,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Arsenal,Kai Havertz,GER,FW,25,1999,20.8,5,0,0,38,23,14,11,5,8,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Arsenal,Kieran Tierney,SCO,DF,27,1997,2.9,0,0,0,1,2,2,14,3,5,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,29,1994,28.3,4,1,1,27,46,6,80,10,18,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Arsenal,Martin Ødegaard,NOR,MF,25,1998,25.8,4,0,0,12,23,1,86,6,8,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Arsenal,Mikel Merino,ESP,"MF,FW",28,1996,17.6,4,1,1,41,23,7,12,16,28,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Arsenal,Myles Lewis-Skelly,ENG,DF,17,2006,15.2,3,2,0,11,47,0,10,7,13,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Arsenal,Nathan Butler-Oyedeji,ENG,FW,21,2003,0.1,0,0,0,0,0,0,0,0,0,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",27,1996,5.9,1,0,0,8,3,1,13,5,0,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Arsenal,Raheem Sterling,ENG,"FW,MF",29,1994,5.5,1,0,0,12,8,4,16,1,4,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Arsenal,Reiss Nelson,ENG,"FW,MF",24,1999,0.0,0,0,0,1,1,0,0,0,1,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Arsenal,Riccardo Calafiori,ITA,DF,22,2002,10.9,4,0,0,15,6,3,11,8,18,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Arsenal,Takehiro Tomiyasu,JPN,DF,25,1998,0.1,0,0,0,0,0,0,0,0,0,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
