league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,_league_id,_season,_stat_type,_source,_scraped_at
ENG-Premier League,2526,Arsenal,David Raya,ESP,GK,29,1995,37,37,3330,37.0,26,0.7,86,59,69.8,25,7,5,19,51.4,0,0,0,0,,ENG,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:44:15
ENG-Premier League,2526,Arsenal,Kepa Arrizabalaga,ESP,GK,30,1994,1,1,90,1.0,1,1.0,3,2,66.7,1,0,0,0,0.0,0,0,0,0,,ENG,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:44:15
ENG-Premier League,2526,Aston Villa,Emiliano Martínez,ARG,GK,32,1992,32,32,2835,31.5,39,1.24,134,95,70.9,16,6,10,8,25.0,1,0,1,0,100.0,ENG,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:44:15
ENG-Premier League,2526,Aston Villa,Marco Bizot,NED,GK,34,1991,7,6,585,6.5,10,1.54,29,19,65.5,3,2,1,2,33.3,1,1,0,0,0.0,ENG,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:44:15
ENG-Premier League,2526,Bournemouth,Đorđe Petrović,SRB,GK,25,1999,38,38,3420,38.0,54,1.42,163,109,66.9,13,18,7,11,28.9,6,6,0,0,0.0,ENG,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:44:15
ENG-Premier League,2526,Brentford,Caoimhín Kelleher,IRL,GK,26,1998,37,37,3330,37.0,49,1.32,154,105,68.2,13,11,13,10,27.0,8,5,3,0,37.5,ENG,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:44:15
ENG-Premier League,2526,Brentford,Hákon Valdimarsson,ISL,GK,23,2001,1,1,90,1.0,3,3.0,4,1,25.0,1,0,0,0,0.0,0,0,0,0,,ENG,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:44:15
ENG-Premier League,2526,Brighton,Bart Verbruggen,NED,GK,22,2002,38,38,3420,38.0,46,1.21,151,103,69.5,14,11,13,10,26.3,6,5,1,0,16.7,ENG,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:44:15
ENG-Premier League,2526,Burnley,Martin Dúbravka,SVK,GK,36,1989,35,35,3150,35.0,71,2.03,198,127,64.1,4,8,23,4,11.4,7,6,0,1,0.0,ENG,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:44:15
ENG-Premier League,2526,Burnley,Max Weiß,GER,GK,21,2004,3,3,270,3.0,4,1.33,14,10,71.4,0,2,1,0,0.0,1,1,0,0,0.0,ENG,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:44:15
ENG-Premier League,2526,Chelsea,Filip Jørgensen,DEN,GK,23,2002,5,3,379,4.2,5,1.19,13,8,61.5,1,2,0,0,0.0,0,0,0,0,,ENG,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:44:15
ENG-Premier League,2526,Chelsea,Robert Sánchez,ESP,GK,27,1997,35,35,3039,33.8,49,1.45,147,97,66.7,13,8,14,9,25.7,2,2,0,0,0.0,ENG,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:44:15
ENG-Premier League,2526,Crystal Palace,Dean Henderson,ENG,GK,28,1997,37,37,3330,37.0,51,1.38,156,104,67.3,11,11,15,11,29.7,6,5,1,0,16.7,ENG,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:44:15
ENG-Premier League,2526,Crystal Palace,Walter Benítez,ARG,GK,32,1993,1,1,90,1.0,0,0.0,3,3,100.0,0,1,0,1,100.0,1,0,0,1,,ENG,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:44:15
ENG-Premier League,2526,Everton,Jordan Pickford,ENG,GK,31,1994,38,38,3420,38.0,50,1.32,149,99,66.4,13,10,15,11,28.9,4,3,1,0,25.0,ENG,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:44:15
ENG-Premier League,2526,Fulham,Bernd Leno,GER,GK,33,1992,38,38,3420,38.0,51,1.34,149,98,65.8,15,7,16,9,23.7,4,3,0,1,0.0,ENG,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:44:15
ENG-Premier League,2526,Leeds United,Karl Darlow,WAL,GK,34,1990,22,22,1980,22.0,27,1.23,90,63,70.0,7,8,7,5,22.7,2,2,0,0,0.0,ENG,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:44:15
ENG-Premier League,2526,Leeds United,Lucas Perri,BRA,GK,27,1997,16,16,1440,16.0,29,1.81,67,38,56.7,4,6,6,3,18.8,4,4,0,0,0.0,ENG,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:44:15
ENG-Premier League,2526,Liverpool,Alisson,BRA,GK,32,1992,26,26,2340,26.0,31,1.19,88,57,64.8,13,8,5,8,30.8,2,2,0,0,0.0,ENG,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:44:15
ENG-Premier League,2526,Liverpool,Freddie Woodman,ENG,GK,28,1997,3,2,213,2.4,4,1.69,13,9,69.2,1,0,1,0,0.0,0,0,0,0,,ENG,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:44:15
ENG-Premier League,2526,Liverpool,Giorgi Mamardashvili,GEO,GK,24,2000,10,10,867,9.6,18,1.87,51,33,64.7,3,1,6,2,20.0,2,1,1,0,50.0,ENG,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:44:15
ENG-Premier League,2526,Manchester City,Gianluigi Donnarumma,ITA,GK,26,1999,34,34,3060,34.0,29,0.85,106,75,72.6,22,9,3,15,44.1,1,0,1,0,100.0,ENG,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:44:15
ENG-Premier League,2526,Manchester City,James Trafford,ENG,GK,22,2002,4,4,360,4.0,6,1.5,20,14,70.0,1,0,3,1,25.0,1,1,0,0,0.0,ENG,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:44:15
ENG-Premier League,2526,Manchester Utd,Altay Bayındır,TUR,GK,27,1998,6,6,540,6.0,11,1.83,24,13,54.2,2,1,3,0,0.0,0,0,0,0,,ENG,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:44:15
ENG-Premier League,2526,Manchester Utd,Senne Lammens,BEL,GK,23,2002,32,32,2880,32.0,39,1.22,118,78,66.9,18,10,4,8,25.0,4,4,0,0,0.0,ENG,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:44:15
ENG-Premier League,2526,Newcastle,Aaron Ramsdale,ENG,GK,27,1998,12,11,1004,11.2,17,1.52,41,24,58.5,4,2,5,1,9.1,3,3,0,0,0.0,ENG,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:44:15
