league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,_league_id,_season,_stat_type,_source,_scraped_at
ESP-La Liga,2425,Alavés,Abde Rebbach,ALG,"MF,FW",25,1998,8,4,385,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Alavés,Abdel Abqar,MAR,DF,25,1999,29,29,2463,27.4,0,1,1,0,0,0,13,0,0.0,0.04,0.04,0.0,0.04,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Alavés,Adrian Rodriguez,ESP,GK,23,2000,2,1,122,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Alavés,Aleksandar Sedlar,SRB,DF,32,1991,9,7,594,6.6,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Alavés,Ander Guevara,ESP,MF,27,1997,33,20,1947,21.6,0,1,1,0,0,0,3,0,0.0,0.05,0.05,0.0,0.05,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Alavés,Antonio Blanco,ESP,MF,24,2000,35,32,2727,30.3,0,1,1,0,0,0,11,1,0.0,0.03,0.03,0.0,0.03,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Alavés,Antonio Sivera,ESP,GK,27,1996,32,32,2810,31.2,0,0,0,0,0,0,6,1,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Alavés,Asier Villalibre,ESP,FW,26,1997,16,2,333,3.7,1,1,2,0,1,1,2,0,0.27,0.27,0.54,0.0,0.27,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Alavés,Carles Aleñá,ESP,MF,26,1998,14,13,1090,12.1,0,2,2,0,0,0,1,0,0.0,0.17,0.17,0.0,0.17,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Alavés,Carlos Benavídez,URU,MF,26,1998,18,6,487,5.4,1,1,2,1,0,0,3,0,0.18,0.18,0.37,0.18,0.37,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Alavés,Carlos Martín,ESP,"MF,FW",22,2002,26,16,1333,14.8,2,2,4,2,0,0,3,0,0.14,0.14,0.27,0.14,0.27,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
