league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,_league_id,_season,_stat_type,_source,_scraped_at
ESP-La Liga,2425,Alavés,Abde Rebbach,ALG,"MF,FW",25,1998,8,385,48,11.3,4.3,4,75,1,4,22,10,1.25,6,7,-1,-0.23,0.03,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Alavés,Abdel Abqar,MAR,DF,25,1999,29,2463,85,72.0,27.4,29,85,24,0,,0,1.03,30,41,-11,-0.4,-0.5,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Alavés,Adrian Rodriguez,ESP,GK,23,2000,2,122,61,3.6,1.4,1,90,1,1,32,23,2.0,2,2,0,0.0,0.27,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Alavés,Alejandro Jay Agustín,ESP,MF,22,2002,0,,,,,0,,0,0,,1,,,,,,,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Alavés,Aleksandar Sedlar,SRB,DF,32,1991,9,594,66,17.4,6.6,7,82,4,2,9,25,1.11,9,8,1,0.15,0.5,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Alavés,Ander Guevara,ESP,MF,27,1997,33,1947,59,56.9,21.6,20,80,10,13,27,5,1.12,24,24,0,0.0,0.61,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Alavés,Antonio Blanco,ESP,MF,24,2000,35,2727,78,79.7,30.3,32,83,19,3,19,1,1.14,24,39,-15,-0.5,-1.14,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Alavés,Antonio Sivera,ESP,GK,27,1996,32,2810,88,82.2,31.2,32,88,30,0,,0,1.16,31,39,-8,-0.26,0.04,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Alavés,Asier Villalibre,ESP,FW,26,1997,16,333,21,9.7,3.7,2,66,0,14,14,22,0.5,3,10,-7,-1.89,-1.8,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Alavés,Carles Aleñá,ESP,MF,26,1998,14,1090,78,31.9,12.1,13,82,5,1,18,1,1.29,11,12,-1,-0.08,0.27,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
