league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,_league_id,_season,_stat_type,_source,_scraped_at
ESP-La Liga,2425,Alavés,Adrian Rodriguez,ESP,GK,23,2000,2,1,122,1.4,2,1.48,6,4,66.7,0,1,0,1,100.0,1,1,0,0,0.0,ESP,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:48:09
ESP-La Liga,2425,Alavés,Antonio Sivera,ESP,GK,27,1996,32,32,2810,31.2,39,1.25,106,75,63.2,9,10,13,9,28.1,9,9,0,0,0.0,ESP,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:48:09
ESP-La Liga,2425,Alavés,Jesús Owono,EQG,GK,23,2001,6,5,487,5.4,7,1.29,14,7,50.0,1,1,3,0,0.0,1,1,0,0,0.0,ESP,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:48:09
ESP-La Liga,2425,Athletic Club,Alex Padilla,ESP,GK,20,2003,5,3,321,3.6,6,1.68,18,12,66.7,0,1,2,0,0.0,1,1,0,0,0.0,ESP,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:48:09
ESP-La Liga,2425,Athletic Club,Julen Agirrezabala,ESP,GK,23,2000,14,14,1206,13.4,10,0.75,34,24,70.6,9,4,1,5,35.7,2,1,1,0,50.0,ESP,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:48:09
ESP-La Liga,2425,Athletic Club,Unai Simón,ESP,GK,27,1997,21,21,1890,21.0,14,0.67,61,47,77.0,10,8,3,10,47.6,2,1,1,0,50.0,ESP,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:48:09
ESP-La Liga,2425,Atlético Madrid,Jan Oblak,SVN,GK,31,1993,36,36,3240,36.0,30,0.83,116,86,74.1,20,10,6,15,41.7,5,5,0,0,0.0,ESP,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:48:09
ESP-La Liga,2425,Atlético Madrid,Juan Musso,ARG,GK,30,1994,2,2,180,2.0,0,0.0,2,2,100.0,2,0,0,2,100.0,0,0,0,0,,ESP,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:48:09
ESP-La Liga,2425,Barcelona,Iñaki Peña,ESP,GK,25,1999,16,15,1396,15.5,18,1.16,52,35,65.4,7,3,5,4,26.7,2,2,0,0,0.0,ESP,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:48:09
ESP-La Liga,2425,Barcelona,Marc-André ter Stegen,GER,GK,32,1992,8,8,674,7.5,9,1.2,23,14,60.9,7,0,1,1,12.5,1,1,0,0,0.0,ESP,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:48:09
