league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,_league_id,_season,_stat_type,_source,_scraped_at
ESP-La Liga,2526,Alavés,Abde Rebbach,ALG,"MF,DF",26,1998,16.6,1,34,12,35.3,2.05,0.72,0.03,0.08,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Alavés,Aitor Mañas,ESP,FW,22,2003,1.4,0,2,1,50.0,1.48,0.74,0.0,0.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Alavés,Ander Guevara,ESP,MF,28,1997,7.3,1,5,1,20.0,0.69,0.14,0.2,1.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Alavés,Antonio Blanco,ESP,MF,25,2000,34.6,2,40,13,32.5,1.16,0.38,0.05,0.15,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Alavés,Antonio Sivera,ESP,GK,28,1996,38.0,0,0,0,,0.0,0.0,,,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Alavés,Calebe,BRA,MF,25,2000,8.4,0,5,1,20.0,0.6,0.12,0.0,0.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Alavés,Carles Aleñá,ESP,MF,27,1998,22.1,0,29,5,17.2,1.31,0.23,0.0,0.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Alavés,Carlos Ballestero,ESP,DF,21,2004,0.0,0,0,0,,0.0,0.0,,,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Alavés,Carlos Benavídez,URU,DF,27,1998,3.6,0,3,2,66.7,0.83,0.56,0.0,0.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Alavés,Carlos Vicente,ESP,MF,26,1999,14.0,5,12,6,50.0,0.86,0.43,0.17,0.33,3,3,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Alavés,Denis Suárez,ESP,MF,31,1994,15.6,1,9,4,44.4,0.58,0.26,0.11,0.25,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Alavés,Diego Morcillo,ESP,FW,22,2003,0.1,0,1,0,0.0,9.0,0.0,0.0,,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Alavés,Facundo Garcés,MAS,DF,25,1999,8.8,0,8,4,50.0,0.91,0.45,0.0,0.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Alavés,Ibrahim Diabaté,CIV,FW,25,1999,6.4,2,15,5,33.3,2.34,0.78,0.13,0.4,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Alavés,Jon Guridi,ESP,"MF,FW",30,1995,13.8,0,15,4,26.7,1.09,0.29,0.0,0.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Alavés,Jon Pacheco,ESP,DF,24,2001,19.3,0,4,1,25.0,0.21,0.05,0.0,0.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Alavés,Jonny Castro,ESP,DF,31,1994,33.3,0,9,3,33.3,0.27,0.09,0.0,0.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Alavés,Lander Pinillos,ESP,MF,21,2003,0.0,0,0,0,,0.0,0.0,,,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Alavés,Lucas Boyé,ARG,FW,29,1996,21.8,11,63,21,33.3,2.9,0.97,0.13,0.38,3,3,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Alavés,Mariano,DOM,FW,31,1993,3.2,0,6,3,50.0,1.87,0.94,0.0,0.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Alavés,Moussa Diarra,MLI,DF,24,2000,2.4,0,0,0,,0.0,0.0,,,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Alavés,Nahuel Tenaglia,ARG,DF,29,1996,36.0,2,24,8,33.3,0.67,0.22,0.08,0.25,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Alavés,Pablo Ibáñez,ESP,MF,26,1998,24.8,1,47,13,27.7,1.89,0.52,0.02,0.08,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
