league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,_league_id,_season,_stat_type,_source,_scraped_at
GER-Bundesliga,2425,Augsburg,Alexis Claude-Maurice,FRA,"MF,FW",26,1998,28,25,2109,23.4,9,2,11,9,0,0,4,0,0.38,0.09,0.47,0.38,0.47,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Augsburg,Arne Engels,BEL,FW,20,2003,1,1,79,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Augsburg,Arne Maier,GER,MF,25,1999,28,7,938,10.4,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Augsburg,Cedric Zesiger,SUI,DF,26,1998,15,15,1221,13.6,0,2,2,0,0,0,7,1,0.0,0.15,0.15,0.0,0.15,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Augsburg,Chrislain Matsima,FRA,DF,22,2002,30,28,2551,28.3,1,1,2,1,0,0,4,0,0.04,0.04,0.07,0.04,0.07,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Augsburg,Dimitris Giannoulis,GRE,MF,28,1995,31,31,2650,29.4,1,4,5,1,0,0,8,0,0.03,0.14,0.17,0.03,0.17,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Augsburg,Elvis Rexhbeçaj,KVX,MF,26,1997,27,22,1785,19.8,1,1,2,1,0,0,8,0,0.05,0.05,0.1,0.05,0.1,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Augsburg,Finn Dahmen,GER,GK,26,1998,19,19,1710,19.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Augsburg,Frank Onyeka,NGA,MF,26,1998,31,30,2586,28.7,0,1,1,0,0,0,8,0,0.0,0.03,0.03,0.0,0.03,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Augsburg,Fredrik Jensen,FIN,"MF,FW",26,1997,20,9,763,8.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Augsburg,Henri Koudossou,GER,MF,24,1999,21,4,748,8.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Augsburg,Jeffrey Gouweleeuw,NED,DF,33,1991,33,33,2944,32.7,1,4,5,1,0,1,9,0,0.03,0.12,0.15,0.03,0.15,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Augsburg,Keven Schlotterbeck,GER,DF,27,1997,18,15,1297,14.4,3,1,4,3,0,0,4,1,0.21,0.07,0.28,0.21,0.28,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Augsburg,Kristijan Jakić,CRO,MF,27,1997,31,27,2306,25.6,0,1,1,0,0,0,2,0,0.0,0.04,0.04,0.0,0.04,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Augsburg,Mads Pedersen,DEN,DF,27,1996,7,2,235,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Augsburg,Marius Wolf,GER,MF,29,1995,32,28,2144,23.8,1,3,4,1,0,0,2,0,0.04,0.13,0.17,0.04,0.17,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Augsburg,Maximilian Bauer,GER,DF,24,2000,11,8,658,7.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Augsburg,Mergim Berisha,GER,FW,26,1998,2,0,40,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Augsburg,Mert Kömür,GER,MF,19,2005,20,5,654,7.3,2,1,3,2,0,0,1,0,0.28,0.14,0.41,0.28,0.41,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Augsburg,Nediljko Labrović,CRO,GK,24,1999,15,15,1350,15.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Augsburg,Niklas Dorsch,GER,MF,26,1998,1,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Augsburg,Noahkai Banks,USA,DF,17,2006,8,2,278,3.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Augsburg,Phillip Tietz,GER,FW,27,1997,34,19,1686,18.7,7,2,9,6,1,1,4,0,0.37,0.11,0.48,0.32,0.43,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Augsburg,Robert Gumny,POL,MF,26,1998,7,2,271,3.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Augsburg,Ruben Vargas,SUI,MF,25,1998,8,3,305,3.4,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Augsburg,Samuel Essende,COD,FW,26,1998,30,21,1636,18.2,7,2,9,7,0,0,4,2,0.39,0.11,0.5,0.39,0.5,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Augsburg,Steve Mounié,BEN,MF,29,1994,16,1,347,3.9,1,0,1,1,0,0,2,0,0.26,0.0,0.26,0.26,0.26,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Augsburg,Tim Breithaupt,GER,MF,22,2002,2,2,120,1.3,0,1,1,0,0,0,0,0,0.0,0.75,0.75,0.0,0.75,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Augsburg,Yusuf Kabadayı,GER,FW,20,2004,5,0,71,0.8,1,0,1,1,0,0,0,0,1.27,0.0,1.27,1.27,1.27,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bayern Munich,Adam Aznou,MAR,DF,18,2006,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bayern Munich,Aleksandar Pavlovic,GER,MF,20,2004,21,18,1451,16.1,1,0,1,1,0,0,2,0,0.06,0.0,0.06,0.06,0.06,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bayern Munich,Alphonso Davies,CAN,DF,23,2000,19,17,1560,17.3,1,2,3,1,0,0,0,0,0.06,0.12,0.17,0.06,0.17,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bayern Munich,Arijon Ibrahimović,GER,MF,18,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bayern Munich,Daniel Peretz,ISR,GK,24,2000,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bayern Munich,Dayot Upamecano,FRA,DF,25,1998,20,20,1759,19.5,2,0,2,2,0,0,6,0,0.1,0.0,0.1,0.1,0.1,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bayern Munich,Eric Dier,ENG,DF,30,1994,21,16,1463,16.3,2,1,3,2,0,0,1,0,0.12,0.06,0.18,0.12,0.18,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bayern Munich,Gabriel Vidovic,CRO,MF,20,2003,4,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bayern Munich,Harry Kane,ENG,FW,31,1993,31,28,2381,26.5,26,9,35,17,9,9,5,0,0.98,0.34,1.32,0.64,0.98,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bayern Munich,Hiroki Ito,JPN,DF,25,1999,6,3,250,2.8,1,0,1,1,0,0,1,0,0.36,0.0,0.36,0.36,0.36,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bayern Munich,Jamal Musiala,GER,MF,21,2003,25,21,1798,20.0,12,2,14,12,0,0,3,0,0.6,0.1,0.7,0.6,0.7,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bayern Munich,Jonah Kusi-Asare,SWE,FW,17,2007,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bayern Munich,Jonas Urbig,GER,GK,20,2003,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bayern Munich,Joshua Kimmich,GER,MF,29,1995,33,32,2847,31.6,3,7,10,3,0,0,4,0,0.09,0.22,0.32,0.09,0.32,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bayern Munich,Josip Stanišić,CRO,DF,24,2000,14,9,876,9.7,0,2,2,0,0,0,0,0,0.0,0.21,0.21,0.0,0.21,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bayern Munich,João Palhinha,POR,MF,29,1995,17,6,673,7.5,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bayern Munich,Kim Min-jae,KOR,DF,27,1996,27,27,2283,25.4,2,0,2,2,0,0,2,0,0.08,0.0,0.08,0.08,0.08,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bayern Munich,Kingsley Coman,FRA,MF,28,1996,28,14,1282,14.2,5,4,9,5,0,0,0,0,0.35,0.28,0.63,0.35,0.63,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bayern Munich,Konrad Laimer,AUT,DF,27,1997,29,19,1699,18.9,2,2,4,2,0,0,8,0,0.11,0.11,0.21,0.11,0.21,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bayern Munich,Leon Goretzka,GER,MF,29,1995,26,13,1325,14.7,4,1,5,4,0,0,2,0,0.27,0.07,0.34,0.27,0.34,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bayern Munich,Leroy Sané,GER,MF,28,1996,30,17,1637,18.2,11,5,16,11,0,0,2,0,0.6,0.27,0.88,0.6,0.88,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bayern Munich,Manuel Neuer,GER,GK,38,1986,22,22,1980,22.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bayern Munich,Mathys Tel,FRA,MF,19,2005,8,2,256,2.8,0,1,1,0,0,0,0,0,0.0,0.35,0.35,0.0,0.35,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bayern Munich,Michael Olise,FRA,MF,22,2001,34,28,2334,25.9,12,15,27,12,0,0,3,0,0.46,0.58,1.04,0.46,1.04,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bayern Munich,Raphaël Guerreiro,POR,"DF,MF",30,1993,23,19,1572,17.5,4,4,8,4,0,0,2,0,0.23,0.23,0.46,0.23,0.46,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bayern Munich,Sacha Boey,FRA,DF,23,2000,13,6,593,6.6,0,2,2,0,0,0,1,0,0.0,0.3,0.3,0.0,0.3,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bayern Munich,Serge Gnabry,GER,"MF,FW",29,1995,27,13,1242,13.8,7,5,12,7,0,1,0,0,0.51,0.36,0.87,0.51,0.87,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bayern Munich,Sven Ulreich,GER,GK,35,1988,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bayern Munich,Thomas Müller,GER,"MF,FW",34,1989,30,12,1225,13.6,1,4,5,1,0,0,3,0,0.07,0.29,0.37,0.07,0.37,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bochum,Aliou Badara Baldé,GUI,FW,21,2002,5,0,91,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bochum,Anthony Losilla,FRA,MF,38,1986,21,13,1137,12.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bochum,Bernardo,BRA,DF,29,1995,21,19,1782,19.8,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bochum,Cristian Gamboa,CRC,MF,34,1989,12,1,226,2.5,1,0,1,1,0,0,1,0,0.4,0.0,0.4,0.4,0.4,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bochum,Dani de Wit,NED,"MF,FW",26,1998,28,11,1153,12.8,2,1,3,2,0,0,1,0,0.16,0.08,0.23,0.16,0.23,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bochum,Erhan Mašović,SRB,"DF,MF",25,1998,16,10,910,10.1,1,1,2,1,0,0,2,0,0.1,0.1,0.2,0.1,0.2,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bochum,Felix Passlack,GER,"MF,DF",26,1998,31,30,2334,25.9,1,6,7,1,0,0,4,0,0.04,0.23,0.27,0.04,0.27,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bochum,Gerrit Holtmann,PHI,"MF,DF",29,1995,23,12,1136,12.6,2,1,3,2,0,0,2,0,0.16,0.08,0.24,0.16,0.24,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bochum,Giorgos Masouras,GRE,FW,30,1994,14,12,1055,11.7,2,1,3,2,0,0,1,0,0.17,0.09,0.26,0.17,0.26,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bochum,Ibrahima Sissoko,MLI,MF,26,1997,32,30,2610,29.0,2,1,3,2,0,0,11,1,0.07,0.03,0.1,0.07,0.1,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bochum,Ivan Ordets,UKR,DF,32,1992,22,21,1861,20.7,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bochum,Jakov Medić,CRO,DF,25,1998,23,17,1603,17.8,1,0,1,1,0,0,2,0,0.06,0.0,0.06,0.06,0.06,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bochum,Kacper Koscierski,GER,DF,17,2007,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bochum,Koji Miyoshi,JPN,"MF,FW",27,1997,15,6,464,5.2,1,0,1,1,0,0,0,1,0.19,0.0,0.19,0.19,0.19,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bochum,Lukas Daschner,GER,"FW,MF",25,1998,14,3,412,4.6,1,1,2,1,0,1,0,0,0.22,0.22,0.44,0.22,0.44,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bochum,Mats Pannewig,GER,MF,19,2004,14,2,267,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bochum,Matúš Bero,SVK,MF,28,1995,30,29,2565,28.5,5,2,7,5,0,1,11,0,0.18,0.07,0.25,0.18,0.25,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bochum,Maximilian Wittek,GER,"DF,MF",28,1995,33,32,2706,30.1,0,0,0,0,0,0,8,0,0.0,0.0,0.0,0.0,0.0,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bochum,Moritz Broschinski,GER,"FW,MF",23,2000,33,15,1390,15.4,1,3,4,1,0,0,1,0,0.06,0.19,0.26,0.06,0.26,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Bochum,Moritz-Broni Kwarteng,GHA,MF,26,1998,7,0,172,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
