league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,_league_id,_season,_stat_type,_source,_scraped_at
GER-Bundesliga,2425,Augsburg,Alexis Claude-Maurice,FRA,"MF,FW",26,1998,23.4,9,59,22,37.3,2.52,0.94,0.15,0.41,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Augsburg,Arne Engels,BEL,FW,20,2003,0.9,0,3,1,33.3,3.42,1.14,0.0,0.0,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Augsburg,Arne Maier,GER,MF,25,1999,10.4,0,18,6,33.3,1.73,0.58,0.0,0.0,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Augsburg,Cedric Zesiger,SUI,DF,26,1998,13.6,0,10,2,20.0,0.74,0.15,0.0,0.0,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Augsburg,Chrislain Matsima,FRA,DF,22,2002,28.3,1,14,2,14.3,0.49,0.07,0.07,0.5,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Augsburg,Dimitris Giannoulis,GRE,MF,28,1995,29.4,1,13,4,30.8,0.44,0.14,0.08,0.25,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Augsburg,Elvis Rexhbeçaj,KVX,MF,26,1997,19.8,1,29,5,17.2,1.46,0.25,0.03,0.2,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Augsburg,Finn Dahmen,GER,GK,26,1998,19.0,0,0,0,,0.0,0.0,,,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Augsburg,Frank Onyeka,NGA,MF,26,1998,28.7,0,24,6,25.0,0.84,0.21,0.0,0.0,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Augsburg,Fredrik Jensen,FIN,"MF,FW",26,1997,8.5,0,11,0,0.0,1.3,0.0,0.0,,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
