league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,_league_id,_season,_stat_type,_source,_scraped_at
GER-Bundesliga,2425,Augsburg,Finn Dahmen,GER,GK,26,1998,19,19,1710,19.0,19,1.0,84,65,77.4,7,6,6,9,47.4,2,2,0,0,0.0,GER,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:53:31
GER-Bundesliga,2425,Augsburg,Nediljko Labrović,CRO,GK,24,1999,15,15,1350,15.0,32,2.13,74,42,56.8,4,4,7,2,13.3,3,3,0,0,0.0,GER,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:53:31
GER-Bundesliga,2425,Bayern Munich,Daniel Peretz,ISR,GK,24,2000,3,3,270,3.0,5,1.67,7,2,28.6,2,0,1,0,0.0,0,0,0,0,,GER,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:53:31
GER-Bundesliga,2425,Bayern Munich,Jonas Urbig,GER,GK,20,2003,8,8,720,8.0,12,1.5,28,16,57.1,4,3,1,2,25.0,0,0,0,0,,GER,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:53:31
GER-Bundesliga,2425,Bayern Munich,Manuel Neuer,GER,GK,38,1986,22,22,1980,22.0,15,0.68,46,30,67.4,18,4,0,13,59.1,2,1,0,1,0.0,GER,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:53:31
GER-Bundesliga,2425,Bayern Munich,Sven Ulreich,GER,GK,35,1988,1,1,90,1.0,0,0.0,0,0,,1,0,0,1,100.0,0,0,0,0,,GER,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:53:31
GER-Bundesliga,2425,Bochum,Patrick Drewes,GER,GK,31,1993,21,21,1890,21.0,46,2.19,99,53,53.5,3,4,14,3,14.3,5,3,2,0,40.0,GER,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:53:31
GER-Bundesliga,2425,Bochum,Timo Horn,GER,GK,31,1993,13,13,1170,13.0,22,1.69,55,33,60.0,3,3,7,3,23.1,1,0,0,1,,GER,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:53:31
GER-Bundesliga,2425,Dortmund,Alexander Meyer,GER,GK,33,1991,2,2,180,2.0,4,2.0,11,7,63.6,1,0,1,0,0.0,0,0,0,0,,GER,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:53:31
GER-Bundesliga,2425,Dortmund,Gregor Kobel,SUI,GK,26,1997,32,32,2880,32.0,47,1.47,128,84,63.3,16,6,10,7,21.9,4,4,0,0,0.0,GER,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:53:31
