league,season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,_league_id,_season,_stat_type,_source,_scraped_at
GER-Bundesliga,2526,Augsburg,Aiman Dardari,LUX,MF,20,2005,0.4,1,0,0,1,1,0,0,0,0,,,0,GER,2025-2026,misc,fbref_soccerdata,2026-08-10 21:54:06
GER-Bundesliga,2526,Augsburg,Alexis Claude-Maurice,FRA,"MF,FW",27,1998,23.3,3,0,0,23,42,1,65,8,26,,,0,GER,2025-2026,misc,fbref_soccerdata,2026-08-10 21:54:06
GER-Bundesliga,2526,Augsburg,Anton Kade,GER,"MF,FW",21,2004,19.4,3,0,0,20,18,10,22,13,14,,,0,GER,2025-2026,misc,fbref_soccerdata,2026-08-10 21:54:06
GER-Bundesliga,2526,Augsburg,Arne Maier,GER,MF,26,1999,0.0,0,0,0,0,0,0,1,1,1,,,0,GER,2025-2026,misc,fbref_soccerdata,2026-08-10 21:54:06
GER-Bundesliga,2526,Augsburg,Arthur Chaves,BRA,DF,24,2001,9.2,1,0,0,8,8,0,1,8,13,,,1,GER,2025-2026,misc,fbref_soccerdata,2026-08-10 21:54:06
GER-Bundesliga,2526,Augsburg,Cedric Zesiger,SUI,DF,27,1998,20.2,7,0,0,18,16,0,34,17,24,,,1,GER,2025-2026,misc,fbref_soccerdata,2026-08-10 21:54:06
GER-Bundesliga,2526,Augsburg,Chrislain Matsima,FRA,DF,23,2002,16.5,5,0,0,10,4,0,4,30,11,,,0,GER,2025-2026,misc,fbref_soccerdata,2026-08-10 21:54:06
GER-Bundesliga,2526,Augsburg,Dimitris Giannoulis,GRE,MF,29,1995,21.0,8,0,0,16,20,4,99,21,20,,,0,GER,2025-2026,misc,fbref_soccerdata,2026-08-10 21:54:06
GER-Bundesliga,2526,Augsburg,Elias Saad,TUN,"MF,FW",25,1999,5.5,1,0,0,8,12,4,9,1,8,,,0,GER,2025-2026,misc,fbref_soccerdata,2026-08-10 21:54:06
GER-Bundesliga,2526,Augsburg,Elvis Rexhbeçaj,KVX,MF,27,1997,12.4,4,0,0,13,16,1,16,4,8,,,0,GER,2025-2026,misc,fbref_soccerdata,2026-08-10 21:54:06
GER-Bundesliga,2526,Augsburg,Fabian Rieder,SUI,MF,23,2002,26.0,4,0,0,45,38,2,116,13,20,,,0,GER,2025-2026,misc,fbref_soccerdata,2026-08-10 21:54:06
GER-Bundesliga,2526,Augsburg,Finn Dahmen,GER,GK,27,1998,34.0,1,0,0,0,9,0,0,0,0,,,0,GER,2025-2026,misc,fbref_soccerdata,2026-08-10 21:54:06
