league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,_league_id,_season,_stat_type,_source,_scraped_at
ITA-Serie A,2324,Atalanta,Ademola Lookman,NGA,"FW,MF",25,1997,31,22,1894,21.0,11,7,18,11,0,0,4,0,0.52,0.33,0.86,0.52,0.86,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Atalanta,Aleksei Miranchuk,RUS,"MF,FW",27,1995,27,12,1176,13.1,3,5,8,3,0,0,1,0,0.23,0.38,0.61,0.23,0.61,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Atalanta,Berat Djimsiti,ALB,DF,30,1993,37,32,2832,31.5,0,1,1,0,0,0,5,0,0.0,0.03,0.03,0.0,0.03,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Atalanta,Charles De Ketelaere,BEL,"FW,MF",22,2001,35,25,2026,22.5,10,8,18,9,1,1,1,0,0.44,0.36,0.8,0.4,0.76,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Atalanta,Davide Zappacosta,ITA,MF,31,1992,31,23,1867,20.7,2,1,3,2,0,0,5,0,0.1,0.05,0.14,0.1,0.14,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Atalanta,Duván Zapata,COL,FW,32,1991,2,2,112,1.2,1,0,1,1,0,0,0,0,0.8,0.0,0.8,0.8,0.8,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Atalanta,El Bilal Touré,MLI,FW,21,2001,11,3,394,4.4,2,0,2,2,0,0,2,0,0.46,0.0,0.46,0.46,0.46,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Atalanta,Emil Holm,SWE,MF,23,2000,22,12,947,10.5,1,1,2,1,0,0,5,0,0.1,0.1,0.19,0.1,0.19,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Atalanta,Francesco Rossi,ITA,GK,32,1991,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Atalanta,Gianluca Scamacca,ITA,FW,24,1999,29,17,1453,16.1,12,6,18,12,0,0,1,0,0.74,0.37,1.11,0.74,1.11,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Atalanta,Giorgio Scalvini,ITA,DF,19,2003,33,31,2544,28.3,1,3,4,1,0,0,3,0,0.04,0.11,0.14,0.04,0.14,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Atalanta,Giovanni Bonfanti,ITA,DF,20,2003,2,1,89,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Atalanta,Hans Hateboer,NED,MF,29,1994,23,10,1113,12.4,0,1,1,0,0,0,5,0,0.0,0.08,0.08,0.0,0.08,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Atalanta,Isak Hien,SWE,DF,24,1999,16,9,937,10.4,0,1,1,0,0,0,3,0,0.0,0.1,0.1,0.0,0.1,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Atalanta,José Luis Palomino,ARG,DF,33,1990,4,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Atalanta,Juan Musso,ARG,GK,29,1994,11,11,990,11.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
