league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,_league_id,_season,_stat_type,_source,_scraped_at
ITA-Serie A,2324,Atalanta,Ademola Lookman,NGA,"FW,MF",25,1997,21.0,11,67,24,35.8,3.18,1.14,0.16,0.46,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Atalanta,Aleksei Miranchuk,RUS,"MF,FW",27,1995,13.1,3,38,22,57.9,2.91,1.68,0.08,0.14,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Atalanta,Berat Djimsiti,ALB,DF,30,1993,31.5,0,13,0,0.0,0.41,0.0,0.0,,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Atalanta,Charles De Ketelaere,BEL,"FW,MF",22,2001,22.5,10,45,25,55.6,2.0,1.11,0.2,0.36,1,1,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Atalanta,Davide Zappacosta,ITA,MF,31,1992,20.7,2,37,10,27.0,1.78,0.48,0.05,0.2,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Atalanta,Duván Zapata,COL,FW,32,1991,1.2,1,5,3,60.0,4.02,2.41,0.2,0.33,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Atalanta,El Bilal Touré,MLI,FW,21,2001,4.4,2,12,5,41.7,2.74,1.14,0.17,0.4,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Atalanta,Emil Holm,SWE,MF,23,2000,10.5,1,26,8,30.8,2.47,0.76,0.04,0.13,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Atalanta,Francesco Rossi,ITA,GK,32,1991,0.1,0,0,0,,0.0,0.0,,,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Atalanta,Gianluca Scamacca,ITA,FW,24,1999,16.1,12,60,26,43.3,3.72,1.61,0.2,0.46,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Atalanta,Giorgio Scalvini,ITA,DF,19,2003,28.3,1,19,6,31.6,0.67,0.21,0.05,0.17,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Atalanta,Giovanni Bonfanti,ITA,DF,20,2003,1.0,0,1,0,0.0,1.01,0.0,0.0,,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Atalanta,Hans Hateboer,NED,MF,29,1994,12.4,0,11,3,27.3,0.89,0.24,0.0,0.0,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Atalanta,Isak Hien,SWE,DF,24,1999,10.4,0,4,2,50.0,0.38,0.19,0.0,0.0,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Atalanta,José Luis Palomino,ARG,DF,33,1990,0.3,0,0,0,,0.0,0.0,,,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Atalanta,Juan Musso,ARG,GK,29,1994,11.0,0,0,0,,0.0,0.0,,,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Atalanta,Leonardo Mendicino,ITA,MF,17,2006,0.0,0,0,0,,0.0,0.0,,,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Atalanta,Luis Muriel,COL,FW,32,1991,4.5,2,23,9,39.1,5.06,1.98,0.09,0.22,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Atalanta,Marco Carnesecchi,ITA,GK,23,2000,26.9,0,0,0,,0.0,0.0,,,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Atalanta,Mario Pašalić,CRO,MF,28,1995,22.8,6,40,18,45.0,1.76,0.79,0.1,0.22,2,2,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Atalanta,Marten de Roon,NED,"MF,DF",32,1991,28.9,0,16,3,18.8,0.55,0.1,0.0,0.0,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
