league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,_league_id,_season,_stat_type,_source,_scraped_at
ITA-Serie A,2324,Atalanta,Ademola Lookman,NGA,"FW,MF",25,1997,31,1894,61,55.4,21.0,22,73,4,9,32,1,1.61,33,26,7,0.33,-1.02,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Atalanta,Alberto Manzoni,ITA,MF,18,2005,0,,,,,0,,0,0,,1,,,,,,,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Atalanta,Aleksei Miranchuk,RUS,"MF,FW",27,1995,27,1176,44,34.4,13.1,12,76,4,15,18,8,1.96,24,10,14,1.07,0.43,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Atalanta,Alessandro Cortinovis,ITA,MF,22,2001,0,,,,,0,,0,0,,1,,,,,,,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Atalanta,Berat Djimsiti,ALB,DF,30,1993,37,2832,77,82.8,31.5,32,85,28,5,21,1,1.86,60,32,28,0.89,0.58,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Atalanta,Caleb Okoli,ITA,DF,22,2001,0,,,,,0,,0,0,,2,,,,,,,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Atalanta,Charles De Ketelaere,BEL,"FW,MF",22,2001,35,2026,58,59.2,22.5,25,68,1,10,33,1,1.77,48,27,21,0.93,0.35,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Atalanta,Davide Zappacosta,ITA,MF,31,1992,31,1867,60,54.6,20.7,23,71,6,8,29,5,1.81,36,21,15,0.72,-0.15,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Atalanta,Duván Zapata,COL,FW,32,1991,2,112,56,3.3,1.2,2,56,0,0,,0,1.5,1,2,-1,-0.8,-1.65,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Atalanta,El Bilal Touré,MLI,FW,21,2001,11,394,36,11.5,4.4,3,75,2,8,21,8,2.18,6,3,3,0.69,-0.12,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Atalanta,Emil Holm,SWE,MF,23,2000,22,947,43,27.7,10.5,12,63,2,10,19,8,1.86,23,12,11,1.05,0.35,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Atalanta,Francesco Rossi,ITA,GK,32,1991,1,5,5,0.1,0.1,0,,0,1,5,34,3.0,0,0,0,0.0,-0.79,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Atalanta,Gianluca Scamacca,ITA,FW,24,1999,29,1453,50,42.5,16.1,17,66,1,12,28,3,1.72,37,12,25,1.55,1.32,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
