league,season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,_league_id,_season,_stat_type,_source,_scraped_at
ITA-Serie A,2425,Atalanta,Ademola Lookman,NGA,"MF,FW",26,1997,25.0,4,0,0,31,20,26,123,4,16,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Alberto Manzoni,ITA,MF,19,2005,0.1,0,0,0,1,1,0,0,0,0,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Ben Godfrey,ENG,"DF,MF",26,1998,0.3,0,0,0,1,0,0,0,0,0,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Berat Djimsiti,ALB,DF,31,1993,29.3,6,0,0,23,21,0,11,41,34,,,1,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Charles De Ketelaere,BEL,"MF,FW",23,2001,23.0,1,0,0,22,39,2,54,3,9,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Daniel Maldini,ITA,MF,22,2001,2.9,0,0,0,3,7,1,5,2,2,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Davide Zappacosta,ITA,MF,32,1992,23.0,3,0,0,19,14,6,95,10,16,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Federico Cassa,ITA,MF,18,2006,0.2,0,0,0,2,1,0,0,0,0,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Gianluca Scamacca,ITA,FW,25,1999,0.1,0,0,0,0,0,0,0,0,0,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Giorgio Scalvini,ITA,DF,20,2003,3.0,2,0,0,7,1,0,0,5,4,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Ibrahim Sulemana,GHA,MF,21,2003,3.1,1,0,0,2,2,0,0,0,3,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Isak Hien,SWE,DF,25,1999,25.9,10,0,0,36,19,0,1,30,30,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Juan Cuadrado,COL,"MF,FW",36,1988,9.2,3,0,0,9,27,0,56,7,9,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Juan Musso,ARG,GK,30,1994,1.0,0,0,0,0,1,0,0,0,0,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Lazar Samardzic,SRB,MF,22,2002,13.0,3,0,0,19,10,1,60,3,14,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Marco Brescianini,ITA,MF,24,2000,11.0,1,0,0,22,9,2,19,2,11,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Marco Carnesecchi,ITA,GK,24,2000,34.0,1,0,0,0,5,0,0,0,0,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Marco Palestra,ITA,MF,19,2005,2.5,0,0,0,1,10,1,11,1,4,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Mario Pašalić,CRO,MF,29,1995,21.9,1,0,0,19,10,2,11,12,16,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Marten de Roon,NED,"MF,DF",33,1991,34.0,5,0,0,48,23,1,28,48,47,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Mateo Retegui,ITA,FW,25,1999,26.5,3,0,0,32,34,6,14,3,10,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Matteo Ruggeri,ITA,"MF,DF",22,2002,19.5,2,0,0,12,5,2,82,24,24,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Mitchel Bakker,NED,"DF,MF",24,2000,0.2,0,0,0,1,0,0,1,0,0,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Nicolò Zaniolo,ITA,"FW,MF",25,1999,4.0,4,0,0,9,17,0,4,1,0,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Odilon Kossounou,CIV,DF,23,2001,12.5,1,0,0,15,6,1,3,13,10,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Rafael Tolói,ITA,DF,33,1990,5.2,1,0,0,6,2,0,2,7,5,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Raoul Bellanova,ITA,MF,24,2000,26.7,3,0,0,15,33,0,155,19,13,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Rui Patrício,POR,GK,36,1988,3.0,0,0,0,0,0,0,0,0,0,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Sead Kolašinac,BIH,DF,31,1993,21.1,7,0,0,38,20,3,10,27,26,,,1,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Stefan Posch,AUT,DF,27,1997,4.3,0,0,0,11,0,0,5,4,11,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Vanja Vlahović,SRB,MF,20,2004,0.7,0,0,0,0,3,0,0,0,1,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
