league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,_league_id,_season,_stat_type,_source,_scraped_at
ITA-Serie A,2526,Atalanta,Marco Carnesecchi,ITA,GK,25,2000,37,37,3330,37.0,35,0.95,148,112,76.4,15,13,9,13,35.1,4,2,2,0,50.0,ITA,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:59:55
ITA-Serie A,2526,Atalanta,Marco Sportiello,ITA,GK,33,1992,1,1,90,1.0,1,1.0,4,3,75.0,0,1,0,0,0.0,0,0,0,0,,ITA,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:59:55
ITA-Serie A,2526,Bologna,Federico Ravaglia,ITA,GK,25,1999,17,16,1470,16.3,29,1.78,81,52,64.2,4,3,9,2,12.5,2,2,0,0,0.0,ITA,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:59:55
ITA-Serie A,2526,Bologna,Massimo Pessina,ITA,GK,17,2007,4,3,353,3.9,2,0.51,9,7,77.8,2,1,0,3,100.0,0,0,0,0,,ITA,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:59:55
ITA-Serie A,2526,Bologna,Łukasz Skorupski,POL,GK,34,1991,19,19,1592,17.7,18,1.02,51,33,64.7,10,4,5,8,42.1,2,2,0,0,0.0,ITA,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:59:55
ITA-Serie A,2526,Cagliari,Elia Caprile,ITA,GK,23,2001,38,38,3420,38.0,53,1.39,175,121,69.7,11,10,17,8,21.1,2,2,0,0,0.0,ITA,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:59:55
ITA-Serie A,2526,Como,Jean Butez,FRA,GK,30,1995,38,38,3420,38.0,29,0.76,116,86,75.0,20,11,7,19,50.0,6,5,1,0,16.7,ITA,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:59:55
ITA-Serie A,2526,Cremonese,Emil Audero,IDN,GK,28,1997,34,34,3060,34.0,50,1.47,173,123,71.1,8,7,19,11,32.4,6,4,2,0,33.3,ITA,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:59:55
ITA-Serie A,2526,Cremonese,Marco Silvestri,ITA,GK,34,1991,4,4,360,4.0,7,1.75,22,15,68.2,0,3,1,0,0.0,0,0,0,0,,ITA,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:59:55
ITA-Serie A,2526,Fiorentina,David de Gea,ESP,GK,34,1990,37,37,3330,37.0,49,1.32,169,119,71.0,9,14,14,10,27.0,6,5,1,0,16.7,ITA,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:59:55
ITA-Serie A,2526,Fiorentina,Luca Lezzerini,ITA,GK,30,1995,1,0,4,0.0,0,0.0,0,0,,0,0,0,0,,0,0,0,0,,ITA,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:59:55
ITA-Serie A,2526,Fiorentina,Oliver Christensen,DEN,GK,26,1999,1,1,86,1.0,1,1.05,7,6,85.7,0,1,0,0,0.0,0,0,0,0,,ITA,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:59:55
ITA-Serie A,2526,Genoa,Daniele Sommariva,ITA,GK,28,1997,2,1,176,2.0,4,2.05,12,8,66.7,0,0,1,0,0.0,0,0,0,0,,ITA,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:59:55
ITA-Serie A,2526,Genoa,Justin Bijlow,NED,GK,27,1998,16,16,1395,15.5,20,1.29,65,45,69.2,6,3,7,5,31.3,5,5,0,0,0.0,ITA,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:59:55
ITA-Serie A,2526,Genoa,Nicola Leali,ITA,GK,32,1993,22,21,1847,20.5,28,1.36,86,58,67.4,4,8,9,4,19.0,2,2,0,0,0.0,ITA,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:59:55
ITA-Serie A,2526,Hellas Verona,Lorenzo Montipò,ITA,GK,29,1996,35,35,3150,35.0,54,1.54,142,87,62.0,3,11,21,5,14.3,5,2,3,0,60.0,ITA,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:59:55
ITA-Serie A,2526,Hellas Verona,Simone Perilli,ITA,GK,30,1995,3,3,270,3.0,7,2.33,15,8,53.3,0,1,2,1,33.3,0,0,0,0,,ITA,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:59:55
ITA-Serie A,2526,Inter,Josep Martinez,ESP,GK,27,1998,5,5,450,5.0,4,0.8,14,10,71.4,4,1,0,3,60.0,0,0,0,0,,ITA,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:59:55
