league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,_league_id,_season,_stat_type,_source,_scraped_at
FRA-Ligue 1,2324,Brest,Achraf Dari,MAR,DF,24,1999,4,1,121,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Brest,Adrien Lebeau,FRA,MF,24,1999,7,0,54,0.6,0,1,1,0,0,0,0,0,0.0,1.67,1.67,0.0,1.67,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Brest,Axel Camblan,FRA,FW,19,2003,7,0,90,1.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Brest,Bilal Brahimi,ALG,FW,23,2000,18,1,221,2.5,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Brest,Bradley Locko,FRA,DF,21,2002,33,33,2959,32.9,0,3,3,0,0,0,5,0,0.0,0.09,0.09,0.0,0.09,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Brest,Brendan Chardonnet,FRA,DF,28,1994,33,33,2970,33.0,1,1,2,1,0,0,4,0,0.03,0.03,0.06,0.03,0.06,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Brest,Grégoire Coudert,FRA,GK,24,1999,3,2,181,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Brest,Hianga'a Mbock,FRA,MF,23,1999,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Brest,Hugo Magnetti,FRA,MF,25,1998,33,30,2340,26.0,2,0,2,2,0,0,6,0,0.08,0.0,0.08,0.08,0.08,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Brest,Jonas Martin,FRA,MF,33,1990,31,9,1208,13.4,0,1,1,0,0,0,5,0,0.0,0.07,0.07,0.0,0.07,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Brest,Jordan Amavi,FRA,DF,29,1994,2,1,91,1.0,1,0,1,1,0,0,1,0,0.99,0.0,0.99,0.99,0.99,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Brest,Julien Le Cardinal,FRA,DF,25,1997,12,5,473,5.3,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Brest,Jérémy Le Douaron,FRA,"FW,MF",25,1998,33,19,1618,18.0,4,0,4,4,0,0,3,0,0.22,0.0,0.22,0.22,0.22,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Brest,Kamory Doumbia,MLI,MF,20,2003,25,7,879,9.8,6,5,11,6,0,0,1,0,0.61,0.51,1.13,0.61,1.13,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Brest,Karamoko Dembélé,ENG,"FW,MF",20,2003,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Brest,Kenny Lala,MAD,DF,31,1991,33,33,2970,33.0,2,3,5,2,0,0,7,0,0.06,0.09,0.15,0.06,0.15,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Brest,Lilian Brassier,FRA,DF,23,1999,30,30,2677,29.7,3,0,3,3,0,0,11,1,0.1,0.0,0.1,0.1,0.1,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Brest,Luck Zogbé,CIV,DF,18,2005,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Brest,Mahdi Camara,FRA,MF,25,1998,32,26,2020,22.4,7,3,10,6,1,1,7,0,0.31,0.13,0.45,0.27,0.4,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Brest,Marco Bizot,NED,GK,32,1991,32,32,2876,32.0,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Brest,Martin Satriano,URU,"FW,MF",22,2001,33,21,1864,20.7,4,4,8,4,0,0,4,0,0.19,0.19,0.39,0.19,0.39,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Brest,Mathias Pereira Lage,POR,"MF,FW",26,1996,30,12,1187,13.2,3,2,5,3,0,0,3,0,0.23,0.15,0.38,0.23,0.38,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Brest,Pierre Lees-Melou,FRA,MF,30,1993,29,29,2517,28.0,4,0,4,4,0,0,12,1,0.14,0.0,0.14,0.14,0.14,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Brest,Romain Del Castillo,FRA,"MF,FW",27,1996,33,30,2497,27.7,8,8,16,5,3,3,4,0,0.29,0.29,0.58,0.18,0.47,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Brest,Steve Mounié,BEN,FW,28,1994,32,20,1769,19.7,6,2,8,6,0,0,2,1,0.31,0.1,0.41,0.31,0.41,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Clermont Foot,Abdellah Baallal,MAR,MF,18,2004,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Clermont Foot,Alan Virginius,FRA,"MF,FW",20,2003,14,12,934,10.4,0,2,2,0,0,0,0,0,0.0,0.19,0.19,0.0,0.19,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Clermont Foot,Alidu Seidu,GHA,DF,23,2000,14,13,1131,12.6,0,1,1,0,0,0,5,1,0.0,0.08,0.08,0.0,0.08,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Clermont Foot,Andy Pelmard,MAD,DF,23,2000,34,33,2989,33.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Clermont Foot,Aïman Maurer,MAR,MF,18,2004,5,0,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Clermont Foot,Bilal Boutobba,FRA,"MF,FW",24,1998,27,10,926,10.3,1,1,2,1,0,0,1,0,0.1,0.1,0.19,0.1,0.19,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Clermont Foot,Cheick Konaté,MLI,"MF,DF",19,2004,19,12,1068,11.9,1,1,2,1,0,0,4,0,0.08,0.08,0.17,0.08,0.17,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Clermont Foot,Chrislain Matsima,FRA,DF,21,2002,14,13,1180,13.1,1,0,1,1,0,0,2,0,0.08,0.0,0.08,0.08,0.08,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Clermont Foot,Elba Rashani,KVX,"MF,FW",30,1993,24,14,1175,13.1,2,0,2,2,0,0,4,2,0.15,0.0,0.15,0.15,0.15,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Clermont Foot,Florent Ogier,FRA,DF,34,1989,14,9,943,10.5,1,1,2,1,0,0,1,0,0.1,0.1,0.19,0.1,0.19,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Clermont Foot,Grejohn Kyei,FRA,FW,27,1995,26,10,1026,11.4,2,1,3,1,1,1,1,0,0.18,0.09,0.26,0.09,0.18,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Clermont Foot,Habib Keita,MLI,MF,21,2002,27,12,1278,14.2,1,0,1,1,0,0,4,0,0.07,0.0,0.07,0.07,0.07,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Clermont Foot,Ilhan Fakili,FRA,MF,17,2006,3,1,94,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Clermont Foot,Jim Allevinah,GAB,MF,28,1995,29,22,1861,20.7,2,1,3,2,0,0,1,0,0.1,0.05,0.15,0.1,0.15,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Clermont Foot,Johan Gastien,FRA,MF,35,1988,28,28,2260,25.1,0,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Clermont Foot,Joshua M'Bahia,CIV,DF,18,2005,1,0,14,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Clermont Foot,Jérémie Bela,ANG,MF,30,1993,12,1,203,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
