league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,_league_id,_season,_stat_type,_source,_scraped_at
FRA-Ligue 1,2425,Angers,Abdoulaye Bamba,CIV,DF,34,1990,16.8,0,1,0,0.0,0.06,0.0,0.0,,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Angers,Bamba Dieng,SEN,FW,24,2000,5.9,3,15,7,46.7,2.54,1.18,0.13,0.29,1,1,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Angers,Carlens Arcus,HAI,DF,28,1996,22.7,0,3,0,0.0,0.13,0.0,0.0,,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Angers,Cédric Hountondji,BEN,DF,30,1994,3.0,0,0,0,,0.0,0.0,,,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Angers,Emmanuel Biumla,FRA,DF,19,2005,14.8,1,4,2,50.0,0.27,0.13,0.25,0.5,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Angers,Enzo Caumont,FRA,MF,20,2004,0.4,0,0,0,,0.0,0.0,,,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Angers,Esteban Lepaul,FRA,FW,24,2000,18.1,9,41,16,39.0,2.27,0.88,0.22,0.56,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Angers,Farid El Melali,ALG,"MF,FW",27,1997,21.0,2,46,14,30.4,2.19,0.67,0.04,0.14,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Angers,Florent Hanin,ALG,DF,34,1990,29.7,1,11,1,9.1,0.37,0.03,0.09,1.0,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Angers,Haris Belkebla,ALG,MF,30,1994,19.9,0,3,0,0.0,0.15,0.0,0.0,,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Angers,Himad Abdelli,ALG,MF,24,1999,31.6,6,38,12,31.6,1.2,0.38,0.08,0.25,3,4,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Angers,Ibrahima Niane,SEN,FW,25,1999,10.5,3,30,11,36.7,2.86,1.05,0.07,0.18,1,1,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Angers,Jacques Ekomie,GAB,"DF,MF",20,2003,7.7,0,1,0,0.0,0.13,0.0,0.0,,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Angers,Jean-Eudes Aholou,CIV,MF,30,1994,21.8,2,27,7,25.9,1.24,0.32,0.07,0.29,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Angers,Jim Allevinah,GAB,MF,29,1995,19.4,1,35,10,28.6,1.8,0.51,0.03,0.1,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Angers,Jordan Lefort,MTN,DF,30,1993,34.0,0,8,0,0.0,0.24,0.0,0.0,,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Angers,Justin-Noël Kalumba,FRA,FW,19,2004,0.3,0,1,0,0.0,2.9,0.0,0.0,,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Angers,Lanroy Machine,FRA,MF,18,2005,0.1,0,1,0,0.0,11.25,0.0,0.0,,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Angers,Lilian Raolisoa,FRA,"DF,MF",24,2000,14.6,0,14,1,7.1,0.96,0.07,0.0,0.0,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Angers,Lois Diony,FRA,FW,31,1992,0.2,0,0,0,,0.0,0.0,,,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Angers,Marius Courcoul,FRA,MF,17,2007,3.4,0,3,1,33.3,0.87,0.29,0.0,0.0,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Angers,Melvin Zinga,FRA,GK,22,2002,1.0,0,0,0,,0.0,0.0,,,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Angers,Ousmane Camara,MLI,DF,21,2003,2.8,0,1,0,0.0,0.36,0.0,0.0,,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Angers,Pierrick Capelle,FRA,MF,37,1987,5.4,0,6,1,16.7,1.12,0.19,0.0,0.0,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Angers,Prosper Peter,NGA,FW,16,2007,0.3,0,0,0,,0.0,0.0,,,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Angers,Sidiki Cherif,FRA,FW,17,2006,3.6,0,5,3,60.0,1.39,0.83,0.0,0.0,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Angers,Yahia Fofana,CIV,GK,23,2000,33.0,0,0,0,,0.0,0.0,,,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Angers,Yassin Belkhdim,FRA,MF,22,2002,16.9,1,9,5,55.6,0.53,0.3,0.11,0.2,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Angers,Zinedine Ferhat,ALG,MF,31,1993,9.4,2,12,5,41.7,1.27,0.53,0.17,0.4,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Angers,Zinédine Ould Khaled,FRA,MF,24,2000,3.8,0,1,1,100.0,0.26,0.26,0.0,0.0,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Auxerre,Ado Onaiwu,JPN,"MF,FW",28,1995,10.6,4,23,14,60.9,2.16,1.32,0.17,0.29,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Auxerre,Aristide Zossou,CIV,MF,19,2005,0.2,0,0,0,,0.0,0.0,,,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Auxerre,Assane Dioussé,SEN,MF,26,1997,7.4,0,3,2,66.7,0.41,0.27,0.0,0.0,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Auxerre,Ben Viadere,FRA,FW,18,2005,0.1,0,0,0,,0.0,0.0,,,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Auxerre,Clément Akpa,CIV,DF,22,2001,27.6,0,6,1,16.7,0.22,0.04,0.0,0.0,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Auxerre,Donovan Léon,GUF,GK,31,1992,32.0,0,0,0,,0.0,0.0,,,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Auxerre,Elisha Owusu,GHA,MF,26,1997,26.0,1,7,3,42.9,0.27,0.12,0.14,0.33,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Auxerre,Eros Maddy,NED,"FW,MF",23,2001,0.2,0,0,0,,0.0,0.0,,,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Auxerre,Florian Ayé,FRA,FW,27,1997,6.4,2,12,4,33.3,1.88,0.63,0.17,0.5,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Auxerre,Fredrik Oppegard,NOR,"MF,DF",21,2002,3.0,0,3,1,33.3,0.99,0.33,0.0,0.0,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
