league,season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,_league_id,_season,_stat_type,_source,_scraped_at
FRA-Ligue 1,2425,Angers,Abdoulaye Bamba,CIV,DF,34,1990,16.8,2,0,0,10,7,0,5,20,15,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Angers,Bamba Dieng,SEN,FW,24,2000,5.9,1,0,0,9,13,4,5,0,1,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Angers,Carlens Arcus,HAI,DF,28,1996,22.7,3,0,0,37,21,1,56,26,37,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Angers,Cédric Hountondji,BEN,DF,30,1994,3.0,0,0,0,2,1,0,0,4,5,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Angers,Emmanuel Biumla,FRA,DF,19,2005,14.8,2,0,0,8,10,0,0,10,13,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Angers,Enzo Caumont,FRA,MF,20,2004,0.4,1,0,0,1,0,0,0,1,1,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Angers,Esteban Lepaul,FRA,FW,24,2000,18.1,2,0,0,16,16,16,15,4,6,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Angers,Farid El Melali,ALG,"MF,FW",27,1997,21.0,1,0,0,21,46,8,87,17,17,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Angers,Florent Hanin,ALG,DF,34,1990,29.7,2,0,0,17,35,1,104,47,48,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Angers,Haris Belkebla,ALG,MF,30,1994,19.9,1,0,0,18,32,1,3,35,39,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Angers,Himad Abdelli,ALG,MF,24,1999,31.6,4,0,0,47,32,3,45,27,32,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Angers,Ibrahima Niane,SEN,FW,25,1999,10.5,0,0,0,15,30,9,2,2,3,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Angers,Jacques Ekomie,GAB,"DF,MF",20,2003,7.7,1,0,0,11,21,1,23,5,14,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Angers,Jean-Eudes Aholou,CIV,MF,30,1994,21.8,7,0,0,50,25,1,2,34,36,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Angers,Jim Allevinah,GAB,MF,29,1995,19.4,3,0,0,18,25,10,35,12,14,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Angers,Jordan Lefort,MTN,DF,30,1993,34.0,3,0,0,14,15,1,12,32,29,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Angers,Justin-Noël Kalumba,FRA,FW,19,2004,0.3,0,0,0,0,1,0,1,1,0,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Angers,Lanroy Machine,FRA,MF,18,2005,0.1,0,0,0,0,0,0,1,0,0,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Angers,Lilian Raolisoa,FRA,"DF,MF",24,2000,14.6,1,2,0,16,9,3,76,16,25,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Angers,Lois Diony,FRA,FW,31,1992,0.2,0,0,0,0,0,0,0,0,0,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Angers,Marius Courcoul,FRA,MF,17,2007,3.4,0,0,0,4,2,0,4,6,2,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Angers,Melvin Zinga,FRA,GK,22,2002,1.0,0,0,0,1,0,0,0,0,0,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Angers,Ousmane Camara,MLI,DF,21,2003,2.8,1,0,0,1,0,0,0,0,3,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Angers,Pierrick Capelle,FRA,MF,37,1987,5.4,4,0,0,12,4,1,10,11,17,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Angers,Prosper Peter,NGA,FW,16,2007,0.3,0,0,0,1,0,0,0,0,1,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Angers,Sidiki Cherif,FRA,FW,17,2006,3.6,0,0,0,4,8,5,4,0,5,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Angers,Yahia Fofana,CIV,GK,23,2000,33.0,4,0,0,0,11,0,0,1,0,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Angers,Yassin Belkhdim,FRA,MF,22,2002,16.9,4,0,0,28,15,2,16,21,27,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Angers,Zinedine Ferhat,ALG,MF,31,1993,9.4,1,0,0,11,15,2,68,10,7,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Angers,Zinédine Ould Khaled,FRA,MF,24,2000,3.8,1,0,0,8,4,0,1,2,8,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Ado Onaiwu,JPN,"MF,FW",28,1995,10.6,1,1,0,9,12,3,7,3,7,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Aristide Zossou,CIV,MF,19,2005,0.2,0,0,0,2,0,0,1,0,0,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Assane Dioussé,SEN,MF,26,1997,7.4,1,0,0,18,11,0,1,11,8,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Ben Viadere,FRA,FW,18,2005,0.1,0,0,0,0,0,0,4,0,0,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Clément Akpa,CIV,DF,22,2001,27.6,7,0,0,15,35,0,26,40,33,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Donovan Léon,GUF,GK,31,1992,32.0,4,0,0,1,4,0,0,0,0,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Elisha Owusu,GHA,MF,26,1997,26.0,7,0,0,48,21,0,10,39,42,,,1,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Eros Maddy,NED,"FW,MF",23,2001,0.2,1,0,0,3,0,0,0,0,0,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Florian Ayé,FRA,FW,27,1997,6.4,0,0,0,10,6,3,2,7,1,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Fredrik Oppegard,NOR,"MF,DF",21,2002,3.0,0,0,0,3,4,1,6,2,3,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Gabriel Osho,NGA,DF,25,1998,18.4,1,1,0,11,10,0,3,13,16,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Gaëtan Perrin,FRA,MF,28,1996,29.9,2,0,0,24,20,9,161,12,27,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Gideon Mensah,GHA,"DF,MF",26,1998,25.3,2,0,0,33,26,1,76,49,46,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Hamed Junior Traorè,CIV,MF,24,2000,23.3,5,0,0,30,40,7,42,7,21,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Han-Noah Massengo,FRA,MF,23,2001,11.6,5,0,0,17,21,0,9,17,11,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
