league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,_league_id,_season,_stat_type,_source,_scraped_at
FRA-Ligue 1,2526,Angers,Abdoulaye Bamba,CIV,DF,35,1990,6,255,43,8.3,2.8,3,80,1,3,5,21,1.0,3,6,-3,-1.06,-0.55,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Angers,Amine Sbai,MAR,"MF,FW",24,2000,25,1818,73,59.4,20.2,23,77,5,2,28,1,1.2,17,26,-9,-0.45,0.28,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Angers,Bane Diatta,FRA,MF,17,2008,1,5,5,0.2,0.1,0,,0,1,5,3,0.0,0,0,0,0.0,0.56,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Angers,Branco van den Boomen,NED,MF,30,1995,15,1238,83,40.5,13.8,14,86,9,1,30,0,0.93,9,21,-12,-0.87,-0.53,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Angers,Carlens Arcus,HAI,DF,29,1996,26,2040,78,66.7,22.7,24,84,17,2,16,2,1.15,19,27,-8,-0.35,0.62,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Angers,Dan Sinaté,FRA,DF,19,2006,3,33,11,1.1,0.4,0,,0,3,11,7,0.0,0,2,-2,-5.45,-4.95,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Angers,Emmanuel Biumla,FRA,DF,20,2005,9,387,43,12.6,4.3,3,69,1,6,30,14,0.67,0,9,-9,-2.09,-1.76,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Angers,Esteban Lepaul,FRA,FW,25,2000,2,174,87,5.7,1.9,2,87,1,0,,0,1.5,1,1,0,0.0,0.59,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Angers,Florent Hanin,ALG,"DF,MF",35,1990,25,865,35,28.3,9.6,9,72,1,16,14,9,0.96,9,14,-5,-0.52,0.05,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Angers,Goduine Koyalipou,CTA,FW,25,2000,13,668,51,21.8,7.4,7,77,1,6,22,1,0.92,4,7,-3,-0.4,0.2,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Angers,Haris Belkebla,ALG,MF,31,1994,33,2875,87,94.0,31.9,33,87,28,0,,0,1.0,28,47,-19,-0.59,-0.59,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Angers,Harouna Djibrin,CMR,MF,18,2006,15,336,22,11.0,3.7,1,60,0,14,20,3,1.2,7,5,2,0.54,1.23,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Angers,Hervé Koffi,BFA,GK,28,1996,30,2658,89,86.9,29.5,30,89,29,0,,0,1.2,25,36,-11,-0.37,1.42,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Angers,Himad Abdelli,ALG,MF,25,1999,13,943,73,30.8,10.5,11,81,4,2,25,0,1.38,12,13,-1,-0.1,0.67,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Angers,Ilann Garin,FRA,DF,19,2006,0,,,,,0,,0,0,,2,,,,,,,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Angers,Jacques Ekomie,GAB,"DF,MF",21,2003,32,2239,70,73.2,24.9,25,84,17,7,20,0,1.13,21,35,-14,-0.56,-0.01,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Angers,Jim Allevinah,GAB,MF,30,1995,6,133,22,4.3,1.5,0,,0,6,22,1,1.33,1,1,0,0.0,0.58,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Angers,Jordan Lefort,MTN,DF,31,1993,34,3060,90,100.0,34.0,34,90,34,0,,0,1.06,29,48,-19,-0.56,,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Angers,Justin-Noël Kalumba,FRA,"FW,MF",20,2004,4,224,56,7.3,2.5,3,71,1,1,11,2,0.25,1,5,-4,-1.61,-1.13,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Angers,Lanroy Machine,FRA,FW,19,2005,22,519,24,17.0,5.8,3,66,0,19,17,4,0.91,7,7,0,0.0,0.67,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Angers,Lilian Raolisoa,FRA,"MF,DF",25,2000,32,1966,61,64.2,21.8,21,81,8,11,24,0,1.13,18,31,-13,-0.6,-0.1,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Angers,Louis Mouton,FRA,MF,23,2002,32,1891,59,61.8,21.0,24,73,2,8,17,0,1.09,15,28,-13,-0.62,-0.16,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Angers,Marius Courcoul,FRA,MF,18,2007,18,374,21,12.2,4.2,3,65,0,15,12,9,1.11,7,8,-1,-0.24,0.36,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Angers,Marius Louer,FRA,DF,18,2007,9,543,60,17.7,6.0,6,87,5,3,8,7,0.33,5,13,-8,-1.33,-0.93,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Angers,Maël Gernigon,FRA,DF,15,2009,0,,,,,0,,0,0,,5,,,,,,,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Angers,Melvin Zinga,FRA,GK,23,2002,3,222,74,7.3,2.5,2,90,2,1,42,21,0.33,3,5,-2,-0.81,-0.27,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Angers,Oumar Pona,FRA,GK,19,2006,2,180,90,5.9,2.0,2,90,2,0,,11,0.0,1,7,-6,-3.0,-2.59,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Angers,Ousmane Camara,MLI,DF,22,2003,32,2718,85,88.8,30.2,31,87,29,1,18,1,1.13,28,38,-10,-0.33,2.04,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Angers,Pierrick Capelle,FRA,MF,38,1987,16,651,41,21.3,7.2,6,72,0,10,22,17,0.81,6,10,-4,-0.55,0.01,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Angers,Prosper Peter,NGA,FW,17,2007,29,1273,44,41.6,14.1,14,70,5,15,19,1,1.07,12,28,-16,-1.13,-0.98,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Angers,Sidiki Cherif,FRA,"FW,MF",18,2006,19,1157,61,37.8,12.9,14,70,2,5,36,0,1.21,13,16,-3,-0.23,0.52,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Angers,Yahya Jlidi,TUN,FW,16,2009,0,,,,,0,,0,0,,1,,,,,,,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Angers,Yann Llahona Bonaterra,FRA,GK,18,2007,0,,,,,0,,0,0,,1,,,,,,,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Angers,Yassin Belkhdim,FRA,MF,23,2002,27,2135,79,69.8,23.7,26,81,11,1,30,0,1.22,17,32,-15,-0.63,-0.24,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Auxerre,Ado Onaiwu,JPN,"FW,MF",29,1995,0,,,,,0,,0,0,,1,,,,,,,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Auxerre,Alvin Petit Dol,FRA,FW,18,2006,0,,,,,0,,0,0,,8,,,,,,,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Auxerre,Assane Dioussé,SEN,MF,27,1997,15,219,15,7.2,2.4,1,68,0,14,11,19,1.07,3,10,-7,-2.88,-2.78,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Auxerre,Bryan Okoh,SUI,DF,22,2003,13,1005,77,32.8,11.2,12,83,10,1,6,1,1.38,16,15,1,0.09,0.57,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Auxerre,Clément Akpa,CIV,DF,23,2001,26,1944,75,63.5,21.6,21,85,18,5,31,4,1.0,16,29,-13,-0.6,-0.84,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Auxerre,Danny Loader,CMR,"MF,FW",24,2000,30,2517,84,82.3,28.0,29,86,17,1,29,0,0.93,27,36,-9,-0.32,-0.16,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Auxerre,Donovan Léon,GUF,GK,32,1992,29,2460,85,80.4,27.3,29,85,26,0,,0,1.03,24,35,-11,-0.4,-0.55,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Auxerre,Elikya Legros,FRA,DF,17,2008,0,,,,,0,,0,0,,3,,,,,,,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Auxerre,Elisha Owusu,GHA,MF,27,1997,29,2344,81,76.6,26.0,27,86,19,2,15,0,1.0,26,31,-5,-0.19,0.44,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Auxerre,Evan Diamalunda,FRA,MF,19,2006,0,,,,,0,,0,0,,4,,,,,,,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Auxerre,Francisco Sierralta,CHI,DF,28,1997,10,861,86,28.1,9.6,9,87,7,1,77,14,0.7,6,15,-9,-0.94,-0.9,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Auxerre,Fredrik Oppegard,NOR,"MF,DF",22,2002,23,1246,54,40.7,13.8,15,74,7,8,16,7,0.78,12,19,-7,-0.51,-0.36,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Auxerre,Gabriel Osho,NGA,DF,26,1998,2,134,67,4.4,1.5,2,67,1,0,,0,1.5,2,2,0,0.0,0.31,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Auxerre,Gideon Mensah,GHA,DF,27,1998,30,2327,78,76.0,25.9,26,86,16,4,22,2,1.03,27,28,-1,-0.04,1.07,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Auxerre,Ibrahim Osman,GHA,"MF,FW",20,2004,14,625,45,20.4,6.9,7,72,2,7,17,2,0.43,3,11,-8,-1.15,-1.08,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Auxerre,Josué Casimir,HAI,"MF,FW",23,2001,31,1522,49,49.7,16.9,16,76,4,15,21,1,0.97,13,25,-12,-0.71,-0.83,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Auxerre,Kévin Danois,FRA,MF,21,2004,33,2830,86,92.5,31.4,32,88,22,1,22,1,1.03,33,39,-6,-0.19,1.37,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Auxerre,Lamfia Dioubaté,FRA,MF,18,2007,0,,,,,0,,0,0,,1,,,,,,,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
