player_id,player_name,date_of_birth,age,nationality,nationality_id,height,weight,preferred_foot,jersey_number,position,position_detailed,market_value,market_currency,team_id,team_name,_league_id,_season,_source,_scraped_at
818244,Ousmane Dembélé,1997-05-15,29.0,France,,178.0,,Both,10,F,"['ST', 'RW']",97000000.0,EUR,1644,Paris Saint-Germain,FRA,2023-2024,datafc_sofascore,2026-08-11 18:39:37
889259,Khvicha Kvaratskhelia,2001-02-12,25.0,Georgia,,183.0,70.0,Both,7,F,['LW'],144000000.0,EUR,1644,Paris Saint-Germain,FRA,2023-2024,datafc_sofascore,2026-08-11 18:39:37
1154605,Désiré Doué,2005-06-03,21.0,France,,181.0,,Right,14,F,['RW'],124000000.0,EUR,1644,Paris Saint-Germain,FRA,2023-2024,datafc_sofascore,2026-08-11 18:39:37
996952,Bradley Barcola,2002-09-02,23.0,France,,182.0,,Right,29,F,['LW'],87000000.0,EUR,1644,Paris Saint-Germain,FRA,2023-2024,datafc_sofascore,2026-08-11 18:39:37
1590918,Ibrahim Mbaye,2008-01-24,18.0,Senegal,,175.0,,Right,49,F,['RW'],29000000.0,EUR,1644,Paris Saint-Germain,FRA,2023-2024,datafc_sofascore,2026-08-11 18:39:37
1861665,Quentin Ndjantou,2007-07-22,19.0,France,,182.0,,Right,47,F,['MC'],8400000.0,EUR,1644,Paris Saint-Germain,FRA,2023-2024,datafc_sofascore,2026-08-11 18:39:37
902029,Vitinha,2000-02-13,26.0,Portugal,,172.0,,Right,17,M,['MC'],130000000.0,EUR,1644,Paris Saint-Germain,FRA,2023-2024,datafc_sofascore,2026-08-11 18:39:37
1926085,Dro Fernández,2008-01-12,18.0,Spain,,182.0,,Right,27,M,['AM'],9700000.0,EUR,1644,Paris Saint-Germain,FRA,2023-2024,datafc_sofascore,2026-08-11 18:39:37
1190933,João Neves,2004-09-27,21.0,Portugal,,174.0,,Right,87,M,['MC'],148000000.0,EUR,1644,Paris Saint-Germain,FRA,2023-2024,datafc_sofascore,2026-08-11 18:39:37
784655,Fabián Ruiz,1996-04-03,30.0,Spain,,189.0,70.0,Left,8,M,['MC'],29000000.0,EUR,1644,Paris Saint-Germain,FRA,2023-2024,datafc_sofascore,2026-08-11 18:39:37
1473491,Senny Mayulu,2006-05-17,20.0,France,,183.0,,Both,24,M,['MC'],38000000.0,EUR,1644,Paris Saint-Germain,FRA,2023-2024,datafc_sofascore,2026-08-11 18:39:37
1142672,Warren Zaïre-Emery,2006-03-08,20.0,France,,178.0,,Right,33,M,"['MC', 'DR']",78000000.0,EUR,1644,Paris Saint-Germain,FRA,2023-2024,datafc_sofascore,2026-08-11 18:39:37
1130939,Maghnes Akliouche,2002-02-25,24.0,France,,183.0,,Left,11,M,"['RW', 'AM']",49000000.0,EUR,1644,Paris Saint-Germain,FRA,2023-2024,datafc_sofascore,2026-08-11 18:39:37
318967,Renato Sanches,1997-08-18,28.0,Portugal,,176.0,,Right,18,M,['MC'],2100000.0,EUR,1644,Paris Saint-Germain,FRA,2023-2024,datafc_sofascore,2026-08-11 18:39:37
814594,Achraf Hakimi,1998-11-04,27.0,Morocco,,181.0,68.0,Right,2,D,['DR'],82000000.0,EUR,1644,Paris Saint-Germain,FRA,2023-2024,datafc_sofascore,2026-08-11 18:39:37
