tournament_id,season_id,player_name,player_id,team_name,team_id,saves,goalsPrevented,rating,minutesPlayed,appearances,accuratePasses,accurateLongBalls,accurateLongBallsPercentage,yellowCards,redCards,_league_id,_season,_source,_scraped_at
238,52769,Ricardo Velho,845792,SC Farense,2998,140,13.49,7.41,2880,32,474,213,32.42,2,0,POR,2023-2024,datafc_sofascore,2026-08-12 07:02:24
238,52769,João Gonçalves,987596,Boavista,2995,112,-1.58,6.9,3060,34,474,169,35.96,4,0,POR,2023-2024,datafc_sofascore,2026-08-12 07:02:24
238,52769,Luiz Júnior,1066603,Famalicão,49531,111,9.49,7.31,2970,33,664,207,43.86,2,0,POR,2023-2024,datafc_sofascore,2026-08-12 07:02:24
238,52769,Ricardo Batista,9668,Casa Pia,36365,103,-1.02,7.0,2786,31,598,174,33.98,2,1,POR,2023-2024,datafc_sofascore,2026-08-12 07:02:24
238,52769,Andrew,947893,Gil Vicente,3010,101,-0.17,7.02,2880,32,664,167,35.38,0,0,POR,2023-2024,datafc_sofascore,2026-08-12 07:02:24
238,52769,Ignacio de Arruabarrena,789933,FC Arouca,25777,97,3.82,7.01,2790,31,664,158,35.03,4,0,POR,2023-2024,datafc_sofascore,2026-08-12 07:02:24
238,52769,Jhonatan,798688,Rio Ave,3036,93,6.59,7.34,2340,26,587,154,41.4,4,0,POR,2023-2024,datafc_sofascore,2026-08-12 07:02:24
238,52769,Hugo Souza,950454,Chaves,3025,89,-1.17,7.0,2340,26,386,193,40.72,5,0,POR,2023-2024,datafc_sofascore,2026-08-12 07:02:24
238,52769,Kewin,865371,Moreirense,3014,87,0.71,7.13,2687,30,692,228,43.35,1,0,POR,2023-2024,datafc_sofascore,2026-08-12 07:02:24
238,52769,Marcelo Carné,243463,Estoril Praia,4500,79,4.28,7.09,1980,22,389,92,32.17,3,1,POR,2023-2024,datafc_sofascore,2026-08-12 07:02:24
238,52769,Matheus,603946,Sporting Braga,2999,79,-2.82,6.9,3060,34,818,209,44.75,3,0,POR,2023-2024,datafc_sofascore,2026-08-12 07:02:24
238,52769,Bruno Brígido,329079,CF Estrela Amadora,3035,78,-2.67,6.98,2340,26,511,116,38.28,0,0,POR,2023-2024,datafc_sofascore,2026-08-12 07:02:24
238,52769,Fabijan Buntić,827377,Vizela,5136,78,-12.23,6.78,2495,28,564,146,40.11,1,0,POR,2023-2024,datafc_sofascore,2026-08-12 07:02:24
238,52769,Anatoliy Trubin,966616,Benfica,3006,76,7.92,7.15,2520,28,495,77,42.54,1,0,POR,2023-2024,datafc_sofascore,2026-08-12 07:02:24
238,52769,Bruno Varela,138895,Vitória SC,3009,70,5.05,7.04,2385,27,487,193,47.42,3,0,POR,2023-2024,datafc_sofascore,2026-08-12 07:02:24
238,52769,Kosuke Nakamura,155775,Portimonense SAD,3026,59,1.75,6.97,1800,20,301,108,37.24,1,0,POR,2023-2024,datafc_sofascore,2026-08-12 07:02:24
238,52769,Diogo Costa,843115,FC Porto,3002,58,2.49,7.01,2945,33,911,187,51.94,0,1,POR,2023-2024,datafc_sofascore,2026-08-12 07:02:24
238,52769,Vinicius Silvestre,559582,Portimonense SAD,3026,49,-5.2,6.94,1260,14,257,97,40.25,1,0,POR,2023-2024,datafc_sofascore,2026-08-12 07:02:24
238,52769,Antonio Adán,59623,Sporting CP,3001,33,-3.12,6.71,1980,22,395,83,40.89,1,0,POR,2023-2024,datafc_sofascore,2026-08-12 07:02:24
238,52769,Dani Figueira,862060,Estoril Praia,4500,33,-8.41,6.62,1080,12,193,34,33.01,1,0,POR,2023-2024,datafc_sofascore,2026-08-12 07:02:24
