tournament_id,season_id,player_name,player_id,team_name,team_id,rating,goals,assists,expectedGoals,expectedAssists,shotsOnTarget,totalShots,bigChancesCreated,bigChancesMissed,accuratePasses,accuratePassesPercentage,keyPasses,accurateLongBalls,accurateLongBallsPercentage,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,clearances,possessionLost,minutesPlayed,appearances,yellowCards,redCards,_league_id,_season,_source,_scraped_at
8,52376,Jude Bellingham,991011,Real Madrid,2829,8.05,19,6,11.12,4.31,35,63,7,7,1347,89.8,48,50,83.33,50,58.82,42,21,13,311,2324,28,5,1,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Thibaut Courtois,70988,Real Madrid,2829,8.0,0,0,,0.02,0,0,1,0,88,89.8,1,13,56.52,0,0.0,1,0,2,10,333,4,0,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Dominik Greif,791046,Mallorca,2826,7.8,0,0,,0.01,0,0,0,0,21,72.41,0,11,57.89,0,0.0,0,0,0,8,90,1,0,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Toni Kroos,26502,Real Madrid,2829,7.63,1,8,1.62,5.93,13,35,9,0,2242,94.68,63,231,85.87,5,62.5,53,17,6,231,2135,33,3,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Iago Aspas,19356,Celta Vigo,2821,7.54,9,10,11.47,9.31,28,79,21,9,898,78.43,91,46,56.79,29,70.73,11,10,6,460,2715,35,6,1,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Isco,103417,Real Betis,2816,7.52,8,5,8.3,6.36,26,64,12,11,1151,86.22,81,71,71.72,76,59.38,41,10,6,504,2338,29,10,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,İlkay Gündoğan,45853,FC Barcelona,2817,7.48,5,9,7.3,9.89,17,43,14,6,2115,90.54,97,85,72.03,34,64.15,31,20,16,436,2997,36,5,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Aleix García,796047,Girona FC,24264,7.48,3,6,1.78,6.04,12,39,9,0,2499,91.74,59,218,74.15,15,71.43,49,36,49,416,3201,37,4,1,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Ivan Rakitić,7635,Sevilla,2833,7.46,2,1,1.28,4.09,8,32,3,0,759,81.26,49,90,60.4,8,47.06,30,14,11,320,1425,18,6,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Antoine Griezmann,85859,Atlético Madrid,2836,7.45,16,6,12.44,5.81,34,79,10,11,1030,82.66,43,56,71.79,22,59.46,33,10,21,404,2654,33,5,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Frenkie de Jong,795222,FC Barcelona,2817,7.45,2,0,0.7,4.88,4,7,4,0,1526,93.11,22,46,67.65,13,61.9,43,14,27,171,1637,20,7,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Takefusa Kubo,880218,Real Sociedad,2824,7.41,7,4,3.54,6.49,21,46,10,4,572,80.56,59,22,68.75,55,55.56,26,11,5,397,2155,30,2,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Federico Valverde,831808,Real Madrid,2829,7.38,2,7,3.52,3.41,19,56,9,6,1890,91.17,49,87,68.5,22,51.16,47,43,30,282,2910,37,2,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Luka Modrić,15466,Real Madrid,2829,7.35,2,6,1.31,4.83,10,25,12,0,1424,91.11,57,99,79.2,21,55.26,22,21,6,269,1685,32,2,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Gerard Moreno,146866,Villarreal,2819,7.35,10,6,9.68,4.62,21,63,9,7,766,79.54,55,53,67.09,43,54.43,25,9,23,368,2229,30,0,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Sergio Ramos,10710,Sevilla,2833,7.34,3,0,1.89,0.39,11,28,0,1,1351,89.17,4,177,66.29,6,66.67,45,41,156,190,2518,28,7,1,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Lamine Yamal,1402912,FC Barcelona,2817,7.34,5,5,5.22,6.52,21,58,13,3,863,84.11,38,17,70.83,70,54.69,61,19,9,380,2197,37,3,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Vinícius Júnior,868812,Real Madrid,2829,7.33,15,5,13.11,4.38,39,78,9,17,486,78.14,32,32,61.54,65,40.63,18,1,0,414,1872,26,7,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Iñaki Williams,783374,Athletic Club,2825,7.32,12,3,9.44,5.76,43,93,10,11,632,73.75,44,7,35.0,49,44.95,24,14,27,529,2855,34,4,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Rodrygo,910536,Real Madrid,2829,7.31,10,5,11.74,4.19,36,87,5,12,864,89.91,46,9,81.82,60,46.88,16,8,4,304,2388,34,2,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Iván Cuéllar,19013,Mallorca,2826,7.3,0,0,,0.0,0,0,0,0,16,59.26,0,4,28.57,0,0.0,0,0,0,11,90,1,0,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Antal Yaakobishvili,1471513,Girona FC,24264,7.3,0,0,0.0,0.12,0,0,1,0,37,88.1,1,5,62.5,0,0.0,2,3,3,6,60,1,0,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Savinho,1046795,Girona FC,24264,7.29,9,10,6.06,9.88,20,45,14,5,772,83.19,54,19,61.29,104,53.61,42,18,5,511,2989,37,5,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Raphinha,831005,FC Barcelona,2817,7.28,6,9,7.38,4.99,22,59,11,10,475,80.92,41,28,59.57,24,55.81,14,13,11,241,1379,28,4,1,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Jesús Owono,990659,Deportivo Alavés,2885,7.28,0,0,,0.02,0,0,0,0,68,61.82,0,38,47.5,0,0.0,0,0,5,42,360,4,1,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Arda Güler,1091116,Real Madrid,2829,7.27,6,0,1.44,0.54,6,15,0,0,179,88.18,2,9,75.0,11,55.0,6,2,1,56,390,10,1,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,João Cancelo,138892,FC Barcelona,2817,7.25,2,4,1.63,6.75,10,32,11,1,1318,84.65,35,71,58.68,60,61.22,64,29,42,448,2506,32,7,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Alex Baena,910031,Villarreal,2819,7.25,2,14,8.07,9.54,26,73,17,8,824,78.48,86,62,59.62,26,52.0,34,13,16,486,2599,34,11,1,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Paulo Gazzaniga,164343,Girona FC,24264,7.24,0,0,0.0,0.05,0,0,2,0,917,75.91,3,198,41.25,6,100.0,2,0,17,300,3420,38,2,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Rodrigo De Paul,249399,Atlético Madrid,2836,7.24,3,5,1.81,6.23,12,30,11,2,1266,85.66,39,99,68.28,28,58.33,31,11,12,334,2084,34,7,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Pepelu,826948,Valencia,2828,7.24,7,1,7.28,4.52,12,35,2,1,1622,82.38,56,134,54.92,12,54.55,78,49,69,508,3305,37,4,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Lucas Vázquez,255239,Real Madrid,2829,7.24,3,6,1.17,3.55,7,12,9,2,812,88.55,30,12,30.0,24,55.81,37,12,29,209,1442,29,0,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Robert Lewandowski,41789,FC Barcelona,2817,7.23,19,8,18.1,3.59,43,94,10,18,409,72.26,27,15,53.57,23,43.4,8,9,18,328,2758,35,5,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Dani Carvajal,138572,Real Madrid,2829,7.23,4,3,1.74,3.12,10,18,4,3,1111,87.34,22,36,54.55,9,45.0,47,22,44,263,2183,28,3,1,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Viktor Tsygankov,319735,Girona FC,24264,7.22,8,7,6.19,6.5,16,44,12,5,699,83.12,34,18,58.06,22,47.83,29,12,20,300,2067,30,0,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Pedri,992587,FC Barcelona,2817,7.22,4,2,3.12,4.07,7,15,8,4,1024,87.82,37,37,74.0,16,44.44,33,14,7,222,1487,24,3,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Mikel Merino,592010,Real Sociedad,2824,7.22,5,3,3.3,2.76,11,30,4,4,1069,77.46,20,56,65.88,24,64.86,77,16,55,453,2485,32,10,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Filip Jørgensen,962053,Villarreal,2819,7.21,0,0,0.0,0.04,0,0,0,0,875,77.99,0,178,42.58,1,100.0,3,2,26,256,3240,36,4,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Samuel Lino,874705,Atlético Madrid,2836,7.21,4,5,5.6,3.5,21,54,10,5,771,83.26,35,29,56.86,40,58.82,61,14,17,313,2087,34,0,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Brahim Díaz,835485,Real Madrid,2829,7.2,8,6,5.68,4.66,17,38,9,4,607,87.09,30,15,65.22,55,52.88,29,5,2,261,1582,31,0,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Antonio Raíllo,807116,Mallorca,2826,7.2,3,2,1.41,0.79,9,29,3,0,990,85.79,8,63,53.39,1,50.0,30,37,104,187,2202,26,4,1,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Jaume Doménech,235386,Valencia,2828,7.2,0,0,,0.0,0,0,0,0,11,37.93,0,4,18.18,0,0.0,0,0,2,18,79,2,0,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,David Gil,138390,Cádiz,4488,7.2,0,0,,0.01,0,0,0,0,70,48.61,0,52,41.27,0,0.0,0,0,5,74,371,5,1,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Claudio Bravo,13249,Real Betis,2816,7.2,0,0,0.0,0.13,0,0,0,0,156,78.39,1,44,50.57,0,0.0,0,0,8,44,630,7,0,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Artem Dovbyk,798820,Girona FC,24264,7.2,24,8,24.29,3.71,46,85,10,22,277,71.76,27,4,100.0,17,68.0,4,0,17,219,2605,36,2,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Jeremías Ledesma,341097,Cádiz,4488,7.2,0,0,0.0,0.16,0,0,0,0,578,54.22,1,328,40.34,2,100.0,1,0,39,498,3049,34,0,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Marc-André Ter Stegen,88625,FC Barcelona,2817,7.2,0,0,0.0,0.06,0,0,0,0,812,88.36,1,163,63.67,0,0.0,0,0,13,110,2520,28,3,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
8,52376,Andriy Lunin,857574,Real Madrid,2829,7.2,0,0,0.0,0.01,0,0,0,0,485,85.24,1,67,45.89,0,0.0,0,0,29,86,1890,21,2,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:15
