tournament_id,season_id,player_name,player_id,team_name,team_id,saves,goalsPrevented,rating,minutesPlayed,appearances,accuratePasses,accurateLongBalls,accurateLongBallsPercentage,yellowCards,redCards,_league_id,_season,_source,_scraped_at
8,52376,Filip Jørgensen,962053,Villarreal,2819,143,-1.02,7.21,3240,36,875,178,42.58,4,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,Paulo Gazzaniga,164343,Girona FC,24264,125,6.58,7.24,3420,38,917,198,41.25,2,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,David Soria,604258,Getafe,2859,123,3.67,7.09,3414,38,564,373,38.53,3,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,Luís Maximiano,845797,Almería,2858,114,-2.68,7.01,2970,33,691,202,32.63,1,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,Álvaro Valles,964983,UD Las Palmas,6577,113,6.55,7.18,3264,37,1353,219,39.04,2,1,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,Giorgi Mamardashvili,930997,Valencia,2828,108,9.26,7.09,3289,37,454,208,29.01,3,1,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,Stole Dimitrievski,97951,Rayo Vallecano,2818,107,1.65,6.92,3330,37,567,191,29.8,2,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,Jeremías Ledesma,341097,Cádiz,4488,105,0.29,7.2,3049,34,578,328,40.34,0,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,Jan Oblak,69768,Atlético Madrid,2836,102,-2.04,7.01,3420,38,598,169,41.32,1,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,Predrag Rajković,188107,Mallorca,2826,99,-1.1,7.07,3240,36,622,354,41.4,2,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,Álex Remiro,791773,Real Sociedad,2824,97,4.03,7.13,3276,37,855,241,46.44,2,1,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,Unai Simón,797291,Athletic Club,2825,96,6.61,7.08,3184,36,586,248,33.79,2,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,Rui Silva,253809,Real Betis,2816,87,3.38,7.12,2475,28,552,162,36.9,4,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,Antonio Sivera,369004,Deportivo Alavés,2885,87,1.63,7.05,3060,34,539,294,39.89,3,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,Sergio Herrera,294377,Osasuna,2820,86,-0.87,7.0,2870,32,670,311,43.56,2,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,Vicente Guaita,32023,Celta Vigo,2821,83,2.64,7.1,2402,27,423,159,39.55,2,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,Ørjan Nyland,22209,Sevilla,2833,78,2.88,7.09,2160,24,383,171,37.17,1,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,Marc-André Ter Stegen,88625,FC Barcelona,2817,75,0.34,7.2,2520,28,812,163,63.67,3,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,Augusto Batalla,358910,Granada,33779,59,-4.95,7.08,1530,17,368,149,38.6,3,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,André Ferreira,788197,Granada,33779,49,-0.93,6.81,1339,15,272,87,39.55,1,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,Andriy Lunin,857574,Real Madrid,2829,48,4.28,7.2,1890,21,485,67,45.89,2,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,Marko Dmitrović,94527,Sevilla,2833,44,-2.42,6.95,1170,13,222,61,37.65,1,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,Kepa Arrizabalaga,232422,Real Madrid,2829,30,1.6,7.04,1197,14,329,47,41.59,1,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,Iván Villar,848980,Celta Vigo,2821,28,-1.58,6.61,1015,12,166,49,31.61,0,2,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,Iñaki Peña,794949,FC Barcelona,2817,22,-3.11,6.64,900,10,213,30,44.78,0,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,David Gil,138390,Cádiz,4488,17,-1.68,7.2,371,5,70,52,41.27,1,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,Thibaut Courtois,70988,Real Madrid,2829,16,3.3,8.0,333,4,88,13,56.52,0,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,Jesús Owono,990659,Deportivo Alavés,2885,16,-1.61,7.28,360,4,68,38,47.5,1,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,Claudio Bravo,13249,Real Betis,2816,16,0.48,7.2,630,7,156,44,50.57,0,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,Francisco Vieites,929975,Real Betis,2816,14,0.54,7.18,315,4,58,19,32.2,0,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,Fernando Martínez,139925,Almería,2858,13,-1.45,6.83,360,4,82,29,37.18,0,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,Marc Martínez,232548,Granada,33779,12,1.43,6.9,270,3,67,20,47.62,0,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,Aitor Fernández,99516,Osasuna,2820,11,-2.88,6.56,550,7,108,55,44.72,2,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,Jaume Doménech,235386,Valencia,2828,9,-1.31,7.2,79,2,11,4,18.18,0,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,Julen Agirrezabala,1014412,Athletic Club,2825,8,-1.62,6.85,236,4,47,19,36.54,0,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
8,52376,Raúl Fernández,31828,Granada,33779,8,-3.17,6.35,281,4,59,16,32.0,0,0,ESP,2023-2024,datafc_sofascore,2026-08-11 14:45:18
