tournament_id,season_id,player_name,player_id,team_name,team_id,rating,goals,assists,expectedGoals,expectedAssists,shotsOnTarget,totalShots,bigChancesCreated,bigChancesMissed,accuratePasses,accuratePassesPercentage,keyPasses,accurateLongBalls,accurateLongBallsPercentage,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,clearances,possessionLost,minutesPlayed,appearances,yellowCards,redCards,_league_id,_season,_source,_scraped_at
238,52769,Cezary Miszta,938292,Rio Ave,3036,8.7,0,0,,0.0,0,0,0,0,31,81.58,0,4,40.0,0,0.0,0,0,2,7,90,1,0,0,POR,2023-2024,datafc_sofascore,2026-08-11 14:47:28
238,52769,Viktor Gyökeres,804508,Sporting CP,3001,7.92,29,10,22.71,6.08,58,114,11,12,569,73.99,54,5,35.71,68,46.26,16,5,22,492,2915,33,3,0,POR,2023-2024,datafc_sofascore,2026-08-11 14:47:28
238,52769,Ángel Di María,30027,Benfica,3006,7.8,9,10,9.05,13.39,38,93,22,4,949,78.24,82,79,56.83,55,43.65,20,8,2,643,2229,28,4,0,POR,2023-2024,datafc_sofascore,2026-08-11 14:47:28
238,52769,Rafa Silva,252577,Benfica,3006,7.6,14,12,15.21,8.27,34,84,20,20,806,81.99,62,23,58.97,51,52.04,23,7,3,376,2488,30,3,0,POR,2023-2024,datafc_sofascore,2026-08-11 14:47:28
238,52769,Pedro Gonçalves,895764,Sporting CP,3001,7.57,11,12,11.02,8.55,32,90,18,10,846,80.73,65,37,52.86,29,37.66,47,10,2,467,2591,32,4,0,POR,2023-2024,datafc_sofascore,2026-08-11 14:47:28
238,52769,Gonçalo Pinto,1397563,Chaves,3025,7.5,0,0,,0.0,0,0,0,0,13,48.15,0,10,41.67,0,0.0,0,0,2,14,90,1,0,0,POR,2023-2024,datafc_sofascore,2026-08-11 14:47:28
238,52769,Orkun Kökçü,907461,Benfica,3006,7.5,7,8,5.14,3.25,23,49,9,3,1107,84.7,52,82,70.09,12,50.0,32,8,6,301,1795,27,7,0,POR,2023-2024,datafc_sofascore,2026-08-11 14:47:28
238,52769,Simon Banza,825945,Sporting Braga,2999,7.42,21,4,16.72,1.64,42,88,5,13,224,66.87,19,9,56.25,21,44.68,11,8,14,248,2007,28,2,0,POR,2023-2024,datafc_sofascore,2026-08-11 14:47:28
238,52769,Iván Marcano,26056,FC Porto,3002,7.42,2,0,1.31,0.31,4,6,0,0,280,89.74,2,24,70.59,0,0.0,9,4,9,36,368,5,1,0,POR,2023-2024,datafc_sofascore,2026-08-11 14:47:28
238,52769,Moatasem Al-Musrati,868958,Sporting Braga,2999,7.42,3,0,2.54,1.13,7,22,1,0,540,85.71,5,77,72.64,4,80.0,20,14,8,111,804,11,1,0,POR,2023-2024,datafc_sofascore,2026-08-11 14:47:28
238,52769,João Neves,1190933,Benfica,3006,7.41,3,1,1.75,3.26,11,29,4,1,1794,89.92,25,115,70.12,41,62.12,65,35,34,328,2320,33,3,0,POR,2023-2024,datafc_sofascore,2026-08-11 14:47:28
238,52769,Ricardo Velho,845792,SC Farense,2998,7.41,0,0,0.04,0.26,0,0,0,0,474,51.47,2,213,32.42,0,0.0,0,0,52,458,2880,32,2,0,POR,2023-2024,datafc_sofascore,2026-08-11 14:47:28
238,52769,Wenderson Galeno,845754,FC Porto,3002,7.38,9,7,9.19,5.77,25,76,9,9,587,78.79,47,16,42.11,33,44.0,25,15,14,366,2242,31,5,0,POR,2023-2024,datafc_sofascore,2026-08-11 14:47:28
238,52769,Francisco Conceição,979222,FC Porto,3002,7.38,5,4,5.74,8.34,23,76,11,7,564,81.5,44,31,63.27,67,51.54,40,2,2,373,1896,27,9,1,POR,2023-2024,datafc_sofascore,2026-08-11 14:47:28
238,52769,Nuno Santos,352882,Sporting CP,3001,7.37,4,10,3.98,6.83,12,43,9,2,880,83.41,61,46,55.42,9,42.86,26,25,12,370,2070,31,6,0,POR,2023-2024,datafc_sofascore,2026-08-11 14:47:28
