tournament_id,season_id,player_name,player_id,team_name,team_id,rating,goals,assists,expectedGoals,expectedAssists,shotsOnTarget,totalShots,bigChancesCreated,bigChancesMissed,accuratePasses,accuratePassesPercentage,keyPasses,accurateLongBalls,accurateLongBallsPercentage,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,clearances,possessionLost,minutesPlayed,appearances,yellowCards,redCards,_league_id,_season,_source,_scraped_at
45,52524,Marco Grüll,815612,SK Rapid Wien,2055,7.58,13,6,,,41,75,17,10,551,73.47,72,28,52.83,69,51.49,22,10,14,590,2311,29,3,0,AUT,2023-2024,datafc_sofascore,2026-08-11 14:49:40
45,52524,Luka Sučić,949156,Red Bull Salzburg,2046,7.47,3,6,,,13,40,10,3,649,79.44,47,54,56.84,46,70.77,23,13,14,301,1519,22,0,0,AUT,2023-2024,datafc_sofascore,2026-08-11 14:49:40
45,52524,Luka Marić,1006952,SK Sturm Graz,2051,7.4,0,0,,,0,0,0,0,35,68.63,0,10,40.0,0,0.0,0,0,3,16,180,2,0,0,AUT,2023-2024,datafc_sofascore,2026-08-11 14:49:40
45,52524,Alexandar Borković,825950,SK Sturm Graz,2051,7.4,0,0,,,1,1,0,0,40,74.07,0,0,0.0,1,100.0,1,3,5,14,91,2,0,0,AUT,2023-2024,datafc_sofascore,2026-08-11 14:49:40
45,52524,Dominik Fitz,837084,FK Austria Wien,2203,7.38,8,5,,,22,53,12,3,595,66.85,83,49,47.12,21,44.68,23,17,6,549,1978,27,7,0,AUT,2023-2024,datafc_sofascore,2026-08-11 14:49:40
45,52524,Oumar Solet,892979,Red Bull Salzburg,2046,7.38,1,1,,,1,8,4,1,1285,87.47,11,113,61.41,25,80.65,27,38,55,221,1612,21,1,0,AUT,2023-2024,datafc_sofascore,2026-08-11 14:49:40
45,52524,Robert Žulj,121613,LASK,2058,7.38,9,5,,,23,56,8,6,391,65.28,17,17,53.13,5,29.41,19,8,22,307,1491,20,5,1,AUT,2023-2024,datafc_sofascore,2026-08-11 14:49:40
45,52524,Lukas Gütlbauer,942888,Wolfsberger AC,2076,7.38,0,0,,,0,0,0,0,119,49.17,0,41,25.47,1,100.0,0,1,13,127,720,8,1,0,AUT,2023-2024,datafc_sofascore,2026-08-11 14:49:40
45,52524,Johannes Handl,874842,FK Austria Wien,2203,7.35,1,0,,,4,16,1,2,1182,76.6,14,100,38.17,15,78.95,64,67,108,398,2312,26,9,0,AUT,2023-2024,datafc_sofascore,2026-08-11 14:49:40
45,52524,Oscar Gloukh,1155158,Red Bull Salzburg,2046,7.33,7,11,,,17,52,19,6,699,79.89,53,22,59.46,69,63.89,22,9,4,342,1963,29,3,0,AUT,2023-2024,datafc_sofascore,2026-08-11 14:49:40
45,52524,Dejan Stojanović,109453,SCR Altach,4856,7.33,0,0,,,0,0,0,0,473,61.51,2,248,46.18,0,0.0,5,0,24,308,2274,26,2,0,AUT,2023-2024,datafc_sofascore,2026-08-11 14:49:40
45,52524,Otar Kiteishvili,797994,SK Sturm Graz,2051,7.31,9,5,,,19,44,5,5,704,79.64,27,23,56.1,27,44.26,47,23,13,328,1939,25,9,0,AUT,2023-2024,datafc_sofascore,2026-08-11 14:49:40
45,52524,Strahinja Pavlović,965893,Red Bull Salzburg,2046,7.31,3,3,,,5,18,2,2,1469,81.07,9,121,47.83,23,57.5,64,44,89,418,2288,26,10,1,AUT,2023-2024,datafc_sofascore,2026-08-11 14:49:40
45,52524,Andy Irving,845464,Austria Klagenfurt,43254,7.31,9,4,,,18,46,7,1,853,75.89,34,77,62.6,32,59.26,51,26,20,477,1941,28,5,0,AUT,2023-2024,datafc_sofascore,2026-08-11 14:49:40
45,52524,Matthäus Taferner,901905,WSG Tirol,5405,7.31,1,3,,,11,23,9,2,749,76.82,71,66,54.1,39,50.0,101,37,18,495,2454,29,8,0,AUT,2023-2024,datafc_sofascore,2026-08-11 14:49:40
45,52524,Leopold Querfeld,1086547,SK Rapid Wien,2055,7.29,3,0,,,9,32,1,4,1222,80.45,7,191,56.51,4,40.0,58,39,106,321,2475,28,6,0,AUT,2023-2024,datafc_sofascore,2026-08-11 14:49:40
45,52524,Maurits Kjaergaard,987818,Red Bull Salzburg,2046,7.25,2,5,,,7,20,11,2,538,83.15,33,34,48.57,14,46.67,15,14,7,222,1314,17,1,0,AUT,2023-2024,datafc_sofascore,2026-08-11 14:49:40
45,52524,Fernando,911195,Red Bull Salzburg,2046,7.25,4,2,,,11,27,2,5,106,69.28,11,2,33.33,25,56.82,10,9,1,111,554,11,2,0,AUT,2023-2024,datafc_sofascore,2026-08-11 14:49:40
45,52524,Andrés Andrade,841802,LASK,2058,7.24,0,2,,,5,15,4,0,1450,81.19,8,166,50.3,22,62.86,61,72,119,410,2700,30,3,0,AUT,2023-2024,datafc_sofascore,2026-08-11 14:49:40
45,52524,Donis Avdijaj,281271,TSV Hartberg,2075,7.22,12,3,,,21,51,3,3,414,72.63,27,29,56.86,37,52.86,41,6,13,351,2012,25,4,1,AUT,2023-2024,datafc_sofascore,2026-08-11 14:49:40
