league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,_league_id,_season,_stat_type,_scraped_at
GER-Bundesliga,2324,Augsburg,Arne Engels,BEL,"MF,DF",19,2003,15.6,3,20,7,35.0,1.28,0.45,0.15,0.43,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Augsburg,Arne Maier,GER,"MF,FW",24,1999,11.1,2,22,5,22.7,1.97,0.45,0.09,0.4,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Augsburg,Dion Drena Beljo,CRO,"FW,MF",21,2002,6.5,2,19,9,47.4,2.94,1.39,0.11,0.22,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Augsburg,Elvis Rexhbeçaj,KVX,MF,25,1997,22.1,2,28,4,14.3,1.27,0.18,0.04,0.25,1,1,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Augsburg,Ermedin Demirović,BIH,"FW,MF",25,1998,31.9,15,82,36,43.9,2.57,1.13,0.15,0.33,3,4,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Augsburg,Finn Dahmen,GER,GK,25,1998,31.0,0,0,0,,0.0,0.0,,,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Augsburg,Fredrik Jensen,FIN,MF,25,1997,14.9,2,14,5,35.7,0.94,0.34,0.14,0.4,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Augsburg,Iago,BRA,"DF,MF",26,1997,18.0,1,18,7,38.9,1.0,0.39,0.06,0.14,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Augsburg,Irvin Cardona,MLT,"FW,MF",25,1997,0.6,0,3,0,0.0,5.0,0.0,0.0,,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Augsburg,Jeffrey Gouweleeuw,NED,DF,32,1991,28.8,1,23,3,13.0,0.8,0.1,0.04,0.33,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Augsburg,Kevin Mbabu,SUI,"DF,MF",28,1995,22.7,0,4,1,25.0,0.18,0.04,0.0,0.0,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Augsburg,Kristijan Jakić,CRO,MF,26,1997,11.7,2,13,5,38.5,1.11,0.43,0.15,0.4,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Augsburg,Mads Pedersen,DEN,"DF,MF",26,1996,19.8,1,14,1,7.1,0.71,0.05,0.07,1.0,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Augsburg,Mahmut Kücüksahin,,DF,19,2004,0.0,0,0,0,,0.0,0.0,,,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Augsburg,Masaya Okugawa,JPN,"FW,MF",27,1996,0.4,0,0,0,,0.0,0.0,,,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Augsburg,Maximilian Bauer,GER,DF,23,2000,9.0,1,4,1,25.0,0.44,0.11,0.25,1.0,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Augsburg,Mergim Berisha,GER,FW,25,1998,1.4,0,5,0,0.0,3.69,0.0,0.0,,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Augsburg,Mert Kömür,GER,FW,18,2005,1.3,1,2,1,50.0,1.53,0.76,0.5,1.0,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Augsburg,Nathanaël Mbuku,COD,"FW,MF",21,2002,0.1,0,1,0,0.0,18.0,0.0,0.0,,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Augsburg,Niklas Dorsch,GER,MF,25,1998,15.4,0,14,0,0.0,0.91,0.0,0.0,,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Augsburg,Ohis Felix Uduokhai,GER,DF,25,1997,32.5,2,13,3,23.1,0.4,0.09,0.15,0.67,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Augsburg,Patric Pfeiffer,GHA,DF,23,1999,5.7,0,11,0,0.0,1.94,0.0,0.0,,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Augsburg,Pep Biel,ESP,"FW,MF",26,1996,3.2,0,6,1,16.7,1.89,0.32,0.0,0.0,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
