league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,_league_id,_season,_stat_type,_scraped_at
GER-Bundesliga,2425,Augsburg,Alexis Claude-Maurice,FRA,"MF,FW",26,1998,28,2109,75,68.9,23.4,25,80,7,3,37,3,1.36,23,22,1,0.04,1.65,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Augsburg,Arne Engels,BEL,FW,20,2003,1,79,79,2.6,0.9,1,79,0,0,,0,1.0,2,2,0,0.0,0.48,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Augsburg,Arne Maier,GER,MF,25,1999,28,938,34,30.7,10.4,7,62,0,21,24,4,1.29,12,16,-4,-0.38,0.13,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Augsburg,Cedric Zesiger,SUI,DF,26,1998,15,1221,81,39.9,13.6,15,81,10,0,,0,1.33,10,12,-2,-0.15,0.54,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Augsburg,Chrislain Matsima,FRA,DF,22,2002,30,2551,85,83.4,28.3,28,89,26,2,28,2,1.3,26,37,-11,-0.39,0.5,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Augsburg,Daniel Klein,GER,GK,23,2001,0,,,,,0,,0,0,,5,,,,,,,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Augsburg,David Deger,GER,MF,24,2000,0,,,,,0,,0,0,,1,,,,,,,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Augsburg,Dimitris Giannoulis,GRE,MF,28,1995,31,2650,85,86.6,29.4,31,85,25,0,,0,1.23,31,46,-15,-0.51,-0.29,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Augsburg,Elvis Rexhbeçaj,KVX,MF,26,1997,27,1785,66,58.3,19.8,22,77,10,5,20,4,1.3,27,37,-10,-0.5,-0.08,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Augsburg,Felix Meiser,GER,DF,17,2007,0,,,,,0,,0,0,,6,,,,,,,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Augsburg,Finn Dahmen,GER,GK,26,1998,19,1710,90,55.9,19.0,19,90,19,0,,10,1.42,18,19,-1,-0.05,0.95,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Augsburg,Frank Onyeka,NGA,MF,26,1998,31,2586,83,84.5,28.7,30,85,18,1,46,0,1.26,25,38,-13,-0.45,0.12,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Augsburg,Fredrik Jensen,FIN,"MF,FW",26,1997,20,763,38,24.9,8.5,9,64,0,11,17,2,1.35,7,7,0,0.0,0.63,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Augsburg,Henri Koudossou,GER,MF,24,1999,21,748,36,24.4,8.3,4,78,1,17,26,5,1.24,11,12,-1,-0.12,0.46,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Augsburg,Jeffrey Gouweleeuw,NED,DF,33,1991,33,2944,89,96.2,32.7,33,89,32,0,,0,1.3,34,46,-12,-0.37,2.74,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Augsburg,Juan Ignacio Cabrera,GER,MF,21,2003,0,,,,,0,,0,0,,3,,,,,,,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Augsburg,Keven Schlotterbeck,GER,DF,27,1997,18,1297,72,42.4,14.4,15,81,11,3,28,10,1.28,20,24,-4,-0.28,0.34,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Augsburg,Kristijan Jakić,CRO,MF,27,1997,31,2306,74,75.4,25.6,27,82,20,4,22,0,1.26,26,38,-12,-0.47,0.01,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Augsburg,Mads Pedersen,DEN,DF,27,1996,7,235,34,7.7,2.6,2,68,1,5,20,4,1.0,4,8,-4,-1.53,-1.15,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Augsburg,Mahmut Kücüksahin,,DF,20,2004,0,,,,,0,,0,0,,2,,,,,,,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Augsburg,Marius Wolf,GER,MF,29,1995,32,2144,67,70.1,23.8,28,74,5,4,21,0,1.34,21,32,-11,-0.46,0.03,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Augsburg,Maximilian Bauer,GER,DF,24,2000,11,658,60,21.5,7.3,8,77,6,3,15,7,1.27,9,16,-7,-0.96,-0.62,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Augsburg,Mergim Berisha,GER,FW,26,1998,2,40,20,1.3,0.4,0,,0,2,20,1,0.5,0,1,-1,-2.25,-1.8,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Augsburg,Mert Kömür,GER,MF,19,2005,20,654,33,21.4,7.3,5,62,0,15,23,9,1.15,4,12,-8,-1.1,-0.8,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Augsburg,Nediljko Labrović,CRO,GK,24,1999,15,1350,90,44.1,15.0,15,90,15,0,,19,1.07,17,32,-15,-1.0,-0.95,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Augsburg,Niklas Dorsch,GER,MF,26,1998,1,32,32,1.0,0.4,0,,0,1,32,0,1.0,0,0,0,0.0,0.48,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Augsburg,Noahkai Banks,USA,DF,17,2006,8,278,35,9.1,3.1,2,74,0,6,22,12,2.13,1,2,-1,-0.32,0.16,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Augsburg,Phillip Tietz,GER,FW,27,1997,34,1686,50,55.1,18.7,19,71,4,15,22,0,1.26,25,29,-4,-0.21,0.57,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Augsburg,Robert Gumny,POL,MF,26,1998,7,271,39,8.9,3.0,2,65,0,5,28,4,0.71,3,7,-4,-1.33,-0.94,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Augsburg,Ruben Vargas,SUI,MF,25,1998,8,305,38,10.0,3.4,3,63,0,5,23,2,0.5,3,12,-9,-2.66,-2.43,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Augsburg,Samuel Essende,COD,FW,26,1998,30,1636,55,53.5,18.2,21,67,3,9,25,1,1.3,16,37,-21,-1.16,-1.47,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Augsburg,Steve Mounié,BEN,MF,29,1994,16,347,22,11.3,3.9,1,56,0,15,19,11,1.0,6,5,1,0.26,0.82,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Augsburg,Tim Breithaupt,GER,MF,22,2002,2,120,60,3.9,1.3,2,60,0,0,,13,0.5,2,4,-2,-1.5,-1.07,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Augsburg,Yusuf Kabadayı,GER,FW,20,2004,5,71,14,2.3,0.8,0,,0,5,14,7,1.4,1,1,0,0.0,0.48,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Bayern Munich,Adam Aznou,MAR,DF,18,2006,2,17,9,0.6,0.2,0,,0,2,9,11,3.0,0,2,-2,-10.59,-12.63,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Bayern Munich,Aleksandar Pavlovic,GER,MF,20,2004,21,1451,69,47.4,16.1,18,76,8,3,26,3,2.38,50,12,38,2.36,0.73,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Bayern Munich,Alphonso Davies,CAN,DF,23,2000,19,1560,82,51.0,17.3,17,89,13,2,28,2,2.58,52,15,37,2.13,0.33,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Bayern Munich,Anthony Pavlesic,CRO,GK,18,2006,0,,,,,0,,0,0,,2,,,,,,,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Bayern Munich,Arijon Ibrahimović,GER,MF,18,2005,1,1,1,0.0,0.0,0,,0,1,1,5,3.0,0,0,0,0.0,-1.97,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Bayern Munich,Daniel Peretz,ISR,GK,24,2000,3,270,90,8.8,3.0,3,90,3,0,,14,2.0,10,5,5,1.67,-0.33,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Bayern Munich,Dayot Upamecano,FRA,DF,25,1998,20,1759,88,57.5,19.5,20,88,16,0,,2,2.5,60,16,44,2.25,0.66,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Bayern Munich,Eric Dier,ENG,DF,30,1994,21,1463,70,47.8,16.3,16,88,14,5,11,13,2.33,43,17,26,1.6,-0.71,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Bayern Munich,Gabriel Vidovic,CRO,MF,20,2003,4,24,6,0.8,0.3,0,,0,4,6,8,3.0,0,0,0,0.0,-1.99,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Bayern Munich,Harry Kane,ENG,FW,31,1993,31,2381,77,77.8,26.5,28,82,15,3,29,0,2.52,81,18,63,2.38,1.85,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Bayern Munich,Hiroki Ito,JPN,DF,25,1999,6,250,42,8.2,2.8,3,68,0,3,15,0,1.83,6,5,1,0.36,-1.75,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Bayern Munich,Jamal Musiala,GER,MF,21,2003,25,1798,72,58.8,20.0,21,81,9,4,24,0,2.44,51,18,33,1.65,-0.77,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Bayern Munich,Jonah Kusi-Asare,SWE,FW,17,2007,1,3,3,0.1,0.0,0,,0,1,3,9,3.0,0,0,0,0.0,-1.97,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Bayern Munich,Jonas Urbig,GER,GK,20,2003,8,720,90,23.5,8.0,8,90,8,0,,7,1.88,21,12,9,1.13,-1.11,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Bayern Munich,Joshua Kimmich,GER,MF,29,1995,33,2847,86,93.0,31.6,32,89,31,1,15,0,2.39,90,28,62,1.96,-0.15,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Bayern Munich,Josip Stanišić,CRO,DF,24,2000,14,876,63,28.6,9.7,9,87,8,5,19,2,2.21,26,12,14,1.44,-0.75,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Bayern Munich,João Palhinha,POR,MF,29,1995,17,673,40,22.0,7.5,6,73,3,11,21,6,2.59,28,10,18,2.41,0.56,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Bayern Munich,Kim Min-jae,KOR,DF,27,1996,27,2283,85,74.6,25.4,27,85,20,0,,3,2.52,73,24,49,1.93,-0.15,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Bayern Munich,Kingsley Coman,FRA,MF,28,1996,28,1282,46,41.9,14.2,14,69,2,14,23,0,2.57,49,5,44,3.09,1.92,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Bayern Munich,Konrad Laimer,AUT,DF,27,1997,29,1699,59,55.5,18.9,19,81,12,10,16,4,2.38,56,20,36,1.91,-0.14,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Bayern Munich,Lennart Karl,GER,MF,16,2008,0,,,,,0,,0,0,,3,,,,,,,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Bayern Munich,Leon Goretzka,GER,MF,29,1995,26,1325,51,43.3,14.7,13,80,9,13,22,5,2.38,42,14,28,1.9,-0.12,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
GER-Bundesliga,2425,Bayern Munich,Leroy Sané,GER,MF,28,1996,30,1637,55,53.5,18.2,17,79,7,13,23,2,2.4,53,21,32,1.76,-0.45,GER,2024-2025,playing_time,2026-08-06T23:03:28.699743
