league,season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,_league_id,_season,_stat_type,_scraped_at
GER-Bundesliga,2425,Augsburg,Alexis Claude-Maurice,FRA,"MF,FW",26,1998,23.4,4,0,0,26,42,3,21,15,26,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Augsburg,Arne Engels,BEL,FW,20,2003,0.9,1,0,0,3,1,0,4,0,0,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Augsburg,Arne Maier,GER,MF,25,1999,10.4,0,1,0,9,7,0,68,6,6,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Augsburg,Cedric Zesiger,SUI,DF,26,1998,13.6,7,1,1,15,7,0,12,20,7,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Augsburg,Chrislain Matsima,FRA,DF,22,2002,28.3,4,0,0,11,10,1,3,50,21,,,1,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Augsburg,Dimitris Giannoulis,GRE,MF,28,1995,29.4,8,0,0,17,20,1,120,47,33,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Augsburg,Elvis Rexhbeçaj,KVX,MF,26,1997,19.8,8,0,0,13,42,1,70,16,19,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Augsburg,Finn Dahmen,GER,GK,26,1998,19.0,0,0,0,0,1,0,0,0,0,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Augsburg,Frank Onyeka,NGA,MF,26,1998,28.7,8,0,0,47,74,3,20,37,46,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Augsburg,Fredrik Jensen,FIN,"MF,FW",26,1997,8.5,0,0,0,5,5,3,21,5,7,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Augsburg,Henri Koudossou,GER,MF,24,1999,8.3,1,0,0,7,5,2,24,14,9,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Augsburg,Jeffrey Gouweleeuw,NED,DF,33,1991,32.7,9,0,0,22,13,2,17,39,31,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Augsburg,Keven Schlotterbeck,GER,DF,27,1997,14.4,4,1,1,10,11,1,3,18,17,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Augsburg,Kristijan Jakić,CRO,MF,27,1997,25.6,2,0,0,22,28,3,14,29,24,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Augsburg,Mads Pedersen,DEN,DF,27,1996,2.6,0,0,0,5,1,1,5,2,7,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Augsburg,Marius Wolf,GER,MF,29,1995,23.8,2,0,0,19,14,4,113,26,15,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Augsburg,Maximilian Bauer,GER,DF,24,2000,7.3,1,0,0,7,13,1,4,5,9,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Augsburg,Mergim Berisha,GER,FW,26,1998,0.4,1,0,0,2,0,0,1,0,0,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Augsburg,Mert Kömür,GER,MF,19,2005,7.3,1,0,0,7,12,3,26,2,2,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Augsburg,Nediljko Labrović,CRO,GK,24,1999,15.0,0,0,0,0,2,0,0,0,0,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Augsburg,Niklas Dorsch,GER,MF,26,1998,0.4,0,0,0,0,2,0,1,0,0,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Augsburg,Noahkai Banks,USA,DF,17,2006,3.1,2,0,0,2,1,0,2,5,5,,,1,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Augsburg,Phillip Tietz,GER,FW,27,1997,18.7,4,0,0,36,12,15,2,5,6,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Augsburg,Robert Gumny,POL,MF,26,1998,3.0,2,0,0,4,4,0,4,1,3,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Augsburg,Ruben Vargas,SUI,MF,25,1998,3.4,3,0,0,5,3,0,14,2,1,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Augsburg,Samuel Essende,COD,FW,26,1998,18.2,4,2,0,45,34,13,5,1,6,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Augsburg,Steve Mounié,BEN,MF,29,1994,3.9,2,0,0,9,5,1,3,1,4,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Augsburg,Tim Breithaupt,GER,MF,22,2002,1.3,0,0,0,2,3,0,1,2,1,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Augsburg,Yusuf Kabadayı,GER,FW,20,2004,0.8,0,0,0,1,1,1,1,0,0,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Bayern Munich,Adam Aznou,MAR,DF,18,2006,0.2,0,0,0,0,0,0,1,0,0,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
