league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,_league_id,_season,_stat_type,_scraped_at
ITA-Serie A,2425,Atalanta,Ademola Lookman,NGA,"MF,FW",26,1997,31,2247,72,65.7,25.0,28,76,7,3,42,2,2.03,50,23,27,1.08,0.01,ITA,2024-2025,playing_time,2026-08-06T23:09:56.576072
ITA-Serie A,2425,Atalanta,Alberto Manzoni,ITA,MF,19,2005,1,6,6,0.2,0.1,0,,0,1,6,2,0.0,0,0,0,0.0,-1.08,ITA,2024-2025,playing_time,2026-08-06T23:09:56.576072
ITA-Serie A,2425,Atalanta,Ben Godfrey,ENG,"DF,MF",26,1998,1,23,23,0.7,0.3,0,,0,1,23,14,3.0,0,0,0,0.0,-1.09,ITA,2024-2025,playing_time,2026-08-06T23:09:56.576072
ITA-Serie A,2425,Atalanta,Berat Djimsiti,ALB,DF,31,1993,34,2640,78,77.2,29.3,32,81,23,2,27,1,1.88,59,31,28,0.95,-0.55,ITA,2024-2025,playing_time,2026-08-06T23:09:56.576072
ITA-Serie A,2425,Atalanta,Charles De Ketelaere,BEL,"MF,FW",23,2001,36,2070,58,60.5,23.0,25,70,5,11,28,0,1.89,49,22,27,1.17,0.24,ITA,2024-2025,playing_time,2026-08-06T23:09:56.576072
ITA-Serie A,2425,Atalanta,Daniel Maldini,ITA,MF,22,2001,10,258,26,7.5,2.9,2,59,0,8,18,2,1.4,5,3,2,0.7,-0.41,ITA,2024-2025,playing_time,2026-08-06T23:09:56.576072
ITA-Serie A,2425,Atalanta,Davide Zappacosta,ITA,MF,32,1992,30,2067,69,60.4,23.0,26,76,10,4,24,4,1.97,48,23,25,1.09,0.02,ITA,2024-2025,playing_time,2026-08-06T23:09:56.576072
ITA-Serie A,2425,Atalanta,Dominic Vavassori,ITA,FW,18,2005,0,,,,,0,,0,0,,3,,,,,,,ITA,2024-2025,playing_time,2026-08-06T23:09:56.576072
ITA-Serie A,2425,Atalanta,Federico Cassa,ITA,MF,18,2006,2,14,7,0.4,0.2,0,,0,2,7,4,1.5,0,0,0,0.0,-1.08,ITA,2024-2025,playing_time,2026-08-06T23:09:56.576072
ITA-Serie A,2425,Atalanta,Federico Steffanoni,ITA,MF,15,2008,0,,,,,0,,0,0,,2,,,,,,,ITA,2024-2025,playing_time,2026-08-06T23:09:56.576072
ITA-Serie A,2425,Atalanta,Francesco Rossi,ITA,GK,33,1991,0,,,,,0,,0,0,,38,,,,,,,ITA,2024-2025,playing_time,2026-08-06T23:09:56.576072
ITA-Serie A,2425,Atalanta,Gianluca Scamacca,ITA,FW,25,1999,1,6,6,0.2,0.1,0,,0,1,6,0,1.0,0,0,0,0.0,-1.08,ITA,2024-2025,playing_time,2026-08-06T23:09:56.576072
ITA-Serie A,2425,Atalanta,Giorgio Scalvini,ITA,DF,20,2003,6,272,45,8.0,3.0,4,66,0,2,5,2,1.83,4,5,-1,-0.33,-1.53,ITA,2024-2025,playing_time,2026-08-06T23:09:56.576072
ITA-Serie A,2425,Atalanta,Ibrahim Sulemana,GHA,MF,21,2003,9,283,31,8.3,3.1,3,70,0,6,12,26,2.44,6,4,2,0.64,-0.48,ITA,2024-2025,playing_time,2026-08-06T23:09:56.576072
ITA-Serie A,2425,Atalanta,Isak Hien,SWE,DF,25,1999,30,2327,78,68.0,25.9,27,83,22,3,33,2,2.1,58,21,37,1.43,1.1,ITA,2024-2025,playing_time,2026-08-06T23:09:56.576072
ITA-Serie A,2425,Atalanta,Javison Idele,ITA,DF,17,2007,0,,,,,0,,0,0,,1,,,,,,,ITA,2024-2025,playing_time,2026-08-06T23:09:56.576072
ITA-Serie A,2425,Atalanta,Juan Cuadrado,COL,"MF,FW",36,1988,23,832,36,24.3,9.2,7,60,1,16,26,6,1.96,19,4,15,1.62,0.72,ITA,2024-2025,playing_time,2026-08-06T23:09:56.576072
ITA-Serie A,2425,Atalanta,Juan Musso,ARG,GK,30,1994,1,90,90,2.6,1.0,1,90,1,0,,1,3.0,4,0,4,4.0,3.0,ITA,2024-2025,playing_time,2026-08-06T23:09:56.576072
ITA-Serie A,2425,Atalanta,Lazar Samardzic,SRB,MF,22,2002,31,1169,38,34.2,13.0,7,77,3,24,26,6,1.81,30,13,17,1.31,0.35,ITA,2024-2025,playing_time,2026-08-06T23:09:56.576072
ITA-Serie A,2425,Atalanta,Lorenzo Bernasconi,ITA,MF,20,2003,0,,,,,0,,0,0,,2,,,,,,,ITA,2024-2025,playing_time,2026-08-06T23:09:56.576072
ITA-Serie A,2425,Atalanta,Lorenzo Riccio,ITA,MF,18,2006,0,,,,,0,,0,0,,4,,,,,,,ITA,2024-2025,playing_time,2026-08-06T23:09:56.576072
ITA-Serie A,2425,Atalanta,Marco Brescianini,ITA,MF,24,2000,29,991,34,29.0,11.0,9,63,1,20,21,5,1.83,21,13,8,0.73,-0.5,ITA,2024-2025,playing_time,2026-08-06T23:09:56.576072
ITA-Serie A,2425,Atalanta,Marco Carnesecchi,ITA,GK,24,2000,34,3060,90,89.5,34.0,34,90,34,0,,2,1.88,65,34,31,0.91,-1.59,ITA,2024-2025,playing_time,2026-08-06T23:09:56.576072
ITA-Serie A,2425,Atalanta,Marco Palestra,ITA,MF,19,2005,9,222,25,6.5,2.5,2,59,0,7,15,22,1.78,5,3,2,0.81,-0.29,ITA,2024-2025,playing_time,2026-08-06T23:09:56.576072
ITA-Serie A,2425,Atalanta,Mario Pašalić,CRO,MF,29,1995,34,1967,58,57.5,21.9,23,74,8,11,23,4,1.91,36,22,14,0.64,-1.03,ITA,2024-2025,playing_time,2026-08-06T23:09:56.576072
ITA-Serie A,2425,Atalanta,Marten de Roon,NED,"MF,DF",33,1991,36,3058,85,89.4,34.0,34,88,32,2,31,1,1.97,71,32,39,1.15,0.65,ITA,2024-2025,playing_time,2026-08-06T23:09:56.576072
ITA-Serie A,2425,Atalanta,Mateo Retegui,ITA,FW,25,1999,36,2383,66,69.7,26.5,32,72,6,4,21,0,2.0,63,28,35,1.32,0.8,ITA,2024-2025,playing_time,2026-08-06T23:09:56.576072
ITA-Serie A,2425,Atalanta,Matteo Ruggeri,ITA,"MF,DF",22,2002,30,1751,58,51.2,19.5,19,80,11,11,22,6,2.0,38,22,16,0.82,-0.53,ITA,2024-2025,playing_time,2026-08-06T23:09:56.576072
ITA-Serie A,2425,Atalanta,Mitchel Bakker,NED,"DF,MF",24,2000,1,22,22,0.6,0.2,0,,0,1,22,0,3.0,0,0,0,0.0,-1.09,ITA,2024-2025,playing_time,2026-08-06T23:09:56.576072
