league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,_league_id,_season,_stat_type,_scraped_at
FRA-Ligue 1,2324,Brest,Achraf Dari,MAR,DF,24,1999,1.3,0,1,1,100.0,0.74,0.74,0.0,0.0,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Brest,Adrien Lebeau,FRA,MF,24,1999,0.6,0,1,0,0.0,1.67,0.0,0.0,,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Brest,Axel Camblan,FRA,FW,19,2003,1.0,0,2,0,0.0,2.0,0.0,0.0,,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Brest,Bilal Brahimi,ALG,FW,23,2000,2.5,0,4,2,50.0,1.63,0.81,0.0,0.0,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Brest,Bradley Locko,FRA,DF,21,2002,32.9,0,12,2,16.7,0.36,0.06,0.0,0.0,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Brest,Brendan Chardonnet,FRA,DF,28,1994,33.0,1,19,3,15.8,0.58,0.09,0.05,0.33,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Brest,Grégoire Coudert,FRA,GK,24,1999,2.0,0,0,0,,0.0,0.0,,,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Brest,Hianga'a Mbock,FRA,MF,23,1999,0.1,0,1,0,0.0,10.0,0.0,0.0,,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Brest,Hugo Magnetti,FRA,MF,25,1998,26.0,2,36,11,30.6,1.38,0.42,0.06,0.18,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Brest,Jonas Martin,FRA,MF,33,1990,13.4,0,10,3,30.0,0.75,0.22,0.0,0.0,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Brest,Jordan Amavi,FRA,DF,29,1994,1.0,1,1,1,100.0,0.99,0.99,1.0,1.0,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Brest,Julien Le Cardinal,FRA,DF,25,1997,5.3,0,4,2,50.0,0.76,0.38,0.0,0.0,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Brest,Jérémy Le Douaron,FRA,"FW,MF",25,1998,18.0,4,50,21,42.0,2.78,1.17,0.08,0.19,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Brest,Kamory Doumbia,MLI,MF,20,2003,9.8,6,25,11,44.0,2.56,1.13,0.24,0.55,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Brest,Karamoko Dembélé,ENG,"FW,MF",20,2003,0.2,0,0,0,,0.0,0.0,,,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Brest,Kenny Lala,MAD,DF,31,1991,33.0,2,14,7,50.0,0.42,0.21,0.14,0.29,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Brest,Lilian Brassier,FRA,DF,23,1999,29.7,3,12,4,33.3,0.4,0.13,0.25,0.75,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Brest,Luck Zogbé,CIV,DF,18,2005,0.1,0,0,0,,0.0,0.0,,,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Brest,Mahdi Camara,FRA,MF,25,1998,22.4,7,42,15,35.7,1.87,0.67,0.14,0.4,1,1,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
