league,season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,_league_id,_season,_stat_type,_scraped_at
FRA-Ligue 1,2324,Brest,Achraf Dari,MAR,DF,24,1999,1.3,0,0,0,2,1,0,0,5,1,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Brest,Adrien Lebeau,FRA,MF,24,1999,0.6,0,0,0,1,2,0,3,0,0,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Brest,Axel Camblan,FRA,FW,19,2003,1.0,2,0,0,3,1,0,1,0,1,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Brest,Bilal Brahimi,ALG,FW,23,2000,2.5,1,1,0,3,4,2,33,0,0,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Brest,Bradley Locko,FRA,DF,21,2002,32.9,5,0,0,26,41,1,94,36,56,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Brest,Brendan Chardonnet,FRA,DF,28,1994,33.0,4,0,0,35,22,0,12,50,39,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Brest,Grégoire Coudert,FRA,GK,24,1999,2.0,0,0,0,0,0,0,0,0,0,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Brest,Hianga'a Mbock,FRA,MF,23,1999,0.1,0,0,0,0,0,0,0,1,0,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Brest,Hugo Magnetti,FRA,MF,25,1998,26.0,6,0,0,21,18,2,20,18,28,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Brest,Jonas Martin,FRA,MF,33,1990,13.4,5,0,0,27,11,1,8,9,25,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Brest,Jordan Amavi,FRA,DF,29,1994,1.0,1,0,0,2,0,0,1,3,1,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Brest,Julien Le Cardinal,FRA,DF,25,1997,5.3,3,0,0,7,5,0,4,12,11,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Brest,Jérémy Le Douaron,FRA,"FW,MF",25,1998,18.0,3,0,0,28,31,3,39,2,9,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Brest,Kamory Doumbia,MLI,MF,20,2003,9.8,1,0,0,16,10,1,8,10,18,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Brest,Karamoko Dembélé,ENG,"FW,MF",20,2003,0.2,0,0,0,0,1,0,1,0,0,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Brest,Kenny Lala,MAD,DF,31,1991,33.0,7,0,0,24,24,0,143,27,50,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Brest,Lilian Brassier,FRA,DF,23,1999,29.7,11,1,1,33,25,1,5,42,18,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Brest,Luck Zogbé,CIV,DF,18,2005,0.1,0,0,0,0,0,0,0,1,0,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Brest,Mahdi Camara,FRA,MF,25,1998,22.4,7,0,0,36,39,3,46,26,40,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Brest,Marco Bizot,NED,GK,32,1991,32.0,3,1,0,1,0,0,0,0,0,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Brest,Martin Satriano,URU,"FW,MF",22,2001,20.7,4,0,0,19,25,2,10,7,14,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Brest,Mathias Pereira Lage,POR,"MF,FW",26,1996,13.2,3,0,0,19,21,6,67,10,15,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Brest,Pierre Lees-Melou,FRA,MF,30,1993,28.0,12,1,1,47,57,1,34,40,66,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Brest,Romain Del Castillo,FRA,"MF,FW",27,1996,27.7,4,0,0,21,59,3,250,9,29,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Brest,Steve Mounié,BEN,FW,28,1994,19.7,2,1,0,43,25,8,11,2,7,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Clermont Foot,Abdellah Baallal,MAR,MF,18,2004,0.0,0,0,0,0,0,0,0,0,0,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Clermont Foot,Alan Virginius,FRA,"MF,FW",20,2003,10.4,0,0,0,4,6,4,22,3,5,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Clermont Foot,Alidu Seidu,GHA,DF,23,2000,12.6,5,1,0,20,29,0,4,25,26,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Clermont Foot,Andy Pelmard,MAD,DF,23,2000,33.2,1,0,0,13,18,0,6,34,41,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Clermont Foot,Aïman Maurer,MAR,MF,18,2004,0.6,0,0,0,0,0,0,4,0,1,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Clermont Foot,Bilal Boutobba,FRA,"MF,FW",24,1998,10.3,1,0,0,7,26,2,57,8,13,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Clermont Foot,Cheick Konaté,MLI,"MF,DF",19,2004,11.9,4,0,0,17,14,0,45,13,16,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
