league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,_league_id,_season,_stat_type,_scraped_at
FRA-Ligue 1,2425,Angers,Abdoulaye Bamba,CIV,DF,34,1990,19,16,1510,16.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Angers,Bamba Dieng,SEN,FW,24,2000,18,5,532,5.9,3,0,3,2,1,1,1,0,0.51,0.0,0.51,0.34,0.34,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Angers,Carlens Arcus,HAI,DF,28,1996,28,25,2047,22.7,0,1,1,0,0,0,3,0,0.0,0.04,0.04,0.0,0.04,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Angers,Cédric Hountondji,BEN,DF,30,1994,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Angers,Emmanuel Biumla,FRA,DF,19,2005,17,15,1336,14.8,1,0,1,1,0,0,2,0,0.07,0.0,0.07,0.07,0.07,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Angers,Enzo Caumont,FRA,MF,20,2004,2,0,34,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Angers,Esteban Lepaul,FRA,FW,24,2000,28,18,1629,18.1,9,0,9,9,0,0,2,0,0.5,0.0,0.5,0.5,0.5,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Angers,Farid El Melali,ALG,"MF,FW",27,1997,32,22,1893,21.0,2,3,5,2,0,0,1,0,0.1,0.14,0.24,0.1,0.24,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Angers,Florent Hanin,ALG,DF,34,1990,33,31,2672,29.7,1,2,3,1,0,0,2,0,0.03,0.07,0.1,0.03,0.1,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Angers,Haris Belkebla,ALG,MF,30,1994,22,21,1792,19.9,0,1,1,0,0,0,1,0,0.0,0.05,0.05,0.0,0.05,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
