league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,_league_id,_season,_stat_type,_scraped_at
ESP-La Liga,2526,Alavés,Abde Rebbach,ALG,"MF,DF",26,1998,30,15,1496,16.6,1,4,5,1,0,0,8,0,0.06,0.24,0.3,0.06,0.3,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Alavés,Aitor Mañas,ESP,FW,22,2003,9,0,122,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Alavés,Ander Guevara,ESP,MF,28,1997,25,2,654,7.3,1,1,2,1,0,0,4,1,0.14,0.14,0.28,0.14,0.28,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Alavés,Antonio Blanco,ESP,MF,25,2000,36,36,3110,34.6,2,3,5,2,0,0,9,0,0.06,0.09,0.14,0.06,0.14,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Alavés,Antonio Sivera,ESP,GK,28,1996,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Alavés,Calebe,BRA,MF,25,2000,19,13,752,8.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Alavés,Carles Aleñá,ESP,MF,27,1998,34,23,1989,22.1,0,4,4,0,0,0,5,0,0.0,0.18,0.18,0.0,0.18,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Alavés,Carlos Ballestero,ESP,DF,21,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Alavés,Carlos Benavídez,URU,DF,27,1998,13,3,324,3.6,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Alavés,Carlos Vicente,ESP,MF,26,1999,21,11,1258,14.0,5,0,5,2,3,3,1,0,0.36,0.0,0.36,0.14,0.14,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Alavés,Denis Suárez,ESP,MF,31,1994,30,15,1406,15.6,1,2,3,1,0,0,6,0,0.06,0.13,0.19,0.06,0.19,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Alavés,Diego Morcillo,ESP,FW,22,2003,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Alavés,Facundo Garcés,MAS,DF,25,1999,10,8,793,8.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Alavés,Ibrahim Diabaté,CIV,FW,25,1999,10,6,578,6.4,2,0,2,2,0,0,1,0,0.31,0.0,0.31,0.31,0.31,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Alavés,Jon Guridi,ESP,"MF,FW",30,1995,28,15,1238,13.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Alavés,Jon Pacheco,ESP,DF,24,2001,22,20,1735,19.3,0,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
