league,season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,_league_id,_season,_stat_type,_scraped_at
ESP-La Liga,2526,Alavés,Abde Rebbach,ALG,"MF,DF",26,1998,16.6,8,0,0,40,30,5,109,16,21,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Alavés,Aitor Mañas,ESP,FW,22,2003,1.4,0,0,0,2,1,0,0,1,2,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Alavés,Ander Guevara,ESP,MF,28,1997,7.3,4,1,1,11,5,0,6,9,8,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Alavés,Antonio Blanco,ESP,MF,25,2000,34.6,9,0,0,71,43,2,30,51,49,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Alavés,Antonio Sivera,ESP,GK,28,1996,38.0,3,0,0,1,1,0,0,0,1,,,1,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Alavés,Calebe,BRA,MF,25,2000,8.4,2,0,0,18,19,0,16,9,14,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Alavés,Carles Aleñá,ESP,MF,27,1998,22.1,5,0,0,38,36,1,121,12,24,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Alavés,Carlos Ballestero,ESP,DF,21,2004,0.0,0,0,0,0,0,0,0,0,0,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Alavés,Carlos Benavídez,URU,DF,27,1998,3.6,2,1,1,8,2,0,1,3,6,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Alavés,Carlos Vicente,ESP,MF,26,1999,14.0,1,0,0,12,42,10,128,7,18,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Alavés,Denis Suárez,ESP,MF,31,1994,15.6,6,0,0,20,26,0,41,7,12,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Alavés,Diego Morcillo,ESP,FW,22,2003,0.1,0,0,0,1,1,0,1,0,0,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Alavés,Facundo Garcés,MAS,DF,25,1999,8.8,3,0,0,13,3,2,1,7,8,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Alavés,Ibrahim Diabaté,CIV,FW,25,1999,6.4,1,0,0,6,5,3,0,2,1,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Alavés,Jon Guridi,ESP,"MF,FW",30,1995,13.8,1,0,0,15,8,2,12,10,19,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Alavés,Jon Pacheco,ESP,DF,24,2001,19.3,5,1,1,14,7,1,4,11,16,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Alavés,Jonny Castro,ESP,DF,31,1994,33.3,7,0,0,37,30,1,23,40,41,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Alavés,Lander Pinillos,ESP,MF,21,2003,0.0,0,0,0,0,0,0,1,0,0,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Alavés,Lucas Boyé,ARG,FW,29,1996,21.8,4,1,1,58,39,10,10,7,25,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Alavés,Mariano,DOM,FW,31,1993,3.2,1,0,0,13,0,6,3,0,1,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Alavés,Moussa Diarra,MLI,DF,24,2000,2.4,1,0,0,4,1,0,1,1,2,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Alavés,Nahuel Tenaglia,ARG,DF,29,1996,36.0,3,0,0,31,42,5,17,47,43,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Alavés,Pablo Ibáñez,ESP,MF,26,1998,24.8,7,0,0,38,66,3,38,21,37,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Alavés,Toni Martínez,ESP,FW,28,1997,30.2,2,0,0,46,37,13,14,4,15,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Alavés,Victor Parada,ESP,DF,23,2002,23.8,9,1,1,29,15,4,31,9,14,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Alavés,Ville Koski,FIN,DF,23,2002,3.1,0,0,0,2,0,0,0,4,3,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Alavés,Youssef Lekhedim,ESP,"DF,MF",19,2005,14.8,7,0,0,24,13,0,61,12,10,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Alavés,Ángel Pérez,ESP,"MF,DF",22,2002,14.3,4,0,0,16,17,6,85,9,13,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Athletic Club,Adama Boiro,ESP,DF,23,2002,9.1,1,0,0,6,11,0,24,18,11,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Athletic Club,Aitor Paredes,ESP,DF,25,2000,18.1,4,0,0,19,7,0,1,26,12,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Athletic Club,Alejandro Rego,ESP,MF,22,2003,14.2,6,0,0,40,6,0,6,21,20,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Athletic Club,Alex Padilla,ESP,GK,21,2003,1.0,0,1,0,0,0,0,0,0,0,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Athletic Club,Andoni Gorosabel,ESP,DF,28,1996,15.1,3,0,0,13,12,0,55,18,24,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Athletic Club,Asier Hierro,ESP,FW,20,2005,0.4,0,0,0,0,0,0,0,0,0,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Athletic Club,Aymeric Laporte,ESP,DF,31,1994,22.9,4,0,0,9,13,1,2,27,17,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Athletic Club,Beñat Prados,ESP,MF,24,2001,0.9,1,0,0,5,0,0,0,2,2,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Athletic Club,Daniel Vivian,ESP,DF,26,1999,28.5,8,1,0,38,17,1,11,34,38,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Athletic Club,Eder García,ESP,FW,21,2004,0.4,1,0,0,2,0,0,0,0,0,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Athletic Club,Gorka Guruzeta,ESP,FW,28,1996,26.3,6,1,1,49,30,11,7,11,6,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Athletic Club,Iñaki Williams,GHA,"MF,FW",31,1994,24.0,2,0,0,28,23,10,67,8,9,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Athletic Club,Iñigo Lekue,ESP,DF,32,1993,6.7,2,2,0,12,0,0,19,4,10,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Athletic Club,Iñigo Ruiz de Galarreta,ESP,MF,31,1993,24.5,10,0,0,54,41,0,62,24,32,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Athletic Club,Jesús Areso,ESP,DF,26,1999,16.7,3,0,0,19,7,1,86,20,16,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Athletic Club,Maroan Sannadi,MAR,FW,24,2001,3.2,2,0,0,8,5,3,2,1,1,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Athletic Club,Mikel Jauregizar,ESP,MF,21,2003,31.5,6,1,1,49,34,0,72,48,45,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Athletic Club,Mikel Vesga,ESP,MF,32,1993,5.2,0,0,0,8,7,0,4,9,10,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Athletic Club,Nico Williams,ESP,MF,23,2002,18.6,2,0,0,26,29,7,76,7,9,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Athletic Club,Nicolás Serrano,ESP,MF,22,2003,4.1,0,0,0,10,8,0,42,2,5,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Athletic Club,Oihan Sancet,ESP,MF,25,2000,19.9,4,1,0,28,28,0,23,3,14,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
