league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,_league_id,_season,_stat_type,_scraped_at
ITA-Serie A,2526,Atalanta,Ademola Lookman,NGA,"FW,MF",27,1997,12,9,795,8.8,2,0,2,2,0,0,0,0,0.23,0.0,0.23,0.23,0.23,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Atalanta,Berat Djimsiti,ALB,DF,32,1993,34,29,2525,28.1,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Atalanta,Charles De Ketelaere,BEL,"MF,FW",24,2001,31,26,2177,24.2,3,5,8,3,0,0,4,0,0.12,0.21,0.33,0.12,0.33,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Atalanta,Daniel Maldini,ITA,MF,23,2001,9,3,264,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Atalanta,Davide Zappacosta,ITA,MF,33,1992,35,30,2569,28.5,3,3,6,3,0,0,3,0,0.11,0.11,0.21,0.11,0.21,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Atalanta,Dominic Vavassori,ITA,FW,19,2005,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Atalanta,Giacomo Raspadori,ITA,"MF,FW",25,2000,13,7,796,8.8,3,1,4,3,0,0,0,0,0.34,0.11,0.45,0.34,0.45,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Atalanta,Gianluca Scamacca,ITA,FW,26,1999,24,16,1315,14.6,10,1,11,8,2,2,2,0,0.68,0.07,0.75,0.55,0.62,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Atalanta,Giorgio Scalvini,ITA,DF,21,2003,24,23,1808,20.1,3,1,4,3,0,0,2,0,0.15,0.05,0.2,0.15,0.2,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Atalanta,Honest Ahanor,ITA,DF,17,2008,22,15,1377,15.3,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
