league,season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,_league_id,_season,_stat_type,_scraped_at
ITA-Serie A,2526,Atalanta,Ademola Lookman,NGA,"FW,MF",27,1997,8.8,0,0,0,10,8,4,21,3,3,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Atalanta,Berat Djimsiti,ALB,DF,32,1993,28.1,4,0,0,17,8,0,2,42,30,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Atalanta,Charles De Ketelaere,BEL,"MF,FW",24,2001,24.2,4,0,0,23,36,3,46,5,15,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Atalanta,Daniel Maldini,ITA,MF,23,2001,2.9,1,0,0,4,7,0,10,0,2,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Atalanta,Davide Zappacosta,ITA,MF,33,1992,28.5,3,0,0,18,8,7,107,18,14,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Atalanta,Dominic Vavassori,ITA,FW,19,2005,0.1,0,0,0,1,1,0,0,0,0,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Atalanta,Giacomo Raspadori,ITA,"MF,FW",25,2000,8.8,0,0,0,7,6,1,44,1,3,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Atalanta,Gianluca Scamacca,ITA,FW,26,1999,14.6,2,0,0,26,19,8,0,3,5,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Atalanta,Giorgio Scalvini,ITA,DF,21,2003,20.1,2,0,0,31,10,2,5,38,23,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Atalanta,Honest Ahanor,ITA,DF,17,2008,15.3,2,1,0,24,28,0,2,24,20,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Atalanta,Isak Hien,SWE,DF,26,1999,21.9,5,0,0,36,21,0,0,29,34,,,1,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Atalanta,Kamaldeen Sulemana,GHA,MF,23,2002,11.2,4,0,0,14,14,5,22,2,5,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Atalanta,Lazar Samardzic,SRB,MF,23,2002,11.4,1,0,0,17,10,1,68,10,8,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Atalanta,Lorenzo Bernasconi,ITA,MF,21,2003,17.5,3,0,0,8,5,3,113,14,16,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Atalanta,Marco Brescianini,ITA,MF,25,2000,2.0,1,0,0,4,2,0,6,2,8,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Atalanta,Marco Carnesecchi,ITA,GK,25,2000,37.0,0,0,0,1,6,0,1,0,0,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Atalanta,Marco Sportiello,ITA,GK,33,1992,1.0,0,0,0,0,0,0,0,0,0,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Atalanta,Mario Pašalić,CRO,MF,30,1995,21.5,3,0,0,22,6,1,11,13,18,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Atalanta,Marten de Roon,NED,MF,34,1991,29.9,8,1,1,37,11,0,13,26,44,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Atalanta,Mitchel Bakker,NED,"DF,MF",25,2000,0.1,0,0,0,0,0,0,0,0,0,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Atalanta,Nicola Zalewski,POL,MF,23,2002,21.1,3,0,0,21,51,3,124,16,20,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Atalanta,Nikola Krstović,MNE,FW,25,2000,19.9,4,0,0,45,27,27,5,3,12,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Atalanta,Odilon Kossounou,CIV,DF,24,2001,11.0,1,0,0,16,3,1,2,10,14,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Atalanta,Raoul Bellanova,ITA,MF,25,2000,15.3,2,0,0,5,12,2,84,10,9,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Atalanta,Sead Kolašinac,BIH,DF,32,1993,13.5,3,0,0,22,10,1,3,11,18,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Atalanta,Yunus Musah,USA,MF,22,2002,6.4,1,0,0,7,16,2,10,5,5,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Atalanta,Éderson Silva,BRA,MF,26,1999,24.8,3,0,0,34,40,2,12,28,35,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Bologna,Babis Lykogiannis,GRE,DF,31,1993,7.0,3,0,0,8,1,0,45,6,10,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Bologna,Benjamín Domínguez,ARG,MF,21,2003,6.1,1,0,0,6,18,3,7,2,2,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Bologna,Ciro Immobile,ITA,FW,35,1990,2.1,1,0,0,8,3,5,3,0,0,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Bologna,Eivind Helland,NOR,DF,20,2005,5.4,2,0,0,5,1,0,0,7,5,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Bologna,Emil Holm,SWE,DF,25,2000,7.3,3,1,1,11,14,0,23,7,13,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Bologna,Federico Bernardeschi,ITA,"MF,FW",31,1994,13.5,3,0,0,13,11,2,48,6,6,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Bologna,Federico Ravaglia,ITA,GK,25,1999,16.3,4,0,0,2,3,0,0,0,1,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Bologna,Giovanni Fabbian,ITA,MF,22,2003,7.8,0,0,0,13,18,2,2,5,4,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Bologna,Ibrahim Sulemana,GHA,MF,22,2003,0.5,1,0,0,1,0,0,0,0,0,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Bologna,Jens Odgaard,DEN,MF,26,1999,15.3,1,0,0,28,28,5,15,4,12,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Bologna,Jhon Lucumí,COL,DF,27,1998,25.4,5,0,0,23,19,1,1,30,22,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Bologna,Jonathan Rowe,ENG,"MF,FW",22,2003,17.8,2,0,0,23,50,4,53,9,14,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Bologna,João Mário Lopes,POR,"DF,MF",25,2000,8.2,1,0,0,5,21,0,15,10,4,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Bologna,Juan Miranda,ESP,DF,25,2000,28.6,6,0,0,25,35,3,171,33,31,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Bologna,Lewis Ferguson,SCO,MF,25,1999,17.8,7,1,1,34,26,3,25,12,16,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Bologna,Lorenzo De Silvestri,ITA,DF,37,1988,5.5,2,0,0,9,3,0,7,7,1,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Bologna,Martin Vitík,CZE,DF,22,2003,14.7,3,0,0,23,4,0,2,8,22,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Bologna,Massimo Pessina,ITA,GK,17,2007,3.9,0,0,0,0,1,0,0,0,0,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Bologna,Nadir Zortea,ITA,DF,26,1999,20.2,2,0,0,28,17,1,67,20,17,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Bologna,Nicolò Cambiaghi,ITA,"MF,FW",24,2000,16.9,3,1,0,32,71,5,63,9,20,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Bologna,Nicolò Casale,ITA,DF,27,1998,7.5,0,0,0,15,5,0,2,7,2,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Bologna,Nikola Moro,CRO,MF,27,1998,20.0,1,0,0,18,17,1,49,19,8,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Bologna,Remo Freuler,SUI,MF,33,1992,24.6,5,0,0,19,24,1,18,22,31,,,1,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Bologna,Riccardo Orsolini,ITA,"MF,FW",28,1997,23.5,2,0,0,21,44,18,41,7,15,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Bologna,Santiago Castro,ARG,FW,20,2004,26.2,3,0,0,35,50,12,4,1,8,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Bologna,Simon Sohm,SUI,MF,24,2001,8.0,1,0,0,9,3,3,2,3,5,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Bologna,Thijs Dallinga,NED,FW,24,2000,9.0,2,0,0,20,9,4,5,1,4,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Bologna,Tommaso Pobega,ITA,MF,26,1999,15.9,2,1,0,34,12,0,2,19,19,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Bologna,Torbjørn Heggem,NOR,DF,26,1999,23.5,0,1,0,31,12,0,1,25,19,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Bologna,Łukasz Skorupski,POL,GK,34,1991,17.7,1,1,0,1,8,0,0,0,0,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cagliari,Adam Obert,SVK,"DF,MF",22,2002,30.8,10,1,1,40,13,0,69,44,32,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cagliari,Agustín Albarracín,URU,FW,19,2005,0.4,0,0,0,0,3,0,2,0,0,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cagliari,Alberto Dossena,ITA,DF,26,1998,9.5,5,0,0,11,8,2,0,9,13,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cagliari,Alessandro Deiola,ITA,"MF,DF",29,1995,15.9,3,0,0,22,11,7,2,13,20,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cagliari,Alessandro Di Pardo,ITA,"DF,MF",26,1999,0.6,0,0,0,0,1,0,0,0,1,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cagliari,Andrea Belotti,ITA,FW,31,1993,2.5,0,0,0,3,10,4,1,4,1,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cagliari,Elia Caprile,ITA,GK,23,2001,38.0,2,0,0,0,8,0,0,0,0,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cagliari,Gabriele Zappa,ITA,"DF,MF",25,1999,17.7,2,0,0,13,5,0,37,18,17,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cagliari,Gennaro Borrelli,ITA,FW,25,2000,14.2,4,0,0,43,49,5,2,3,6,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cagliari,Gianluca Gaetano,ITA,"MF,FW",25,2000,21.2,4,0,0,26,29,0,38,23,15,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cagliari,Ibrahim Sulemana,GHA,MF,22,2003,9.6,2,0,0,12,10,0,2,6,13,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cagliari,Joseph Liteta,ZAM,MF,19,2006,2.9,0,0,0,4,0,0,0,8,2,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cagliari,Juan Rodríguez,URU,DF,20,2005,14.6,3,0,0,15,8,0,5,17,27,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cagliari,Leonardo Pavoletti,ITA,FW,36,1988,2.5,1,0,0,10,0,2,0,1,2,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cagliari,Luca Mazzitelli,ITA,MF,29,1995,8.5,3,0,0,22,13,0,9,10,11,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cagliari,Marco Palestra,ITA,"MF,DF",20,2005,34.2,3,0,0,41,108,8,106,19,35,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cagliari,Matteo Prati,ITA,MF,21,2003,14.1,4,0,0,17,3,0,13,15,12,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cagliari,Mattia Felici,ITA,MF,24,2001,4.6,3,0,0,10,6,0,23,5,6,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cagliari,Michael Folorunsho,ITA,"MF,FW",27,1998,22.2,3,0,0,35,49,13,22,10,10,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cagliari,Michel Ndary Adopo,FRA,MF,25,2000,33.9,4,0,0,35,25,5,26,31,32,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cagliari,Nicolò Cavuoti,ITA,MF,22,2003,0.5,0,0,0,1,1,0,0,0,0,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cagliari,Othniel Raterink,NED,DF,19,2006,0.1,0,0,0,0,0,0,0,0,0,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cagliari,Paul Mendy,SEN,FW,18,2007,3.7,1,0,0,12,4,2,2,1,0,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cagliari,Riyad Idrissi,ITA,"MF,DF",20,2005,8.7,3,0,0,9,6,1,23,9,15,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cagliari,Sebastiano Esposito,ITA,"FW,MF",23,2002,29.7,6,0,0,46,56,5,139,21,35,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cagliari,Sebastiano Luperto,ITA,DF,28,1996,19.0,3,0,0,23,17,0,1,19,12,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cagliari,Semih Kılıçsoy,TUR,FW,19,2005,10.8,1,0,0,14,15,2,1,1,4,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cagliari,Yael Trepy,,FW,,,1.0,0,0,0,1,2,2,7,0,1,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cagliari,Yerry Mina,COL,DF,30,1994,23.9,5,1,1,26,37,3,1,26,18,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cagliari,Zito Luvumbo,ANG,"MF,FW",23,2002,3.7,0,0,0,4,18,0,7,1,1,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cagliari,Zé Pedro Figueiredo,POR,DF,28,1997,18.9,6,0,0,29,15,0,5,20,18,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Como,Alberto Moreno,ESP,DF,33,1992,13.7,4,0,0,17,12,3,34,7,12,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Como,Anastasios Douvikas,GRE,FW,25,1999,25.3,0,0,0,36,42,7,4,4,10,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Como,Andréa Le Borgne,FRA,MF,19,2006,0.0,0,0,0,0,0,0,0,0,0,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Como,Assane Diao,SEN,MF,19,2005,11.9,2,0,0,15,39,3,27,4,5,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Como,Diego Carlos,BRA,DF,32,1993,21.7,8,0,0,39,7,2,2,22,18,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Como,Edoardo Goldaniga,ITA,DF,31,1993,0.2,0,0,0,0,0,0,0,0,0,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Como,Ignace Van Der Brempt,BEL,DF,23,2002,10.3,2,0,0,19,15,1,11,8,14,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Como,Ivan Smolčić,CRO,DF,24,2000,18.5,8,0,0,26,17,0,29,23,24,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Como,Jacobo Ramón,ESP,DF,20,2005,30.5,11,1,0,33,12,0,11,38,32,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Como,Jayden Addai,NED,MF,19,2005,7.6,4,0,0,13,14,2,10,2,2,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Como,Jean Butez,FRA,GK,30,1995,38.0,3,0,0,0,9,0,0,0,2,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Como,Jesus Rodríguez,ESP,MF,19,2005,19.2,3,1,0,24,32,3,57,4,17,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Como,Lucas Da Cunha,FRA,MF,24,2001,30.4,4,0,0,34,19,1,99,18,33,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Como,Marc-Oliver Kempf,GER,DF,30,1995,25.8,3,0,0,26,19,0,0,13,12,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Como,Martin Baturina,CRO,"MF,FW",22,2003,17.4,0,0,0,15,44,0,77,5,14,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Como,Maxence Caqueret,FRA,MF,25,2000,16.5,3,0,0,26,23,2,36,14,23,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Como,Máximo Perrone,ARG,MF,22,2003,30.5,8,0,0,43,23,1,11,21,38,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Como,Mërgim Vojvoda,KVX,"MF,DF",30,1995,17.7,2,0,0,15,12,5,66,14,4,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Como,Nicolas-Gerrit Kühn,GER,MF,25,2000,7.4,0,0,0,6,2,3,14,5,6,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Como,Nicolás Paz,ARG,MF,20,2004,32.0,5,0,0,54,41,0,63,27,56,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Como,Sergi Roberto,ESP,MF,33,1992,6.0,3,0,0,9,9,0,2,5,7,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Como,Stefan Posch,AUT,DF,28,1997,4.4,1,0,0,9,6,0,10,4,3,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Como,Álex Valle,ESP,DF,21,2004,22.5,3,0,0,34,19,1,45,24,31,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Como,Álvaro Morata,ESP,FW,32,1992,10.3,4,1,1,16,33,9,9,1,11,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cremonese,Alberto Grassi,ITA,MF,30,1995,19.5,4,1,0,17,30,0,3,35,11,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cremonese,Alessio Zerbin,ITA,MF,26,1999,18.3,1,0,0,37,20,7,58,3,20,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cremonese,Antonio Sanabria,PAR,FW,29,1996,10.5,2,0,0,15,15,6,2,1,2,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cremonese,Dachi Lordkipanidze,GEO,MF,20,2005,0.3,0,0,0,0,0,0,0,0,0,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cremonese,David Okereke,NGA,"FW,MF",27,1997,4.5,0,1,0,1,4,2,5,1,0,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cremonese,Dennis Johnsen,NOR,"MF,FW",27,1998,4.3,0,0,0,2,4,1,12,0,2,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cremonese,Emil Audero,IDN,GK,28,1997,34.0,0,0,0,0,6,0,0,0,0,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cremonese,Faris Pemi Moumbagna,CMR,FW,25,2000,1.0,0,0,0,1,0,0,1,0,0,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cremonese,Federico Baschirotto,ITA,DF,28,1996,28.2,2,0,0,45,9,1,8,24,13,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cremonese,Federico Bonazzoli,ITA,FW,28,1997,27.9,4,0,0,26,80,4,26,12,16,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
