tournament_id,season_id,player_name,player_id,team_name,team_id,goals,assists,rating,expectedGoals,expectedAssists,totalShots,shotsOnTarget,keyPasses,successfulDribbles,tackles,yellowCards,redCards,minutesPlayed,appearances,_metric_order,_league_id,_season,_source,_scraped_at
8,52376,Jude Bellingham,991011,Real Madrid,2829,19,6,8.05,11.12,4.31,63,35,48,50,42,5,1,2324,28,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Thibaut Courtois,70988,Real Madrid,2829,0,0,8.0,,0.02,0,0,1,0,1,0,0,333,4,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Dominik Greif,791046,Mallorca,2826,0,0,7.8,,0.01,0,0,0,0,0,0,0,90,1,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Toni Kroos,26502,Real Madrid,2829,1,8,7.63,1.62,5.93,35,13,63,5,53,3,0,2135,33,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Iago Aspas,19356,Celta Vigo,2821,9,10,7.54,11.47,9.31,79,28,91,29,11,6,1,2715,35,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Isco,103417,Real Betis,2816,8,5,7.52,8.3,6.36,64,26,81,76,41,10,0,2338,29,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,İlkay Gündoğan,45853,FC Barcelona,2817,5,9,7.48,7.3,9.89,43,17,97,34,31,5,0,2997,36,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Aleix García,796047,Girona FC,24264,3,6,7.48,1.78,6.04,39,12,59,15,49,4,1,3201,37,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Ivan Rakitić,7635,Sevilla,2833,2,1,7.46,1.28,4.09,32,8,49,8,30,6,0,1425,18,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Antoine Griezmann,85859,Atlético Madrid,2836,16,6,7.45,12.44,5.81,79,34,43,22,33,5,0,2654,33,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Frenkie de Jong,795222,FC Barcelona,2817,2,0,7.45,0.7,4.88,7,4,22,13,43,7,0,1637,20,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Takefusa Kubo,880218,Real Sociedad,2824,7,4,7.41,3.54,6.49,46,21,59,55,26,2,0,2155,30,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Federico Valverde,831808,Real Madrid,2829,2,7,7.38,3.52,3.41,56,19,49,22,47,2,0,2910,37,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Luka Modrić,15466,Real Madrid,2829,2,6,7.35,1.31,4.83,25,10,57,21,22,2,0,1685,32,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Gerard Moreno,146866,Villarreal,2819,10,6,7.35,9.68,4.62,63,21,55,43,25,0,0,2229,30,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Sergio Ramos,10710,Sevilla,2833,3,0,7.34,1.89,0.39,28,11,4,6,45,7,1,2518,28,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Lamine Yamal,1402912,FC Barcelona,2817,5,5,7.34,5.22,6.52,58,21,38,70,61,3,0,2197,37,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Vinícius Júnior,868812,Real Madrid,2829,15,5,7.33,13.11,4.38,78,39,32,65,18,7,0,1872,26,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Iñaki Williams,783374,Athletic Club,2825,12,3,7.32,9.44,5.76,93,43,44,49,24,4,0,2855,34,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Rodrygo,910536,Real Madrid,2829,10,5,7.31,11.74,4.19,87,36,46,60,16,2,0,2388,34,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Iván Cuéllar,19013,Mallorca,2826,0,0,7.3,,0.0,0,0,0,0,0,0,0,90,1,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Antal Yaakobishvili,1471513,Girona FC,24264,0,0,7.3,0.0,0.12,0,0,1,0,2,0,0,60,1,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Savinho,1046795,Girona FC,24264,9,10,7.29,6.06,9.88,45,20,54,104,42,5,0,2989,37,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Raphinha,831005,FC Barcelona,2817,6,9,7.28,7.38,4.99,59,22,41,24,14,4,1,1379,28,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Jesús Owono,990659,Deportivo Alavés,2885,0,0,7.28,,0.02,0,0,0,0,0,1,0,360,4,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Arda Güler,1091116,Real Madrid,2829,6,0,7.27,1.44,0.54,15,6,2,11,6,1,0,390,10,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,João Cancelo,138892,FC Barcelona,2817,2,4,7.25,1.63,6.75,32,10,35,60,64,7,0,2506,32,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Alex Baena,910031,Villarreal,2819,2,14,7.25,8.07,9.54,73,26,86,26,34,11,1,2599,34,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
