tournament_id,season_id,player_name,player_id,team_name,team_id,goals,assists,rating,expectedGoals,expectedAssists,totalShots,shotsOnTarget,keyPasses,successfulDribbles,tackles,yellowCards,redCards,minutesPlayed,appearances,_metric_order,_league_id,_season,_source,_scraped_at
35,52608,Harry Kane,108579,FC Bayern München,2672,36,8,7.76,30.63,5.87,146,67,31,24,13,2,0,2843,32,rating,GER,2023-2024,datafc_sofascore,2026-08-09T01:12:17.161358
35,52608,Alejandro Grimaldo,177177,Bayer 04 Leverkusen,2681,10,13,7.75,5.66,11.15,71,23,79,20,45,1,0,2785,33,rating,GER,2023-2024,datafc_sofascore,2026-08-09T01:12:17.161358
35,52608,Serhou Guirassy,328027,VfB Stuttgart,2677,28,2,7.72,20.84,5.42,92,45,53,16,6,0,0,2212,28,rating,GER,2023-2024,datafc_sofascore,2026-08-09T01:12:17.161358
35,52608,Xavi Simons,997183,RB Leipzig,36360,8,11,7.7,8.26,9.03,81,33,79,84,30,9,1,2673,32,rating,GER,2023-2024,datafc_sofascore,2026-08-09T01:12:17.161358
35,52608,Deniz Undav,794298,VfB Stuttgart,2677,18,9,7.65,15.05,6.13,107,53,41,27,28,5,0,2102,30,rating,GER,2023-2024,datafc_sofascore,2026-08-09T01:12:17.161358
35,52608,Leroy Sané,293519,FC Bayern München,2672,8,11,7.65,10.94,9.52,73,28,73,93,15,4,0,2142,27,rating,GER,2023-2024,datafc_sofascore,2026-08-09T01:12:17.161358
35,52608,Florian Wirtz,1019322,Bayer 04 Leverkusen,2681,11,11,7.63,9.0,9.75,71,34,75,79,27,3,0,2377,32,rating,GER,2023-2024,datafc_sofascore,2026-08-09T01:12:17.161358
35,52608,Exequiel Palacios,822600,Bayer 04 Leverkusen,2681,4,5,7.6,3.33,4.13,21,7,28,23,60,6,0,1840,24,rating,GER,2023-2024,datafc_sofascore,2026-08-09T01:12:17.161358
35,52608,Kevin Stöger,95381,VfL Bochum 1848,2542,7,9,7.6,6.23,9.79,75,18,127,25,49,8,0,2678,32,rating,GER,2023-2024,datafc_sofascore,2026-08-09T01:12:17.161358
35,52608,Fabian Bredlow,152463,VfB Stuttgart,2677,0,0,7.6,,0.0,0,0,0,0,0,0,0,360,4,rating,GER,2023-2024,datafc_sofascore,2026-08-09T01:12:17.161358
35,52608,Andrej Kramarić,67647,TSG Hoffenheim,2569,15,6,7.55,11.09,7.0,69,34,79,25,11,4,0,2206,30,rating,GER,2023-2024,datafc_sofascore,2026-08-09T01:12:17.161358
35,52608,Miloš Pantović,352610,1. FC Union Berlin,2547,1,0,7.5,0.76,0.0,1,1,0,1,0,0,0,14,1,rating,GER,2023-2024,datafc_sofascore,2026-08-09T01:12:17.161358
35,52608,Matěj Kovář,927366,Bayer 04 Leverkusen,2681,0,0,7.5,,0.0,0,0,0,0,0,0,0,90,1,rating,GER,2023-2024,datafc_sofascore,2026-08-09T01:12:17.161358
35,52608,Granit Xhaka,117777,Bayer 04 Leverkusen,2681,3,0,7.49,1.81,5.85,45,14,44,16,29,5,0,2828,33,rating,GER,2023-2024,datafc_sofascore,2026-08-09T01:12:17.161358
35,52608,Jamal Musiala,1010231,FC Bayern München,2672,10,6,7.49,7.9,5.84,58,21,42,87,40,2,0,1766,24,rating,GER,2023-2024,datafc_sofascore,2026-08-09T01:12:17.161358
35,52608,Jonas Hofmann,142390,Bayer 04 Leverkusen,2681,5,7,7.47,5.94,8.34,60,25,81,18,20,3,0,2214,32,rating,GER,2023-2024,datafc_sofascore,2026-08-09T01:12:17.161358
