tournament_id,season_id,player_name,player_id,team_name,team_id,goals,assists,rating,expectedGoals,expectedAssists,totalShots,shotsOnTarget,keyPasses,successfulDribbles,tackles,yellowCards,redCards,minutesPlayed,appearances,_metric_order,_league_id,_season,_source,_scraped_at
23,63515,Juan Musso,263651,Atalanta,2686,0,0,7.6,,0.0,0,0,0,0,0,0,0,90,1,rating,ITA,2024-2025,datafc_sofascore,2026-08-09T01:18:49.652086
23,63515,Bremer,885197,Juventus,2687,0,0,7.57,0.13,0.06,3,0,0,3,15,1,0,540,6,rating,ITA,2024-2025,datafc_sofascore,2026-08-09T01:18:49.652086
23,63515,Daniele Padelli,2899,Udinese,2695,0,0,7.5,,0.0,0,0,0,0,0,0,0,90,1,rating,ITA,2024-2025,datafc_sofascore,2026-08-09T01:18:49.652086
23,63515,Benjamin Siegrist,137773,Genoa,2713,0,0,7.45,,0.0,0,0,0,0,0,0,0,153,2,rating,ITA,2024-2025,datafc_sofascore,2026-08-09T01:18:49.652086
23,63515,Hakan Çalhanoğlu,135700,Inter,2697,5,6,7.41,4.4,5.6,46,15,50,3,43,5,0,1961,29,rating,ITA,2024-2025,datafc_sofascore,2026-08-09T01:18:49.652086
23,63515,Paulo Dybala,256219,AS Roma,2702,6,3,7.39,6.34,5.17,50,19,40,11,17,2,0,1420,24,rating,ITA,2024-2025,datafc_sofascore,2026-08-09T01:18:49.652086
23,63515,Rui Patrício,17737,Atalanta,2686,0,0,7.37,,0.0,0,0,0,0,0,0,0,270,3,rating,ITA,2024-2025,datafc_sofascore,2026-08-09T01:18:49.652086
23,63515,Mattia Zaccagni,293581,Lazio,2699,8,6,7.34,6.29,4.05,48,17,55,44,38,10,0,2705,34,rating,ITA,2024-2025,datafc_sofascore,2026-08-09T01:18:49.652086
23,63515,Mateo Retegui,914501,Atalanta,2686,25,8,7.33,19.24,2.21,104,38,38,12,14,2,0,2402,36,rating,ITA,2024-2025,datafc_sofascore,2026-08-09T01:18:49.652086
23,63515,Ademola Lookman,824200,Atalanta,2686,15,5,7.32,10.37,7.89,82,35,63,37,32,4,0,2263,31,rating,ITA,2024-2025,datafc_sofascore,2026-08-09T01:18:49.652086
23,63515,Vanja Milinković-Savić,356160,Torino,2696,0,0,7.31,,0.26,0,0,3,0,1,3,0,3330,37,rating,ITA,2024-2025,datafc_sofascore,2026-08-09T01:18:49.652086
23,63515,Marcus Thuram,791702,Inter,2697,14,4,7.3,10.06,4.08,65,27,40,24,18,1,0,2298,32,rating,ITA,2024-2025,datafc_sofascore,2026-08-09T01:18:49.652086
23,63515,Christian Pulišić,817957,AC Milan,2692,11,9,7.28,11.96,6.26,57,24,69,39,43,1,0,2489,34,rating,ITA,2024-2025,datafc_sofascore,2026-08-09T01:18:49.652086
23,63515,Filip Stanković,986355,Venezia,2688,0,0,7.28,,0.01,0,0,0,0,0,1,0,1368,16,rating,ITA,2024-2025,datafc_sofascore,2026-08-09T01:18:49.652086
23,63515,Scott McTominay,879346,SSC Napoli,2714,12,4,7.27,7.44,1.69,76,33,26,39,43,3,0,2941,34,rating,ITA,2024-2025,datafc_sofascore,2026-08-09T01:18:49.652086
23,63515,Amir Rrahmani,332155,SSC Napoli,2714,1,3,7.27,2.88,0.73,28,4,11,4,39,2,0,3406,38,rating,ITA,2024-2025,datafc_sofascore,2026-08-09T01:18:49.652086
23,63515,Khvicha Kvaratskhelia,889259,SSC Napoli,2714,5,3,7.27,4.14,2.97,50,17,29,19,15,1,0,1187,17,rating,ITA,2024-2025,datafc_sofascore,2026-08-09T01:18:49.652086
23,63515,Josep Martínez,845291,Inter,2697,0,0,7.26,,0.0,0,0,1,0,0,0,0,450,5,rating,ITA,2024-2025,datafc_sofascore,2026-08-09T01:18:49.652086
23,63515,Leandro Paredes,255389,AS Roma,2702,3,1,7.25,2.3,1.55,26,9,21,3,26,4,0,1370,22,rating,ITA,2024-2025,datafc_sofascore,2026-08-09T01:18:49.652086
23,63515,Manuel Locatelli,363860,Juventus,2687,2,2,7.25,1.85,2.73,25,9,29,8,72,9,0,2840,36,rating,ITA,2024-2025,datafc_sofascore,2026-08-09T01:18:49.652086
23,63515,Kenan Yıldız,1149011,Juventus,2687,7,4,7.25,4.23,4.84,61,23,57,59,54,2,1,2408,35,rating,ITA,2024-2025,datafc_sofascore,2026-08-09T01:18:49.652086
23,63515,Riccardo Orsolini,793645,Bologna,2685,15,4,7.25,9.97,2.85,75,28,30,33,16,2,0,1885,30,rating,ITA,2024-2025,datafc_sofascore,2026-08-09T01:18:49.652086
23,63515,Alexis Saelemaekers,901891,AS Roma,2702,7,3,7.25,2.49,2.27,25,12,26,22,34,5,0,1494,23,rating,ITA,2024-2025,datafc_sofascore,2026-08-09T01:18:49.652086
