tournament_id,season_id,player_name,player_id,team_name,team_id,goals,assists,rating,expectedGoals,expectedAssists,totalShots,shotsOnTarget,keyPasses,successfulDribbles,tackles,yellowCards,redCards,minutesPlayed,appearances,_metric_order,_league_id,_season,_source,_scraped_at
238,77806,João Afonso,1961855,Santa Clara,3011,0,0,7.65,,0.0,0,0,0,0,0,0,0,180,2,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,Gonçalo Inácio,1001196,Sporting CP,3001,2,3,7.55,1.22,2.17,11,3,17,8,45,4,1,2506,29,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,Samuel Soares,983550,Benfica,3006,0,0,7.5,,0.0,0,0,0,1,0,1,0,180,2,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,José Neto,1961117,Benfica,3006,0,0,7.5,0.08,0.03,2,0,0,0,1,0,0,94,2,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,Luis Javier Suárez,914213,Sporting CP,3001,28,6,7.4,23.3,5.58,136,60,47,36,16,7,0,2698,32,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,Martin Turk,1083104,Estoril Praia,4500,0,0,7.4,,0.0,0,0,0,0,0,0,0,270,3,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,Jan Bednarek,286085,FC Porto,3002,2,0,7.39,0.95,1.19,13,4,7,0,17,8,0,2690,32,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,Nicolás Otamendi,74915,Benfica,3006,2,0,7.39,1.25,0.74,24,6,9,9,45,7,1,2605,30,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,André Luiz,1133282,Rio Ave,3036,7,5,7.38,6.66,1.66,44,20,21,31,26,3,0,1500,19,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,Eduardo Quaresma,989841,Sporting CP,3001,2,2,7.37,0.37,0.87,5,2,5,11,40,2,0,1186,16,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,Roger Fernandes,1128560,Sporting Braga,2999,1,1,7.35,0.93,0.27,13,8,3,6,4,1,0,327,4,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,Adriel,1106840,AVS - Futebol SAD,483088,0,1,7.33,0.05,0.07,1,0,2,0,1,2,0,1440,16,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,Pablo Felipe,1101174,Gil Vicente,3010,10,1,7.33,5.64,0.72,23,13,14,11,13,4,0,955,13,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,Rodrigo Zalazar,966575,Sporting Braga,2999,16,5,7.32,11.89,4.69,68,27,37,50,19,6,0,1944,28,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,Daniel Banjaqui,1961109,Benfica,3006,0,0,7.3,0.17,0.23,4,1,2,4,6,0,0,153,2,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,Andreas Schjelderup,1100952,Benfica,3006,7,5,7.3,6.35,7.21,47,14,41,36,31,2,0,1733,28,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,Morten Hjulmand,859917,Sporting CP,3001,3,4,7.27,2.82,2.54,29,7,29,8,58,8,0,2325,27,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,Daniel Bragança,861979,Sporting CP,3001,6,0,7.27,2.27,0.81,14,9,8,4,12,1,0,538,14,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,Ricardo Horta,314380,Sporting Braga,2999,14,4,7.26,10.7,4.91,61,31,51,9,30,3,1,2149,28,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,Jakub Kiwior,976037,FC Porto,3002,0,1,7.25,1.4,0.86,16,5,12,2,49,3,0,2217,26,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,Nehuén Pérez,913401,FC Porto,3002,1,0,7.24,0.47,0.05,3,1,1,0,6,0,0,373,6,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,Jalen Blesa,1499082,Rio Ave,3036,7,0,7.22,5.03,1.15,23,14,11,10,14,1,0,1077,13,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,António Silva,1006069,Benfica,3006,1,1,7.21,1.97,1.21,18,5,10,5,30,6,0,1866,25,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,Joao Carvalho,1195449,Sporting Braga,2999,0,0,7.2,,0.0,0,0,0,0,0,0,0,10,1,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,Sidny Lopes Cabral,1117723,Benfica,3006,6,5,7.19,4.53,5.76,49,16,39,22,26,4,0,1680,23,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,Justin De Haas,876255,Famalicão,49531,5,0,7.17,3.45,0.85,21,9,7,6,45,7,0,2790,31,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,Pedro Gonçalves,895764,Sporting CP,3001,13,8,7.16,8.67,5.69,81,36,56,27,15,5,0,1994,27,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,Andrey,1515290,Santa Clara,3011,0,0,7.15,0.09,0.44,2,0,3,0,6,0,0,145,2,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,Jordan Holsgrove,920684,Estoril Praia,4500,1,7,7.15,1.04,5.38,36,7,53,12,61,8,0,2834,33,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,André Ferreira,788197,Moreirense,3014,0,1,7.14,,0.04,0,0,1,0,0,2,0,1980,22,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,Francisco Trincão,830431,Sporting CP,3001,7,11,7.14,7.17,7.51,74,24,86,46,36,1,0,2851,34,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,Clayton,1017023,Rio Ave,3036,10,4,7.13,7.03,1.94,43,23,11,6,3,6,1,1600,19,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,Tomás Araújo,983542,Benfica,3006,1,2,7.13,1.5,1.08,17,4,12,3,33,4,0,1684,23,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,Tiago Silva,252095,Vitória SC,3009,1,0,7.13,1.13,0.55,7,2,9,0,3,3,0,287,4,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,Zeno Debast,1126512,Sporting CP,3001,0,2,7.12,0.41,1.29,8,2,6,5,15,2,0,1183,17,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,Fredrik Aursnes,228364,Benfica,3006,3,3,7.12,2.55,4.28,29,8,56,13,50,2,0,2294,28,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,Lazar Carević,886204,Famalicão,49531,0,0,7.12,,0.02,0,0,0,0,1,4,0,3060,34,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,Chiquinho,1015826,FC Alverca,190328,2,4,7.12,2.99,3.7,25,6,22,34,28,6,0,1492,20,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
238,77806,Andrew,947893,Gil Vicente,3010,0,0,7.12,,0.02,0,0,0,0,1,2,1,1496,17,rating,POR,2025-2026,datafc_sofascore,2026-08-09T01:30:17.107032
