tournament_id,season_id,player_name,player_id,team_name,team_id,goals,assists,rating,expectedGoals,expectedAssists,totalShots,shotsOnTarget,keyPasses,successfulDribbles,tackles,yellowCards,redCards,minutesPlayed,appearances,_metric_order,_league_id,_season,_source,_scraped_at
37,61666,Malik Tillman,975798,PSV Eindhoven,2952,12,2,7.69,6.65,5.95,58,25,41,42,59,2,0,1919,26,rating,NED,2024-2025,datafc_sofascore,2026-08-09T01:33:33.180904
37,61666,Joey Veerman,850816,PSV Eindhoven,2952,1,8,7.65,2.91,9.79,31,15,72,10,35,3,0,1832,27,rating,NED,2024-2025,datafc_sofascore,2026-08-09T01:33:33.180904
37,61666,Igor Paixão,981815,Feyenoord,2959,16,10,7.61,10.56,6.71,96,43,71,57,43,0,0,2881,34,rating,NED,2024-2025,datafc_sofascore,2026-08-09T01:33:33.180904
37,61666,Olivier Boscagli,788784,PSV Eindhoven,2952,1,6,7.55,1.52,5.33,18,4,30,5,58,2,0,2572,30,rating,NED,2024-2025,datafc_sofascore,2026-08-09T01:33:33.180904
37,61666,Noa Lang,875136,PSV Eindhoven,2952,11,10,7.52,5.45,9.55,63,24,60,30,22,1,0,1914,29,rating,NED,2024-2025,datafc_sofascore,2026-08-09T01:33:33.180904
37,61666,Ivan Perišić,38710,PSV Eindhoven,2952,9,8,7.44,4.77,6.68,42,19,42,15,23,4,0,1804,27,rating,NED,2024-2025,datafc_sofascore,2026-08-09T01:33:33.180904
37,61666,Ismael Saibari,1063767,PSV Eindhoven,2952,11,11,7.43,11.24,5.56,84,37,41,29,39,2,0,1786,29,rating,NED,2024-2025,datafc_sofascore,2026-08-09T01:33:33.180904
37,61666,Yanick van Osch,361764,RKC Waalwijk,2956,0,0,7.43,,0.01,0,0,0,0,0,0,0,270,3,rating,NED,2024-2025,datafc_sofascore,2026-08-09T01:33:33.180904
37,61666,Luuk de Jong,40878,PSV Eindhoven,2952,14,8,7.43,17.74,5.92,98,30,57,5,23,3,0,2452,31,rating,NED,2024-2025,datafc_sofascore,2026-08-09T01:33:33.180904
37,61666,Hirving Lozano,385320,PSV Eindhoven,2952,4,2,7.43,2.52,0.77,15,6,5,6,8,0,0,283,9,rating,NED,2024-2025,datafc_sofascore,2026-08-09T01:33:33.180904
37,61666,Michael Brouwer,252027,FC Utrecht,2948,0,0,7.37,,0.0,0,0,0,0,0,0,0,270,3,rating,NED,2024-2025,datafc_sofascore,2026-08-09T01:33:33.180904
