country,tournament,tournament_id,season_id,team_name,team_id,player_name,player_id,age,height,player_country,position,preferred_foot,contract_until,market_value,market_currency,_league_id,_season,_source,_scraped_at
Spain,LaLiga,8,77559,FC Barcelona,2817,Ferran Torres,855833,26.0,183.0,Spain,F,Right,1814313600.0,59000000.0,EUR,ESP,2025-2026,datafc_sofascore,2026-08-09T07:38:54.779315
Spain,LaLiga,8,77559,FC Barcelona,2817,Roony Bardghji,1162107,20.0,173.0,Sweden,F,Left,1877472000.0,15500000.0,EUR,ESP,2025-2026,datafc_sofascore,2026-08-09T07:38:54.779315
Spain,LaLiga,8,77559,FC Barcelona,2817,Anthony Gordon,914902,25.0,183.0,England,F,Right,1940544000.0,82000000.0,EUR,ESP,2025-2026,datafc_sofascore,2026-08-09T07:38:54.779315
Spain,LaLiga,8,77559,FC Barcelona,2817,Karim Adeyemi,940054,24.0,180.0,Germany,F,Left,1940544000.0,41000000.0,EUR,ESP,2025-2026,datafc_sofascore,2026-08-09T07:38:54.779315
Spain,LaLiga,8,77559,FC Barcelona,2817,Shane Patrick Kluivert,2677598,18.0,178.0,Netherlands,F,Right,,,,ESP,2025-2026,datafc_sofascore,2026-08-09T07:38:54.779315
Spain,LaLiga,8,77559,FC Barcelona,2817,Lamine Yamal,1402912,19.0,183.0,Spain,M,Left,1940544000.0,237000000.0,EUR,ESP,2025-2026,datafc_sofascore,2026-08-09T07:38:54.779315
Spain,LaLiga,8,77559,FC Barcelona,2817,Raphinha,831005,29.0,176.0,Brazil,M,Left,1845936000.0,63000000.0,EUR,ESP,2025-2026,datafc_sofascore,2026-08-09T07:38:54.779315
Spain,LaLiga,8,77559,FC Barcelona,2817,Pedri,992587,23.0,174.0,Spain,M,Right,1909008000.0,164000000.0,EUR,ESP,2025-2026,datafc_sofascore,2026-08-09T07:38:54.779315
Spain,LaLiga,8,77559,FC Barcelona,2817,Gavi,1103693,22.0,173.0,Spain,M,Right,1909008000.0,31000000.0,EUR,ESP,2025-2026,datafc_sofascore,2026-08-09T07:38:54.779315
Spain,LaLiga,8,77559,FC Barcelona,2817,Frenkie de Jong,795222,29.0,180.0,Netherlands,M,Right,1877472000.0,32000000.0,EUR,ESP,2025-2026,datafc_sofascore,2026-08-09T07:38:54.779315
