country,tournament,tournament_id,season_id,team_name,team_id,player_name,player_id,age,height,player_country,position,preferred_foot,contract_until,market_value,market_currency,_league_id,_season,_source,_scraped_at
Germany,Bundesliga,35,52608,Bayer 04 Leverkusen,2681,Ibrahim Maza,1407524,20,181.0,Algeria,F,Right,1909008000.0,41000000.0,EUR,GER,2023-2024,datafc_sofascore,2026-08-09T07:44:10.704216
Germany,Bundesliga,35,52608,Bayer 04 Leverkusen,2681,Victor Okoh Boniface,978521,25,193.0,Nigeria,F,Right,1845936000.0,5500000.0,EUR,GER,2023-2024,datafc_sofascore,2026-08-09T07:44:10.704216
Germany,Bundesliga,35,52608,Bayer 04 Leverkusen,2681,Eliesse Ben Seghir,1394353,21,178.0,Morocco,F,Right,1909008000.0,21000000.0,EUR,GER,2023-2024,datafc_sofascore,2026-08-09T07:44:10.704216
Germany,Bundesliga,35,52608,Bayer 04 Leverkusen,2681,Patrik Schick,280609,30,191.0,Czechia,F,Left,1909008000.0,16600000.0,EUR,GER,2023-2024,datafc_sofascore,2026-08-09T07:44:10.704216
Germany,Bundesliga,35,52608,Bayer 04 Leverkusen,2681,Christian Kofane,2029648,20,189.0,Cameroon,F,Right,1877472000.0,41000000.0,EUR,GER,2023-2024,datafc_sofascore,2026-08-09T07:44:10.704216
Germany,Bundesliga,35,52608,Bayer 04 Leverkusen,2681,Ernest Poku,1119502,22,172.0,Netherlands,F,Right,1909008000.0,24000000.0,EUR,GER,2023-2024,datafc_sofascore,2026-08-09T07:44:10.704216
Germany,Bundesliga,35,52608,Bayer 04 Leverkusen,2681,Afonso Moreira,1215906,21,175.0,Portugal,F,Right,1940544000.0,18400000.0,EUR,GER,2023-2024,datafc_sofascore,2026-08-09T07:44:10.704216
Germany,Bundesliga,35,52608,Bayer 04 Leverkusen,2681,Nathan Tella,920379,27,173.0,Nigeria,F,Right,1940544000.0,15800000.0,EUR,GER,2023-2024,datafc_sofascore,2026-08-09T07:44:10.704216
Germany,Bundesliga,35,52608,Bayer 04 Leverkusen,2681,Martin Terrier,846445,29,184.0,France,F,Right,1877472000.0,7400000.0,EUR,GER,2023-2024,datafc_sofascore,2026-08-09T07:44:10.704216
Germany,Bundesliga,35,52608,Bayer 04 Leverkusen,2681,Jonas Hofmann,142390,34,176.0,Germany,F,Right,1814313600.0,1600000.0,EUR,GER,2023-2024,datafc_sofascore,2026-08-09T07:44:10.704216
