player_id,player_name,date_of_birth,age,nationality,nationality_id,height,weight,preferred_foot,jersey_number,position,position_detailed,market_value,market_currency,team_id,team_name,_league_id,_season,_source,_scraped_at
1407524,Ibrahim Maza,2005-11-24,20,Algeria,,181.0,,Right,30,F,"['AM', 'MC']",41000000.0,EUR,2681,Bayer 04 Leverkusen,GER,2023-2024,datafc_sofascore,2026-08-09T07:49:00.067903
978521,Victor Okoh Boniface,2000-12-23,25,Nigeria,,193.0,,Right,22,F,['ST'],5500000.0,EUR,2681,Bayer 04 Leverkusen,GER,2023-2024,datafc_sofascore,2026-08-09T07:49:00.067903
1394353,Eliesse Ben Seghir,2005-02-16,21,Morocco,,178.0,,Right,17,F,"['AM', 'LW']",21000000.0,EUR,2681,Bayer 04 Leverkusen,GER,2023-2024,datafc_sofascore,2026-08-09T07:49:00.067903
280609,Patrik Schick,1996-01-24,30,Czechia,,191.0,73.0,Left,14,F,['ST'],16600000.0,EUR,2681,Bayer 04 Leverkusen,GER,2023-2024,datafc_sofascore,2026-08-09T07:49:00.067903
2029648,Christian Kofane,2006-07-26,20,Cameroon,,189.0,,Right,35,F,['ST'],41000000.0,EUR,2681,Bayer 04 Leverkusen,GER,2023-2024,datafc_sofascore,2026-08-09T07:49:00.067903
1119502,Ernest Poku,2004-01-28,22,Netherlands,,172.0,,Right,19,F,"['RW', 'LW']",24000000.0,EUR,2681,Bayer 04 Leverkusen,GER,2023-2024,datafc_sofascore,2026-08-09T07:49:00.067903
1215906,Afonso Moreira,2005-03-19,21,Portugal,,175.0,,Right,17,F,['LW'],18400000.0,EUR,2681,Bayer 04 Leverkusen,GER,2023-2024,datafc_sofascore,2026-08-09T07:49:00.067903
920379,Nathan Tella,1999-07-05,27,Nigeria,,173.0,,Right,23,F,"['AM', 'RW']",15800000.0,EUR,2681,Bayer 04 Leverkusen,GER,2023-2024,datafc_sofascore,2026-08-09T07:49:00.067903
846445,Martin Terrier,1997-03-04,29,France,,184.0,71.0,Right,11,F,"['LW', 'AM', 'ST']",7400000.0,EUR,2681,Bayer 04 Leverkusen,GER,2023-2024,datafc_sofascore,2026-08-09T07:49:00.067903
142390,Jonas Hofmann,1992-07-14,34,Germany,,176.0,70.0,Right,7,F,"['AM', 'RW']",1600000.0,EUR,2681,Bayer 04 Leverkusen,GER,2023-2024,datafc_sofascore,2026-08-09T07:49:00.067903
