country,tournament,tournament_id,season_id,team_name,team_id,player_name,player_id,age,height,player_country,position,preferred_foot,contract_until,market_value,market_currency,_league_id,_season,_source,_scraped_at
Belgium,"Pro League, Championship Round",38,77040,Club Brugge KV,2888,Nicolò Tresoldi,1177167,21.0,183.0,Germany,F,Right,1877472000.0,27000000.0,EUR,BEL,2025-2026,datafc_sofascore,2026-08-09T07:58:33.708194
Belgium,"Pro League, Championship Round",38,77040,Club Brugge KV,2888,Mamadou Diakhon,1495876,20.0,180.0,Senegal,F,Right,1877472000.0,7600000.0,EUR,BEL,2025-2026,datafc_sofascore,2026-08-09T07:58:33.708194
Belgium,"Pro League, Championship Round",38,77040,Club Brugge KV,2888,Romeo Vermant,1069336,22.0,184.0,Belgium,F,Right,1845936000.0,9300000.0,EUR,BEL,2025-2026,datafc_sofascore,2026-08-09T07:58:33.708194
Belgium,"Pro League, Championship Round",38,77040,Club Brugge KV,2888,Gustaf Nilsson,572286,29.0,197.0,Sweden,F,Right,1845936000.0,2000000.0,EUR,BEL,2025-2026,datafc_sofascore,2026-08-09T07:58:33.708194
Belgium,"Pro League, Championship Round",38,77040,Club Brugge KV,2888,Andrej Vasovic,1542032,18.0,181.0,Switzerland,F,Right,1909008000.0,1600000.0,EUR,BEL,2025-2026,datafc_sofascore,2026-08-09T07:58:33.708194
Belgium,"Pro League, Championship Round",38,77040,Club Brugge KV,2888,Carlos Forbs,1069486,22.0,169.0,Portugal,M,Left,1877472000.0,21000000.0,EUR,BEL,2025-2026,datafc_sofascore,2026-08-09T07:58:33.708194
Belgium,"Pro League, Championship Round",38,77040,Club Brugge KV,2888,Jan Virgili,1939173,20.0,168.0,Spain,M,Right,1940544000.0,13800000.0,EUR,BEL,2025-2026,datafc_sofascore,2026-08-09T07:58:33.708194
Belgium,"Pro League, Championship Round",38,77040,Club Brugge KV,2888,Hans Vanaken,118085,33.0,194.0,Belgium,M,Both,1845936000.0,4800000.0,EUR,BEL,2025-2026,datafc_sofascore,2026-08-09T07:58:33.708194
Belgium,"Pro League, Championship Round",38,77040,Club Brugge KV,2888,Ludovit Reis,893586,26.0,178.0,Netherlands,M,Right,1877472000.0,3100000.0,EUR,BEL,2025-2026,datafc_sofascore,2026-08-09T07:58:33.708194
Belgium,"Pro League, Championship Round",38,77040,Club Brugge KV,2888,Hugo Vetlesen,877236,26.0,174.0,Norway,M,Right,1877472000.0,5400000.0,EUR,BEL,2025-2026,datafc_sofascore,2026-08-09T07:58:33.708194
Belgium,"Pro League, Championship Round",38,77040,Club Brugge KV,2888,Félix Lemaréchal,1130942,23.0,181.0,France,M,Right,1877472000.0,6500000.0,EUR,BEL,2025-2026,datafc_sofascore,2026-08-09T07:58:33.708194
