country,tournament,tournament_id,season_id,team_name,team_id,position,matches,wins,draws,losses,scores_for,scores_against,points,category,_league_id,_season,_source,_scraped_at
Italy,Serie A,23,76457,Inter,2697,1,38,27,6,5,89,35,87,Total,ITA,2025-2026,datafc_sofascore,2026-08-09T08:11:23.362930
Italy,Serie A,23,76457,SSC Napoli,2714,2,38,23,7,8,58,36,76,Total,ITA,2025-2026,datafc_sofascore,2026-08-09T08:11:23.362930
Italy,Serie A,23,76457,AS Roma,2702,3,38,23,4,11,59,31,73,Total,ITA,2025-2026,datafc_sofascore,2026-08-09T08:11:23.362930
Italy,Serie A,23,76457,Como,2704,4,38,20,11,7,65,29,71,Total,ITA,2025-2026,datafc_sofascore,2026-08-09T08:11:23.362930
Italy,Serie A,23,76457,AC Milan,2692,5,38,20,10,8,53,35,70,Total,ITA,2025-2026,datafc_sofascore,2026-08-09T08:11:23.362930
Italy,Serie A,23,76457,Juventus,2687,6,38,19,12,7,61,34,69,Total,ITA,2025-2026,datafc_sofascore,2026-08-09T08:11:23.362930
Italy,Serie A,23,76457,Atalanta,2686,7,38,15,14,9,51,36,59,Total,ITA,2025-2026,datafc_sofascore,2026-08-09T08:11:23.362930
Italy,Serie A,23,76457,Bologna,2685,8,38,16,8,14,49,46,56,Total,ITA,2025-2026,datafc_sofascore,2026-08-09T08:11:23.362930
Italy,Serie A,23,76457,Lazio,2699,9,38,14,12,12,41,40,54,Total,ITA,2025-2026,datafc_sofascore,2026-08-09T08:11:23.362930
Italy,Serie A,23,76457,Udinese,2695,10,38,14,8,16,45,48,50,Total,ITA,2025-2026,datafc_sofascore,2026-08-09T08:11:23.362930
Italy,Serie A,23,76457,Sassuolo,2793,11,38,14,7,17,46,50,49,Total,ITA,2025-2026,datafc_sofascore,2026-08-09T08:11:23.362930
Italy,Serie A,23,76457,Torino,2696,12,38,12,9,17,44,63,45,Total,ITA,2025-2026,datafc_sofascore,2026-08-09T08:11:23.362930
Italy,Serie A,23,76457,Parma,2690,13,38,11,12,15,28,46,45,Total,ITA,2025-2026,datafc_sofascore,2026-08-09T08:11:23.362930
Italy,Serie A,23,76457,Cagliari,2719,14,38,11,10,17,40,53,43,Total,ITA,2025-2026,datafc_sofascore,2026-08-09T08:11:23.362930
Italy,Serie A,23,76457,Fiorentina,2693,15,38,9,15,14,41,50,42,Total,ITA,2025-2026,datafc_sofascore,2026-08-09T08:11:23.362930
Italy,Serie A,23,76457,Genoa,2713,16,38,10,11,17,41,51,41,Total,ITA,2025-2026,datafc_sofascore,2026-08-09T08:11:23.362930
Italy,Serie A,23,76457,Lecce,2689,17,38,10,8,20,28,50,38,Total,ITA,2025-2026,datafc_sofascore,2026-08-09T08:11:23.362930
