country,tournament,tournament_id,season_id,team_name,team_id,player_name,player_id,age,height,player_country,position,preferred_foot,contract_until,market_value,market_currency,_league_id,_season,_source,_scraped_at
Portugal,Liga Portugal Betclic,238,63670,Sporting CP,3001,Luis Javier Suárez,914213,28.0,185.0,Colombia,F,Right,1909008000.0,27000000.0,EUR,POR,2024-2025,datafc_sofascore,2026-08-09T08:36:32.724964
Portugal,Liga Portugal Betclic,238,63670,Sporting CP,3001,Fotis Ioannidis,903679,26.0,186.0,Greece,F,Both,1909008000.0,15400000.0,EUR,POR,2024-2025,datafc_sofascore,2026-08-09T08:36:32.724964
Portugal,Liga Portugal Betclic,238,63670,Sporting CP,3001,Rodrigo Zalazar,966575,26.0,174.0,Uruguay,F,Right,1940544000.0,32000000.0,EUR,POR,2024-2025,datafc_sofascore,2026-08-09T08:36:32.724964
Portugal,Liga Portugal Betclic,238,63670,Sporting CP,3001,Rafael Nel,1464415,21.0,182.0,Portugal,F,Right,1877472000.0,4400000.0,EUR,POR,2024-2025,datafc_sofascore,2026-08-09T08:36:32.724964
Portugal,Liga Portugal Betclic,238,63670,Sporting CP,3001,Flávio Gonçalves,1937022,19.0,175.0,Portugal,F,Right,1909008000.0,2000000.0,EUR,POR,2024-2025,datafc_sofascore,2026-08-09T08:36:32.724964
Portugal,Liga Portugal Betclic,238,63670,Sporting CP,3001,Geny Catamo,1001140,25.0,172.0,Mozambique,M,Left,1845936000.0,27000000.0,EUR,POR,2024-2025,datafc_sofascore,2026-08-09T08:36:32.724964
Portugal,Liga Portugal Betclic,238,63670,Sporting CP,3001,Jesse Derry,1550775,19.0,188.0,England,M,Right,1814313600.0,1900000.0,EUR,POR,2024-2025,datafc_sofascore,2026-08-09T08:36:32.724964
Portugal,Liga Portugal Betclic,238,63670,Sporting CP,3001,Pedro Gonçalves,895764,28.0,173.0,Portugal,M,Right,1909008000.0,27000000.0,EUR,POR,2024-2025,datafc_sofascore,2026-08-09T08:36:32.724964
Portugal,Liga Portugal Betclic,238,63670,Sporting CP,3001,Giorgi Kochorashvili,886402,27.0,176.0,Georgia,M,Right,1909008000.0,3800000.0,EUR,POR,2024-2025,datafc_sofascore,2026-08-09T08:36:32.724964
Portugal,Liga Portugal Betclic,238,63670,Sporting CP,3001,Luís Guilherme,1016893,20.0,170.0,Brazil,M,Left,1909008000.0,12500000.0,EUR,POR,2024-2025,datafc_sofascore,2026-08-09T08:36:32.724964
