player_id,player_name,date_of_birth,age,nationality,nationality_id,height,weight,preferred_foot,jersey_number,position,position_detailed,market_value,market_currency,team_id,team_name,_league_id,_season,_source,_scraped_at
1503836,Samu Aghehowa,2004-05-05,22.0,Spain,,193.0,,Right,9,F,['ST'],46000000.0,EUR,3002,FC Porto,POR,2025-2026,datafc_sofascore,2026-08-09T08:45:25.101375
1548929,Oskar Pietuszewski,2008-05-20,18.0,Poland,,179.0,,Right,77,F,['LW'],26000000.0,EUR,3002,FC Porto,POR,2025-2026,datafc_sofascore,2026-08-09T08:45:25.101375
190159,André Silva,1995-11-06,30.0,Portugal,,185.0,79.0,Right,19,F,['ST'],2800000.0,EUR,3002,FC Porto,POR,2025-2026,datafc_sofascore,2026-08-09T08:45:25.101375
1639250,William Gomes,2006-03-15,20.0,Brazil,,171.0,,Left,7,F,['RW'],23000000.0,EUR,3002,FC Porto,POR,2025-2026,datafc_sofascore,2026-08-09T08:45:25.101375
882664,Pepê,1997-02-24,29.0,Brazil,,175.0,66.0,Right,11,F,"['RW', 'AM', 'LW']",16000000.0,EUR,3002,FC Porto,POR,2025-2026,datafc_sofascore,2026-08-09T08:45:25.101375
1407720,Deniz Gül,2004-07-02,22.0,Türkiye,,190.0,,Right,27,F,['ST'],5200000.0,EUR,3002,FC Porto,POR,2025-2026,datafc_sofascore,2026-08-09T08:45:25.101375
992567,Borja Sainz,2001-02-01,25.0,Spain,,174.0,,Right,17,F,['LW'],21000000.0,EUR,3002,FC Porto,POR,2025-2026,datafc_sofascore,2026-08-09T08:45:25.101375
1002819,Gabriel Veron,2002-09-03,23.0,Brazil,,176.0,,Right,7,F,"['RW', 'LW']",2600000.0,EUR,3002,FC Porto,POR,2025-2026,datafc_sofascore,2026-08-09T08:45:25.101375
1410240,Rodrigo Mora,2007-05-05,19.0,Portugal,,168.0,,Right,86,M,"['MC', 'AM']",40000000.0,EUR,3002,FC Porto,POR,2025-2026,datafc_sofascore,2026-08-09T08:45:25.101375
889689,Hwang In-beom,1996-09-20,29.0,South Korea,,177.0,,Both,16,M,"['MC', 'DM', 'AM']",6400000.0,EUR,3002,FC Porto,POR,2025-2026,datafc_sofascore,2026-08-09T08:45:25.101375
1066560,Alan Varela,2001-07-04,25.0,Argentina,,177.0,75.0,Right,22,M,"['MC', 'DM']",35000000.0,EUR,3002,FC Porto,POR,2025-2026,datafc_sofascore,2026-08-09T08:45:25.101375
1010505,Gabri Veiga,2002-05-27,24.0,Spain,,184.0,,Right,10,M,"['MC', 'AM']",29000000.0,EUR,3002,FC Porto,POR,2025-2026,datafc_sofascore,2026-08-09T08:45:25.101375
886223,Stephen Eustaquio,1996-12-21,29.0,Canada,,178.0,66.0,Right,6,M,"['MC', 'DM']",6500000.0,EUR,3002,FC Porto,POR,2025-2026,datafc_sofascore,2026-08-09T08:45:25.101375
1406639,Victor Froholdt,2006-02-25,20.0,Denmark,,187.0,,Right,8,M,['MC'],46000000.0,EUR,3002,FC Porto,POR,2025-2026,datafc_sofascore,2026-08-09T08:45:25.101375
804472,Pablo Rosario,1997-01-07,29.0,Dominican Republic,,188.0,73.0,Right,13,M,"['MC', 'DM', 'DC']",7800000.0,EUR,3002,FC Porto,POR,2025-2026,datafc_sofascore,2026-08-09T08:45:25.101375
