country,tournament,tournament_id,season_id,team_name,team_id,position,matches,wins,draws,losses,scores_for,scores_against,points,category,_league_id,_season,_source,_scraped_at
Netherlands,VriendenLoterij Eredivisie,37,77012,PSV Eindhoven,2952,1,34,27,3,4,101,45,84,Total,NED,2025-2026,datafc_sofascore,2026-08-09T08:54:20.733401
Netherlands,VriendenLoterij Eredivisie,37,77012,Feyenoord,2959,2,34,19,8,7,70,44,65,Total,NED,2025-2026,datafc_sofascore,2026-08-09T08:54:20.733401
Netherlands,VriendenLoterij Eredivisie,37,77012,NEC Nijmegen,2962,3,34,16,11,7,77,53,59,Total,NED,2025-2026,datafc_sofascore,2026-08-09T08:54:20.733401
Netherlands,VriendenLoterij Eredivisie,37,77012,FC Twente,2955,4,34,15,13,6,59,40,58,Total,NED,2025-2026,datafc_sofascore,2026-08-09T08:54:20.733401
Netherlands,VriendenLoterij Eredivisie,37,77012,AFC Ajax,2953,5,34,14,14,6,62,41,56,Total,NED,2025-2026,datafc_sofascore,2026-08-09T08:54:20.733401
Netherlands,VriendenLoterij Eredivisie,37,77012,FC Utrecht,2948,6,34,15,8,11,55,42,53,Total,NED,2025-2026,datafc_sofascore,2026-08-09T08:54:20.733401
Netherlands,VriendenLoterij Eredivisie,37,77012,AZ Alkmaar,2950,7,34,14,10,10,58,51,52,Total,NED,2025-2026,datafc_sofascore,2026-08-09T08:54:20.733401
Netherlands,VriendenLoterij Eredivisie,37,77012,SC Heerenveen,2964,8,34,14,9,11,57,53,51,Total,NED,2025-2026,datafc_sofascore,2026-08-09T08:54:20.733401
Netherlands,VriendenLoterij Eredivisie,37,77012,FC Groningen,2951,9,34,14,6,14,49,45,48,Total,NED,2025-2026,datafc_sofascore,2026-08-09T08:54:20.733401
Netherlands,VriendenLoterij Eredivisie,37,77012,Sparta Rotterdam,2960,10,34,12,7,15,40,62,43,Total,NED,2025-2026,datafc_sofascore,2026-08-09T08:54:20.733401
Netherlands,VriendenLoterij Eredivisie,37,77012,Fortuna Sittard,2957,11,34,11,6,17,49,63,39,Total,NED,2025-2026,datafc_sofascore,2026-08-09T08:54:20.733401
Netherlands,VriendenLoterij Eredivisie,37,77012,Go Ahead Eagles,2979,12,34,8,14,12,54,53,38,Total,NED,2025-2026,datafc_sofascore,2026-08-09T08:54:20.733401
