country,tournament,tournament_id,season_id,team_name,team_id,position,matches,wins,draws,losses,scores_for,scores_against,points,category,_league_id,_season,_source,_scraped_at
Turkey,Trendyol Süper Lig,52,63814,Galatasaray,3061,1,36,30,5,1,91,31,95,Total,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Fenerbahçe,3052,2,36,26,6,4,90,39,84,Total,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Samsunspor,3053,3,36,19,7,10,55,41,64,Total,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Beşiktaş JK,3050,4,36,17,11,8,59,36,62,Total,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Başakşehir FK,3086,5,36,16,6,14,60,56,54,Total,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Eyüpspor,7040,6,36,15,8,13,52,47,53,Total,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Trabzonspor,3051,7,36,13,12,11,58,45,51,Total,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Göztepe,3054,8,36,13,11,12,59,50,50,Total,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Çaykur Rizespor,3064,9,36,15,4,17,52,58,49,Total,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Kasımpaşa,6063,10,36,11,14,11,62,63,47,Total,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Konyaspor,3085,11,36,13,7,16,45,50,46,Total,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Alanyaspor,6362,12,36,12,9,15,43,50,45,Total,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Kayserispor,3072,13,36,11,12,13,45,57,45,Total,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Gaziantep FK,5138,14,36,12,9,15,45,50,45,Total,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Antalyaspor,3056,15,36,12,8,16,37,62,44,Total,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Bodrum FK,202390,16,36,9,10,17,26,43,37,Total,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Sivasspor,3076,17,36,9,8,19,44,60,35,Total,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Hatayspor,3091,18,36,6,8,22,47,74,26,Total,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Adana Demirspor,3101,19,36,3,5,28,34,92,2,Total,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Galatasaray,3061,1,18,15,3,0,46,15,48,Home,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Fenerbahçe,3052,2,18,14,2,2,42,18,44,Home,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Göztepe,3054,3,18,10,6,2,36,16,36,Home,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Beşiktaş JK,3050,4,18,11,2,5,34,22,35,Home,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Samsunspor,3053,5,18,11,2,5,32,21,35,Home,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Trabzonspor,3051,6,18,10,5,3,40,22,35,Home,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Gaziantep FK,5138,7,18,10,4,4,24,14,34,Home,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Antalyaspor,3056,8,18,10,4,4,23,22,34,Home,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Eyüpspor,7040,9,18,10,3,5,33,23,33,Home,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Konyaspor,3085,10,18,9,5,4,26,19,32,Home,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Başakşehir FK,3086,11,18,9,4,5,34,23,31,Home,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Çaykur Rizespor,3064,12,18,9,4,5,33,25,31,Home,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Kayserispor,3072,13,18,8,5,5,28,26,29,Home,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Alanyaspor,6362,14,18,8,5,5,26,21,29,Home,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Sivasspor,3076,15,18,7,6,5,29,22,27,Home,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Kasımpaşa,6063,16,18,5,7,6,31,33,22,Home,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Bodrum FK,202390,17,18,5,5,8,15,19,20,Home,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Hatayspor,3091,18,18,4,5,9,24,31,17,Home,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Adana Demirspor,3101,19,18,1,3,14,14,42,6,Home,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Galatasaray,3061,1,18,15,2,1,45,16,47,Away,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Fenerbahçe,3052,2,18,12,4,2,48,21,40,Away,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Samsunspor,3053,3,18,8,5,5,23,20,29,Away,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Beşiktaş JK,3050,4,18,6,9,3,25,14,27,Away,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Kasımpaşa,6063,5,18,6,7,5,31,30,25,Away,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Başakşehir FK,3086,6,18,7,2,9,26,33,23,Away,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Eyüpspor,7040,7,18,5,5,8,19,24,20,Away,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Çaykur Rizespor,3064,8,18,6,0,12,19,33,18,Away,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Bodrum FK,202390,9,18,4,5,9,11,24,17,Away,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Kayserispor,3072,10,18,3,7,8,17,31,16,Away,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Trabzonspor,3051,11,18,3,7,8,18,23,16,Away,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Alanyaspor,6362,12,18,4,4,10,17,29,16,Away,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Göztepe,3054,13,18,3,5,10,23,34,14,Away,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
Turkey,Trendyol Süper Lig,52,63814,Konyaspor,3085,14,18,4,2,12,19,31,14,Away,TUR,2024-2025,datafc_sofascore,2026-08-09T09:04:11.703011
