country,tournament,tournament_id,season_id,team_name,team_id,player_name,player_id,age,height,player_country,position,preferred_foot,contract_until,market_value,market_currency,_league_id,_season,_source,_scraped_at
Austria,"Austrian Bundesliga, Championship Round",45,52524,SK Sturm Graz,2051,Szymon Włodarczyk,1009285,23.0,189.0,Poland,F,Right,1814313600.0,815000.0,EUR,AUT,2023-2024,datafc_sofascore,2026-08-09T09:14:45.755061
Austria,"Austrian Bundesliga, Championship Round",45,52524,SK Sturm Graz,2051,Nelson Weiper,1152505,21.0,192.0,Germany,F,Right,1814313600.0,7400000.0,EUR,AUT,2023-2024,datafc_sofascore,2026-08-09T09:14:45.755061
Austria,"Austrian Bundesliga, Championship Round",45,52524,SK Sturm Graz,2051,Leon Grgić,1387712,20.0,189.0,Croatia,F,Both,,2700000.0,EUR,AUT,2023-2024,datafc_sofascore,2026-08-09T09:14:45.755061
Austria,"Austrian Bundesliga, Championship Round",45,52524,SK Sturm Graz,2051,Amady Camara,1516047,21.0,180.0,Mali,F,Left,,875000.0,EUR,AUT,2023-2024,datafc_sofascore,2026-08-09T09:14:45.755061
Austria,"Austrian Bundesliga, Championship Round",45,52524,SK Sturm Graz,2051,Axel Kayombo,1513332,20.0,186.0,DR Congo,F,Right,1877472000.0,1400000.0,EUR,AUT,2023-2024,datafc_sofascore,2026-08-09T09:14:45.755061
Austria,"Austrian Bundesliga, Championship Round",45,52524,SK Sturm Graz,2051,Seedy Jatta,1024876,23.0,180.0,Norway,F,Right,1814313600.0,1100000.0,EUR,AUT,2023-2024,datafc_sofascore,2026-08-09T09:14:45.755061
Austria,"Austrian Bundesliga, Championship Round",45,52524,SK Sturm Graz,2051,Maurice Malone,877845,25.0,184.0,Germany,F,Left,,960000.0,EUR,AUT,2023-2024,datafc_sofascore,2026-08-09T09:14:45.755061
Austria,"Austrian Bundesliga, Championship Round",45,52524,SK Sturm Graz,2051,Belmin Beganović,1212322,21.0,183.0,Austria,F,Left,1845936000.0,910000.0,EUR,AUT,2023-2024,datafc_sofascore,2026-08-09T09:14:45.755061
Austria,"Austrian Bundesliga, Championship Round",45,52524,SK Sturm Graz,2051,Simon Seidl,1131565,23.0,172.0,Austria,F,Right,,1100000.0,EUR,AUT,2023-2024,datafc_sofascore,2026-08-09T09:14:45.755061
Austria,"Austrian Bundesliga, Championship Round",45,52524,SK Sturm Graz,2051,Otar Kiteishvili,797994,30.0,170.0,Georgia,M,Both,1814313600.0,5000000.0,EUR,AUT,2023-2024,datafc_sofascore,2026-08-09T09:14:45.755061
