country,tournament,tournament_id,season_id,team_name,team_id,position,matches,wins,draws,losses,scores_for,scores_against,points,category,_league_id,_season,_source,_scraped_at
Austria,"Austrian Bundesliga, Championship Round",45,77382,LASK,2058,1,32,17,7,8,56,42,39,Total,AUT,2025-2026,datafc_sofascore,2026-08-09T09:20:30.574942
Austria,"Austrian Bundesliga, Championship Round",45,77382,SK Sturm Graz,2051,2,32,16,8,8,51,35,37,Total,AUT,2025-2026,datafc_sofascore,2026-08-09T09:20:30.574942
Austria,"Austrian Bundesliga, Championship Round",45,77382,Red Bull Salzburg,2046,3,32,13,9,10,56,41,29,Total,AUT,2025-2026,datafc_sofascore,2026-08-09T09:20:30.574942
Austria,"Austrian Bundesliga, Championship Round",45,77382,FK Austria Wien,2203,4,32,14,5,13,45,50,29,Total,AUT,2025-2026,datafc_sofascore,2026-08-09T09:20:30.574942
Austria,"Austrian Bundesliga, Championship Round",45,77382,SK Rapid Wien,2055,5,32,12,8,12,36,41,27,Total,AUT,2025-2026,datafc_sofascore,2026-08-09T09:20:30.574942
Austria,"Austrian Bundesliga, Championship Round",45,77382,TSV Hartberg,2075,6,32,10,12,10,40,40,25,Total,AUT,2025-2026,datafc_sofascore,2026-08-09T09:20:30.574942
Austria,Austrian Bundesliga,45,77382,SK Sturm Graz,2051,1,22,12,2,8,33,26,38,Total,AUT,2025-2026,datafc_sofascore,2026-08-09T09:20:30.574942
Austria,Austrian Bundesliga,45,77382,Red Bull Salzburg,2046,2,22,10,7,5,42,26,37,Total,AUT,2025-2026,datafc_sofascore,2026-08-09T09:20:30.574942
Austria,Austrian Bundesliga,45,77382,LASK,2058,3,22,11,4,7,32,30,37,Total,AUT,2025-2026,datafc_sofascore,2026-08-09T09:20:30.574942
Austria,Austrian Bundesliga,45,77382,FK Austria Wien,2203,4,22,11,3,8,34,30,36,Total,AUT,2025-2026,datafc_sofascore,2026-08-09T09:20:30.574942
Austria,Austrian Bundesliga,45,77382,SK Rapid Wien,2055,5,22,9,6,7,26,25,33,Total,AUT,2025-2026,datafc_sofascore,2026-08-09T09:20:30.574942
Austria,Austrian Bundesliga,45,77382,TSV Hartberg,2075,6,22,8,9,5,29,24,33,Total,AUT,2025-2026,datafc_sofascore,2026-08-09T09:20:30.574942
