tournament_id,season_id,player_name,player_id,team_name,team_id,saves,goalsPrevented,rating,minutesPlayed,appearances,accuratePasses,accurateLongBalls,accurateLongBallsPercentage,yellowCards,redCards,_league_id,_season,_source,_scraped_at
238,77806,Bernardo Fontes,1394935,Tondela,38396,114,-1.1,7.03,3060,34,594,199,34.08,1,0,POR,2025-2026,datafc_sofascore_keeper,2026-08-10T23:15:07.404618
238,77806,Renan Ribeiro,82598,CF Estrela Amadora,3035,97,0.39,6.85,2970,33,550,190,35.58,5,0,POR,2025-2026,datafc_sofascore_keeper,2026-08-10T23:15:07.404618
238,77806,Lazar Carević,886204,Famalicão,49531,95,5.6,7.12,3060,34,987,114,38.78,4,0,POR,2025-2026,datafc_sofascore_keeper,2026-08-10T23:15:07.404618
238,77806,Kaique,1167067,CD Nacional,3013,87,4.89,7.0,2520,28,534,183,31.5,4,0,POR,2025-2026,datafc_sofascore_keeper,2026-08-10T23:15:07.404618
238,77806,Joel Robles,93796,Estoril Praia,4500,82,-4.39,6.77,2790,31,431,174,34.52,3,0,POR,2025-2026,datafc_sofascore_keeper,2026-08-10T23:15:07.404618
238,77806,Patrick Sequeira,821628,Casa Pia,36365,80,-0.32,6.78,2531,29,430,166,33.2,3,1,POR,2025-2026,datafc_sofascore_keeper,2026-08-10T23:15:07.404618
238,77806,Cezary Miszta,938292,Rio Ave,3036,77,-0.91,7.0,1890,21,490,146,39.57,6,0,POR,2025-2026,datafc_sofascore_keeper,2026-08-10T23:15:07.404618
238,77806,Rui Silva,253809,Sporting CP,3001,76,3.49,7.11,2880,32,647,82,43.62,4,0,POR,2025-2026,datafc_sofascore_keeper,2026-08-10T23:15:07.404618
238,77806,Gabriel Batista,822526,Santa Clara,3011,76,-2.9,6.86,2880,32,558,198,38.22,0,0,POR,2025-2026,datafc_sofascore_keeper,2026-08-10T23:15:07.404618
238,77806,André Ferreira,788197,Moreirense,3014,74,6.23,7.14,1980,22,478,109,31.05,2,0,POR,2025-2026,datafc_sofascore_keeper,2026-08-10T23:15:07.404618
238,77806,Lukáš Horníček,963744,Sporting Braga,2999,74,3.81,6.95,2960,33,846,124,31.31,4,0,POR,2025-2026,datafc_sofascore_keeper,2026-08-10T23:15:07.404618
238,77806,Anatoliy Trubin,966616,Benfica,3006,73,3.48,6.86,2880,32,466,97,36.19,2,0,POR,2025-2026,datafc_sofascore_keeper,2026-08-10T23:15:07.404618
