tournament_id,season_id,player_name,player_id,team_name,team_id,rating,goals,assists,expectedGoals,expectedAssists,shotsOnTarget,totalShots,bigChancesCreated,bigChancesMissed,accuratePasses,accuratePassesPercentage,keyPasses,accurateLongBalls,accurateLongBallsPercentage,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,clearances,possessionLost,minutesPlayed,appearances,yellowCards,redCards,_league_id,_season,_source,_scraped_at
17,76986,Bruno Fernandes,288205,Manchester United,35,7.61,9,21,10.83,12.32,24,85,33,8,1639,82.2,137,138,60.0,15,41.67,54,20,42,594,3066,35,5,0,ENG,2025-2026,datafc_sofascore,2026-08-10 21:29:57
17,76986,Max Weiss,1128801,Burnley,6,7.57,0,0,,0.01,0,0,0,0,68,60.71,1,17,27.87,0,0.0,0,0,4,48,270,3,0,0,ENG,2025-2026,datafc_sofascore,2026-08-10 21:29:57
17,76986,Declan Rice,856714,Arsenal,42,7.46,4,5,3.17,6.96,13,40,17,3,1865,87.31,64,88,48.09,14,50.0,70,37,78,498,3099,36,3,0,ENG,2025-2026,datafc_sofascore,2026-08-10 21:29:57
17,76986,Bruno Guimarães,866469,Newcastle United,39,7.45,9,5,5.6,4.98,23,42,7,4,1250,86.15,46,81,60.45,18,37.5,62,15,36,407,2455,29,6,0,ENG,2025-2026,datafc_sofascore,2026-08-10 21:29:57
17,76986,Rodri,827606,Manchester City,17,7.43,1,0,1.13,2.59,3,16,2,0,1458,90.11,25,90,68.7,7,46.67,41,14,41,203,1513,21,3,0,ENG,2025-2026,datafc_sofascore,2026-08-10 21:29:57
17,76986,Jérémy Doku,934386,Manchester City,17,7.39,5,5,2.75,6.18,15,39,13,4,640,82.9,60,14,63.64,84,56.76,23,13,2,378,1784,30,0,0,ENG,2025-2026,datafc_sofascore,2026-08-10 21:29:57
17,76986,Elliot Anderson,994546,Nottingham Forest,14,7.34,4,4,2.9,4.79,10,44,9,1,2038,85.52,55,119,53.36,50,54.35,104,41,49,656,3334,38,8,0,ENG,2025-2026,datafc_sofascore,2026-08-10 21:29:57
17,76986,Granit Xhaka,117777,Sunderland,41,7.33,1,6,1.02,3.71,5,21,9,0,1512,83.67,34,138,54.98,11,45.83,50,29,85,429,2903,34,8,0,ENG,2025-2026,datafc_sofascore,2026-08-10 21:29:57
17,76986,Erling Haaland,839956,Manchester City,17,7.31,27,8,25.43,2.85,59,126,9,30,252,65.63,25,4,28.57,17,53.13,15,5,42,225,2958,35,2,0,ENG,2025-2026,datafc_sofascore,2026-08-10 21:29:57
17,76986,Marc Guéhi,877994,Manchester City,17,7.3,3,3,4.12,2.32,9,32,5,6,2070,89.65,18,77,40.96,7,63.64,46,50,164,300,3150,35,6,0,ENG,2025-2026,datafc_sofascore,2026-08-10 21:29:57
17,76986,Gabriel Magalhães,869792,Arsenal,42,7.27,3,4,2.93,1.82,7,27,5,4,1528,88.17,7,78,44.57,1,50.0,38,23,182,234,2751,32,4,0,ENG,2025-2026,datafc_sofascore,2026-08-10 21:29:57
