tournament_id,season_id,player_name,player_id,team_name,team_id,rating,goals,assists,expectedGoals,expectedAssists,shotsOnTarget,totalShots,bigChancesCreated,bigChancesMissed,accuratePasses,accuratePassesPercentage,keyPasses,accurateLongBalls,accurateLongBallsPercentage,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,clearances,possessionLost,minutesPlayed,appearances,yellowCards,redCards,_league_id,_season,_source,_scraped_at
8,61643,Aitor Fernández,99516,Osasuna,2820,8.4,0,0,,0.0,0,0,0,0,25,60.98,0,19,54.29,0,0.0,0,0,2,16,90,1,0,0,ESP,2024-2025,datafc_sofascore,2026-08-10 21:30:14
8,61643,Leo Román,1131909,Mallorca,2826,7.83,0,0,,0.02,0,0,0,0,119,53.6,0,63,38.41,1,100.0,0,0,9,103,630,7,0,0,ESP,2024-2025,datafc_sofascore,2026-08-10 21:30:14
8,61643,Raphinha,831005,FC Barcelona,2817,7.8,18,9,19.38,10.11,43,114,26,20,994,79.46,92,46,58.97,52,54.17,36,11,22,563,2844,36,4,0,ESP,2024-2025,datafc_sofascore,2026-08-10 21:30:14
8,61643,Lamine Yamal,1402912,FC Barcelona,2817,7.79,9,13,9.81,11.61,47,144,28,14,1116,78.93,65,30,48.39,161,55.71,42,16,3,691,2861,35,3,0,ESP,2024-2025,datafc_sofascore,2026-08-10 21:30:14
8,61643,Kylian Mbappé,826643,Real Madrid,2829,7.7,31,3,25.93,6.59,85,161,15,29,933,85.28,52,45,78.95,83,47.7,8,1,0,434,2915,34,3,1,ESP,2024-2025,datafc_sofascore,2026-08-10 21:30:14
8,61643,Sergio Arribas,1119678,Real Betis,2816,7.6,0,0,,0.0,0,0,0,0,28,68.29,0,0,0.0,0,0.0,7,3,4,17,90,1,0,0,ESP,2024-2025,datafc_sofascore,2026-08-10 21:30:14
8,61643,Unai Marrero,1094782,Real Sociedad,2824,7.6,0,0,,0.0,0,0,0,0,35,77.78,0,9,50.0,0,0.0,0,0,2,11,180,2,0,0,ESP,2024-2025,datafc_sofascore,2026-08-10 21:30:14
8,61643,Pedri,992587,FC Barcelona,2817,7.59,4,5,2.18,9.0,11,25,14,2,2379,89.03,70,145,70.05,40,66.67,61,26,12,449,2892,37,3,0,ESP,2024-2025,datafc_sofascore,2026-08-10 21:30:14
8,61643,Isco,103417,Real Betis,2816,7.54,9,8,8.62,3.86,15,44,5,3,925,86.21,61,68,71.58,27,49.09,20,11,6,327,1551,22,5,0,ESP,2024-2025,datafc_sofascore,2026-08-10 21:30:14
8,61643,Alex Baena,910031,Villarreal,2819,7.48,7,9,7.18,12.58,18,70,21,6,772,74.02,98,70,56.45,21,43.75,28,22,14,532,2602,32,9,0,ESP,2024-2025,datafc_sofascore,2026-08-10 21:30:14
8,61643,Federico Valverde,831808,Real Madrid,2829,7.47,6,4,2.66,3.16,22,57,7,1,1970,91.12,39,142,71.36,16,61.54,50,55,51,273,3032,36,4,0,ESP,2024-2025,datafc_sofascore,2026-08-10 21:30:14
8,61643,Jude Bellingham,991011,Real Madrid,2829,7.45,9,8,11.5,4.5,23,62,4,12,1321,87.54,42,67,73.63,41,59.42,61,28,21,342,2494,31,5,1,ESP,2024-2025,datafc_sofascore,2026-08-10 21:30:14
8,61643,Giovani Lo Celso,798835,Real Betis,2816,7.41,8,3,4.77,5.2,19,34,7,2,732,84.82,43,45,69.23,21,43.75,34,5,2,304,1455,25,4,0,ESP,2024-2025,datafc_sofascore,2026-08-10 21:30:14
8,61643,Antony,958380,Real Betis,2816,7.41,5,2,2.87,2.9,17,43,8,2,594,84.02,38,16,53.33,24,42.11,25,10,6,257,1364,17,2,0,ESP,2024-2025,datafc_sofascore,2026-08-10 21:30:14
8,61643,Rodrygo,910536,Real Madrid,2829,7.4,6,5,4.0,4.19,20,54,5,1,900,90.91,49,12,57.14,49,51.58,21,11,7,268,1937,30,0,0,ESP,2024-2025,datafc_sofascore,2026-08-10 21:30:14
8,61643,Joan García,930267,Espanyol,2814,7.39,0,0,0.07,0.07,1,1,0,0,709,66.95,0,232,40.35,0,0.0,0,0,39,360,3420,38,2,0,ESP,2024-2025,datafc_sofascore,2026-08-10 21:30:14
8,61643,Luka Modrić,15466,Real Madrid,2829,7.38,2,6,1.55,6.27,6,22,17,1,1686,91.33,68,118,75.64,14,60.87,31,27,13,294,1830,35,7,0,ESP,2024-2025,datafc_sofascore,2026-08-10 21:30:14
8,61643,Vinícius Júnior,868812,Real Madrid,2829,7.37,11,8,10.69,6.98,28,81,13,10,652,79.03,59,40,67.8,82,46.33,21,3,0,462,2257,30,8,1,ESP,2024-2025,datafc_sofascore,2026-08-10 21:30:14
8,61643,Dani Olmo,789071,FC Barcelona,2817,7.27,10,3,6.51,3.7,17,42,7,5,515,83.33,27,21,72.41,23,57.5,16,3,11,204,1222,25,1,0,ESP,2024-2025,datafc_sofascore,2026-08-10 21:30:14
8,61643,Robert Lewandowski,41789,FC Barcelona,2817,7.27,27,2,27.11,1.49,48,115,3,23,383,74.66,19,11,52.38,20,60.61,10,3,26,275,2681,34,1,0,ESP,2024-2025,datafc_sofascore,2026-08-10 21:30:14
8,61643,Dani Carvajal,138572,Real Madrid,2829,7.26,1,0,1.31,0.26,1,3,0,0,354,88.06,5,12,70.59,2,40.0,12,10,14,81,609,8,2,0,ESP,2024-2025,datafc_sofascore,2026-08-10 21:30:14
8,61643,Cucho Hernández,887055,Real Betis,2816,7.26,5,1,3.79,0.67,11,43,2,4,221,74.66,14,19,82.61,17,65.38,15,7,4,156,1149,15,0,0,ESP,2024-2025,datafc_sofascore,2026-08-10 21:30:14
8,61643,Iago Aspas,19356,Celta Vigo,2821,7.25,10,5,8.71,3.93,24,52,7,4,648,76.69,38,51,68.0,15,65.22,13,8,3,280,1747,30,4,1,ESP,2024-2025,datafc_sofascore,2026-08-10 21:30:14
8,61643,Sergio Herrera,294377,Osasuna,2820,7.24,0,0,,0.08,0,0,0,0,733,66.52,0,313,46.17,1,100.0,2,0,39,376,3330,37,5,0,ESP,2024-2025,datafc_sofascore,2026-08-10 21:30:14
8,61643,Arda Güler,1091116,Real Madrid,2829,7.24,3,4,3.23,4.44,17,39,11,5,733,89.94,40,42,77.78,20,50.0,30,7,8,179,1273,28,1,0,ESP,2024-2025,datafc_sofascore,2026-08-10 21:30:14
8,61643,Julián Alvarez,944656,Atlético Madrid,2836,7.24,17,4,14.22,5.31,41,74,9,7,698,78.52,42,35,66.04,34,54.84,25,2,10,382,2518,37,5,0,ESP,2024-2025,datafc_sofascore,2026-08-10 21:30:14
8,61643,Iñigo Martínez,173883,FC Barcelona,2817,7.23,0,4,0.49,1.85,2,13,4,0,2209,91.39,16,136,61.82,3,100.0,25,18,103,232,2493,28,5,0,ESP,2024-2025,datafc_sofascore,2026-08-10 21:30:14
8,61643,Dani Raba,873947,Leganés,2845,7.23,8,6,7.55,4.6,17,44,12,1,400,73.8,47,21,37.5,46,54.76,37,14,17,349,1896,29,6,0,ESP,2024-2025,datafc_sofascore,2026-08-10 21:30:14
8,61643,Éder Militão,822519,Real Madrid,2829,7.21,1,1,0.64,0.16,3,10,1,1,634,89.8,6,48,57.14,5,62.5,19,12,34,88,940,12,2,0,ESP,2024-2025,datafc_sofascore,2026-08-10 21:30:14
8,61643,Jon Magunazelaia,1134396,Real Sociedad,2824,7.2,0,0,,0.12,0,0,0,0,7,53.85,1,0,0.0,0,0.0,1,0,0,7,10,2,0,0,ESP,2024-2025,datafc_sofascore,2026-08-10 21:30:14
