tournament_id,season_id,player_name,player_id,team_name,team_id,rating,goals,assists,expectedGoals,expectedAssists,shotsOnTarget,totalShots,bigChancesCreated,bigChancesMissed,accuratePasses,accuratePassesPercentage,keyPasses,accurateLongBalls,accurateLongBallsPercentage,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,clearances,possessionLost,minutesPlayed,appearances,yellowCards,redCards,_league_id,_season,_source,_scraped_at
38,77040,Genki Haraguchi,48243,K. Beerschot V.A.,169260,7.93,1,0,0.26,1.41,3,6,0,0,213,86.23,8,13,50.0,5,55.56,7,3,1,66,377,4,0,0,BEL,2025-2026,datafc_sofascore,2026-08-10 21:32:52
38,77040,Lucas Schoofs,794564,Lommel SK,5046,7.8,3,3,1.84,0.65,5,8,3,0,196,79.67,7,7,53.85,2,40.0,24,1,7,87,540,6,1,0,BEL,2025-2026,datafc_sofascore,2026-08-10 21:32:52
38,77040,Christos Tzolis,1031259,Club Brugge KV,2888,7.71,17,23,17.4,15.94,44,123,25,16,1102,79.39,135,47,66.2,40,50.63,29,11,33,652,3072,36,6,0,BEL,2025-2026,datafc_sofascore,2026-08-10 21:32:52
38,77040,Christ Souanga,1835475,Oud-Heverlee Leuven,2918,7.6,1,0,0.07,0.01,1,1,0,0,23,79.31,0,4,57.14,0,0.0,1,3,4,6,90,1,0,0,BEL,2025-2026,datafc_sofascore,2026-08-10 21:32:52
38,77040,Nacho Miras,1010556,KV Mechelen,5044,7.57,0,0,,0.03,0,0,0,0,635,66.35,0,177,36.05,0,0.0,1,0,52,330,2925,33,2,0,BEL,2025-2026,datafc_sofascore,2026-08-10 21:32:52
38,77040,Dries Wouters,339269,Lommel SK,5046,7.53,0,0,,0.03,0,0,0,0,248,86.71,1,23,52.27,1,100.0,2,6,52,45,540,6,1,0,BEL,2025-2026,datafc_sofascore,2026-08-10 21:32:52
38,77040,Elnora Lembi,2307624,FCV Dender,389232,7.5,0,0,,0.0,0,0,0,0,19,82.61,0,1,50.0,0,0.0,2,1,0,4,43,2,0,0,BEL,2025-2026,datafc_sofascore,2026-08-10 21:32:52
38,77040,Hans Vanaken,118085,Club Brugge KV,2888,7.45,7,3,8.38,8.0,21,58,14,7,2319,88.55,67,162,75.7,15,41.67,38,22,54,428,3366,39,2,0,BEL,2025-2026,datafc_sofascore,2026-08-10 21:32:52
38,77040,Modibo Fofana,2602250,Royal Antwerp FC,2889,7.45,1,0,0.22,0.1,1,4,0,0,14,93.33,1,1,100.0,2,100.0,3,0,0,5,35,2,0,0,BEL,2025-2026,datafc_sofascore,2026-08-10 21:32:52
38,77040,Jules Ahoka,2137673,Royal Antwerp FC,2889,7.45,0,0,0.02,0.0,0,1,0,0,40,88.89,0,2,40.0,1,100.0,2,1,16,5,98,2,0,0,BEL,2025-2026,datafc_sofascore,2026-08-10 21:32:52
