tournament_id,season_id,player_name,player_id,team_name,team_id,saves,goalsPrevented,rating,minutesPlayed,appearances,accuratePasses,accurateLongBalls,accurateLongBallsPercentage,yellowCards,redCards,_league_id,_season,_source,_scraped_at
8,42409,Édgar Badía,811557,Elche,2846,139,8.95,6.98,3240,36,627,237,47.31,2,0,ESP,2022-2023,datafc_sofascore,2026-08-11 14:45:10
8,42409,Jeremías Ledesma,341097,Cádiz,4488,135,0.18,7.17,3060,34,455,256,33.29,2,0,ESP,2022-2023,datafc_sofascore,2026-08-11 14:45:10
8,42409,Fernando Martínez,139925,Almería,2858,133,0.61,6.92,3294,37,714,246,39.94,3,0,ESP,2022-2023,datafc_sofascore,2026-08-11 14:45:10
8,42409,David Soria,604258,Getafe,2859,124,1.36,6.97,3420,38,512,420,45.11,3,0,ESP,2022-2023,datafc_sofascore,2026-08-11 14:45:10
8,42409,Jordi Masip,128600,Real Valladolid,2831,105,5.13,7.06,2508,28,558,176,38.85,4,0,ESP,2022-2023,datafc_sofascore,2026-08-11 14:45:10
8,42409,Giorgi Mamardashvili,930997,Valencia,2828,105,-1.35,6.82,3420,38,563,198,35.17,3,0,ESP,2022-2023,datafc_sofascore,2026-08-11 14:45:10
8,42409,Álex Remiro,791773,Real Sociedad,2824,100,-1.76,6.99,3420,38,803,292,45.84,1,0,ESP,2022-2023,datafc_sofascore,2026-08-11 14:45:10
8,42409,Stole Dimitrievski,97951,Rayo Vallecano,2818,95,-3.3,6.76,3325,37,492,160,27.78,4,0,ESP,2022-2023,datafc_sofascore,2026-08-11 14:45:10
8,42409,Predrag Rajković,188107,Mallorca,2826,94,-0.32,6.88,3240,36,593,345,41.52,3,0,ESP,2022-2023,datafc_sofascore,2026-08-11 14:45:10
8,42409,Paulo Gazzaniga,164343,Girona FC,24264,93,8.6,6.9,2520,28,645,177,39.78,4,0,ESP,2022-2023,datafc_sofascore,2026-08-11 14:45:10
8,42409,Thibaut Courtois,70988,Real Madrid,2829,90,1.48,7.13,2790,31,789,121,46.18,0,0,ESP,2022-2023,datafc_sofascore,2026-08-11 14:45:10
8,42409,Marc-André Ter Stegen,88625,FC Barcelona,2817,84,6.07,7.15,3348,38,1010,261,56.99,0,0,ESP,2022-2023,datafc_sofascore,2026-08-11 14:45:10
8,42409,Rui Silva,253809,Real Betis,2816,73,1.54,6.93,2340,26,491,202,42.26,2,0,ESP,2022-2023,datafc_sofascore,2026-08-11 14:45:10
8,42409,Unai Simón,797291,Athletic Club,2825,70,-4.52,6.79,2745,31,543,167,40.63,2,0,ESP,2022-2023,datafc_sofascore,2026-08-11 14:45:10
8,42409,Yassine Bounou,360938,Sevilla,2833,67,-2.51,6.68,2152,25,627,160,42.22,2,0,ESP,2022-2023,datafc_sofascore,2026-08-11 14:45:10
