tournament_id,season_id,player_name,player_id,team_name,team_id,saves,goalsPrevented,rating,minutesPlayed,appearances,accuratePasses,accurateLongBalls,accurateLongBallsPercentage,yellowCards,redCards,_league_id,_season,_source,_scraped_at
35,42268,Manuel Riemann,24937,VfL Bochum 1848,2542,132,-0.12,6.84,3060,34,982,624,48.26,3,0,GER,2022-2023,datafc_sofascore,2026-08-11 14:45:43
35,42268,Jiří Pavlenka,154040,SV Werder Bremen,2534,111,-8.85,6.83,2909,33,682,252,43.52,1,0,GER,2022-2023,datafc_sofascore,2026-08-11 14:45:43
35,42268,Mark Flekken,171919,SC Freiburg,2538,109,2.86,7.02,3060,34,919,329,44.76,0,0,GER,2022-2023,datafc_sofascore,2026-08-11 14:45:43
35,42268,Oliver Baumann,40244,TSG Hoffenheim,2569,105,-5.69,6.83,3060,34,900,250,42.44,2,0,GER,2022-2023,datafc_sofascore,2026-08-11 14:45:43
35,42268,Koen Casteels,70987,VfL Wolfsburg,2524,103,-3.8,6.99,3060,34,1038,364,50.98,0,0,GER,2022-2023,datafc_sofascore,2026-08-11 14:45:43
35,42268,Oliver Christensen,860306,Hertha BSC,2528,98,-8.99,6.63,2970,33,615,239,36.38,2,0,GER,2022-2023,datafc_sofascore,2026-08-11 14:45:43
35,42268,Rafał Gikiewicz,44938,FC Augsburg,2600,97,0.41,7.1,2070,23,726,220,43.48,3,0,GER,2022-2023,datafc_sofascore,2026-08-11 14:45:43
35,42268,Lukáš Hrádecký,15219,Bayer 04 Leverkusen,2681,97,-5.17,6.82,2970,33,647,179,38.09,0,1,GER,2022-2023,datafc_sofascore,2026-08-11 14:45:43
35,42268,Frederik Rønnow,137692,1. FC Union Berlin,2547,93,8.32,7.13,2610,29,781,262,40.43,2,0,GER,2022-2023,datafc_sofascore,2026-08-11 14:45:43
35,42268,Gregor Kobel,556866,Borussia Dortmund,2673,88,2.88,7.07,2430,27,750,154,47.53,0,0,GER,2022-2023,datafc_sofascore,2026-08-11 14:45:43
