tournament_id,season_id,player_name,player_id,team_name,team_id,rating,goals,assists,expectedGoals,expectedAssists,shotsOnTarget,totalShots,bigChancesCreated,bigChancesMissed,accuratePasses,accuratePassesPercentage,keyPasses,accurateLongBalls,accurateLongBallsPercentage,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,clearances,possessionLost,minutesPlayed,appearances,yellowCards,redCards,_league_id,_season,_source,_scraped_at
23,42415,Salvatore Sirigu,18954,Fiorentina,2693,8.1,0,0,0.0,0.0,0,0,0,0,19,65.52,0,9,47.37,0,0.0,0,0,1,10,90,1,0,0,ITA,2022-2023,datafc_sofascore,2026-08-11 14:46:13
23,42415,Simone Perilli,253369,Hellas Verona,2701,7.7,0,0,0.0,0.0,0,0,0,0,10,29.41,0,6,20.0,0,0.0,0,0,0,24,90,1,0,0,ITA,2022-2023,datafc_sofascore,2026-08-11 14:46:13
23,42415,Francesco Bardi,80203,Bologna,2685,7.6,0,0,0.0,0.0,0,0,0,0,13,76.47,0,6,60.0,0,0.0,0,0,0,6,90,1,0,0,ITA,2022-2023,datafc_sofascore,2026-08-11 14:46:13
23,42415,Paulo Dybala,256219,AS Roma,2702,7.49,12,6,9.27,4.51,23,65,12,5,608,82.27,53,58,76.32,27,50.0,14,8,3,310,1751,25,5,0,ITA,2022-2023,datafc_sofascore,2026-08-11 14:46:13
23,42415,Domenico Berardi,253367,Sassuolo,2793,7.43,12,7,11.35,5.89,27,83,8,5,577,71.06,45,81,69.23,22,52.38,23,19,16,400,1878,26,7,0,ITA,2022-2023,datafc_sofascore,2026-08-11 14:46:13
23,42415,Hakan Çalhanoğlu,135700,Inter,2697,7.31,3,6,3.09,5.98,17,56,3,0,1323,88.26,72,98,67.12,8,44.44,48,25,8,337,2375,33,3,0,ITA,2022-2023,datafc_sofascore,2026-08-11 14:46:13
23,42415,Khvicha Kvaratskhelia,889259,SSC Napoli,2714,7.3,12,10,7.38,6.64,32,85,14,3,869,83.72,54,44,60.27,75,41.21,43,5,6,474,2539,34,1,0,ITA,2022-2023,datafc_sofascore,2026-08-11 14:46:13
23,42415,Andrea Ranocchia,49518,Monza,2729,7.3,0,0,0.0,0.0,0,0,0,0,16,84.21,0,2,66.67,0,0.0,3,0,7,3,48,1,0,0,ITA,2022-2023,datafc_sofascore,2026-08-11 14:46:13
23,42415,Mário Rui,99546,SSC Napoli,2714,7.28,0,6,0.61,4.39,4,11,5,1,1203,84.18,47,113,59.16,8,61.54,34,15,17,351,1760,22,2,1,ITA,2022-2023,datafc_sofascore,2026-08-11 14:46:13
23,42415,Lucas Martínez Quarta,795297,Fiorentina,2693,7.25,1,1,2.49,0.74,11,27,1,3,1236,81.85,8,171,56.07,12,80.0,80,48,76,301,2170,27,6,0,ITA,2022-2023,datafc_sofascore,2026-08-11 14:46:13
23,42415,Mattia Zaccagni,293581,Lazio,2699,7.25,10,6,6.7,3.17,24,57,10,2,824,84.51,35,15,55.56,60,63.16,42,21,6,333,2782,35,9,0,ITA,2022-2023,datafc_sofascore,2026-08-11 14:46:13
23,42415,Lorenzo Pellegrini,555540,AS Roma,2702,7.24,4,5,8.03,6.19,19,65,11,6,757,80.11,71,50,59.52,32,48.48,52,26,20,426,2554,32,5,0,ITA,2022-2023,datafc_sofascore,2026-08-11 14:46:13
23,42415,Danilo,124992,Juventus,2687,7.24,3,3,2.9,1.26,5,32,3,1,1764,85.14,19,160,54.24,8,47.06,92,47,112,381,3182,37,5,0,ITA,2022-2023,datafc_sofascore,2026-08-11 14:46:13
23,42415,Lautaro Martínez,823984,Inter,2697,7.23,21,6,18.14,2.91,53,127,9,19,498,75.57,46,21,67.74,29,48.33,25,13,15,339,2576,38,3,0,ITA,2022-2023,datafc_sofascore,2026-08-11 14:46:13
23,42415,Kim Min-jae,896569,SSC Napoli,2714,7.22,2,2,1.0,0.91,4,8,2,2,2547,91.0,10,120,57.69,4,57.14,55,41,122,285,3054,35,5,0,ITA,2022-2023,datafc_sofascore,2026-08-11 14:46:13
23,42415,Sandro Tonali,892673,AC Milan,2692,7.21,2,7,2.39,4.54,14,32,12,1,1137,81.04,62,86,53.09,9,47.37,64,25,16,442,2730,34,7,0,ITA,2022-2023,datafc_sofascore,2026-08-11 14:46:13
23,42415,Ismaël Bennacer,823733,AC Milan,2692,7.2,2,2,0.99,3.12,3,16,4,0,1192,89.15,43,93,68.89,27,67.5,59,26,13,283,2011,28,5,0,ITA,2022-2023,datafc_sofascore,2026-08-11 14:46:13
23,42415,Victor Osimhen,822471,SSC Napoli,2714,7.2,26,4,21.38,1.73,55,135,2,24,264,70.97,34,10,76.92,25,40.32,10,6,29,308,2583,32,4,0,ITA,2022-2023,datafc_sofascore,2026-08-11 14:46:13
23,42415,Teun Koopmeiners,803033,Atalanta,2686,7.19,10,4,7.64,6.87,27,59,8,7,1200,78.13,58,92,40.17,29,55.77,46,19,33,561,2861,33,7,0,ITA,2022-2023,datafc_sofascore,2026-08-11 14:46:13
23,42415,Mattia Perin,79645,Juventus,2687,7.19,0,0,0.0,0.01,0,0,0,0,211,71.28,0,39,31.97,0,0.0,0,0,1,86,947,11,0,0,ITA,2022-2023,datafc_sofascore,2026-08-11 14:46:13
23,42415,Cristiano Biraghi,122848,Fiorentina,2693,7.18,2,4,1.89,5.84,6,25,6,1,1096,78.51,83,79,36.57,7,43.75,65,14,38,593,2565,33,1,0,ITA,2022-2023,datafc_sofascore,2026-08-11 14:46:13
23,42415,Fikayo Tomori,788255,AC Milan,2692,7.18,1,1,1.31,0.88,4,9,1,1,1685,88.87,9,167,63.02,3,75.0,70,29,77,238,2765,33,5,0,ITA,2022-2023,datafc_sofascore,2026-08-11 14:46:13
23,42415,Amir Rrahmani,332155,SSC Napoli,2714,7.18,2,1,1.84,0.81,3,21,2,2,1974,91.39,12,154,63.37,3,50.0,33,14,74,205,2450,29,2,0,ITA,2022-2023,datafc_sofascore,2026-08-11 14:46:13
23,42415,Giovanni Di Lorenzo,153257,SSC Napoli,2714,7.17,3,4,2.7,4.36,13,31,6,0,1966,86.04,47,100,58.48,12,41.38,60,30,50,472,3257,37,2,0,ITA,2022-2023,datafc_sofascore,2026-08-11 14:46:13
